ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.PublicarCurso	publicarcurso	1591031178102	 	3.3.1
REQUEST	249		Home	1591031204148	1591031204151	OK	 
REQUEST	106		IniciadoSesion	1591031203869	1591031204166	OK	 
REQUEST	106		IniciadoSesion Redirect 1	1591031204166	1591031204168	OK	 
REQUEST	209		IniciarSesion	1591031204169	1591031204173	OK	 
REQUEST	47		CrearCertificado	1591031204239	1591031204244	OK	 
USER	PublicarCurso	250	START	1591031204249	1591031204249
REQUEST	250		Home	1591031204249	1591031204253	OK	 
REQUEST	107		IniciadoSesion	1591031203969	1591031204265	OK	 
REQUEST	107		IniciadoSesion Redirect 1	1591031204265	1591031204268	OK	 
REQUEST	210		IniciarSesion	1591031204271	1591031204274	OK	 
REQUEST	48		CrearCertificado	1591031204341	1591031204345	OK	 
USER	PublicarCurso	251	START	1591031204352	1591031204352
REQUEST	108		IniciadoSesion	1591031204069	1591031204355	OK	 
REQUEST	251		Home	1591031204352	1591031204356	OK	 
REQUEST	108		IniciadoSesion Redirect 1	1591031204355	1591031204358	OK	 
REQUEST	211		IniciarSesion	1591031204367	1591031204371	OK	 
USER	PublicarCurso	252	START	1591031204437	1591031204437
REQUEST	49		CrearCertificado	1591031204438	1591031204441	OK	 
REQUEST	252		Home	1591031204438	1591031204442	OK	 
REQUEST	109		IniciadoSesion	1591031204170	1591031204456	OK	 
REQUEST	109		IniciadoSesion Redirect 1	1591031204456	1591031204458	OK	 
REQUEST	212		IniciarSesion	1591031204470	1591031204473	OK	 
USER	PublicarCurso	253	START	1591031204539	1591031204539
REQUEST	253		Home	1591031204540	1591031204543	OK	 
REQUEST	110		IniciadoSesion	1591031204271	1591031204555	OK	 
REQUEST	110		IniciadoSesion Redirect 1	1591031204555	1591031204558	OK	 
REQUEST	50		CrearCertificado	1591031204561	1591031204565	OK	 
REQUEST	213		IniciarSesion	1591031204572	1591031204575	OK	 
REQUEST	111		IniciadoSesion	1591031204368	1591031204640	OK	 
USER	PublicarCurso	254	START	1591031204642	1591031204642
REQUEST	111		IniciadoSesion Redirect 1	1591031204640	1591031204643	OK	 
REQUEST	254		Home	1591031204642	1591031204647	OK	 
REQUEST	51		CrearCertificado	1591031204642	1591031204647	OK	 
REQUEST	214		IniciarSesion	1591031204668	1591031204671	OK	 
USER	PublicarCurso	255	START	1591031204738	1591031204738
REQUEST	255		Home	1591031204738	1591031204742	OK	 
REQUEST	52		CrearCertificado	1591031204749	1591031204753	OK	 
REQUEST	112		IniciadoSesion	1591031204481	1591031204755	OK	 
REQUEST	112		IniciadoSesion Redirect 1	1591031204755	1591031204757	OK	 
REQUEST	215		IniciarSesion	1591031204771	1591031204774	OK	 
USER	PublicarCurso	256	START	1591031204840	1591031204840
REQUEST	256		Home	1591031204840	1591031204844	OK	 
REQUEST	113		IniciadoSesion	1591031204583	1591031204854	OK	 
REQUEST	113		IniciadoSesion Redirect 1	1591031204855	1591031204858	OK	 
REQUEST	53		CrearCertificado	1591031204861	1591031204865	OK	 
REQUEST	216		IniciarSesion	1591031204872	1591031204875	OK	 
USER	PublicarCurso	257	START	1591031204940	1591031204940
REQUEST	257		Home	1591031204941	1591031204944	OK	 
REQUEST	114		IniciadoSesion	1591031204679	1591031204960	OK	 
REQUEST	114		IniciadoSesion Redirect 1	1591031204961	1591031204964	OK	 
REQUEST	217		IniciarSesion	1591031204973	1591031204978	OK	 
REQUEST	54		CrearCertificado	1591031204973	1591031204978	OK	 
USER	PublicarCurso	258	START	1591031205043	1591031205043
REQUEST	258		Home	1591031205043	1591031205048	OK	 
REQUEST	55		CrearCertificado	1591031205058	1591031205062	OK	 
REQUEST	218		IniciarSesion	1591031205069	1591031205073	OK	 
REQUEST	115		IniciadoSesion	1591031204792	1591031205095	OK	 
REQUEST	115		IniciadoSesion Redirect 1	1591031205096	1591031205099	OK	 
USER	PublicarCurso	259	START	1591031205139	1591031205139
REQUEST	259		Home	1591031205139	1591031205143	OK	 
REQUEST	56		CrearCertificado	1591031205172	1591031205175	OK	 
REQUEST	219		IniciarSesion	1591031205172	1591031205175	OK	 
REQUEST	116		IniciadoSesion	1591031204893	1591031205215	OK	 
REQUEST	116		IniciadoSesion Redirect 1	1591031205215	1591031205218	OK	 
USER	PublicarCurso	260	START	1591031205241	1591031205241
REQUEST	260		Home	1591031205242	1591031205245	OK	 
REQUEST	57		CrearCertificado	1591031205258	1591031205261	OK	 
REQUEST	220		IniciarSesion	1591031205267	1591031205270	OK	 
REQUEST	117		IniciadoSesion	1591031204978	1591031205290	OK	 
REQUEST	117		IniciadoSesion Redirect 1	1591031205290	1591031205292	OK	 
USER	PublicarCurso	261	START	1591031205343	1591031205343
REQUEST	261		Home	1591031205343	1591031205347	OK	 
REQUEST	58		CrearCertificado	1591031205368	1591031205371	OK	 
REQUEST	221		IniciarSesion	1591031205379	1591031205382	OK	 
REQUEST	118		IniciadoSesion	1591031205091	1591031205393	OK	 
REQUEST	118		IniciadoSesion Redirect 1	1591031205394	1591031205396	OK	 
USER	PublicarCurso	262	START	1591031205427	1591031205427
REQUEST	262		Home	1591031205428	1591031205431	OK	 
REQUEST	59		CrearCertificado	1591031205449	1591031205452	OK	 
REQUEST	222		IniciarSesion	1591031205449	1591031205453	OK	 
REQUEST	119		IniciadoSesion	1591031205183	1591031205468	OK	 
REQUEST	119		IniciadoSesion Redirect 1	1591031205468	1591031205471	OK	 
USER	PublicarCurso	263	START	1591031205529	1591031205529
REQUEST	263		Home	1591031205529	1591031205532	OK	 
REQUEST	223		IniciarSesion	1591031205551	1591031205554	OK	 
REQUEST	60		CrearCertificado	1591031205562	1591031205565	OK	 
REQUEST	120		IniciadoSesion	1591031205278	1591031205567	OK	 
REQUEST	120		IniciadoSesion Redirect 1	1591031205567	1591031205569	OK	 
USER	PublicarCurso	264	START	1591031205631	1591031205631
REQUEST	264		Home	1591031205632	1591031205635	OK	 
REQUEST	224		IniciarSesion	1591031205647	1591031205650	OK	 
REQUEST	121		IniciadoSesion	1591031205379	1591031205658	OK	 
REQUEST	121		IniciadoSesion Redirect 1	1591031205658	1591031205661	OK	 
REQUEST	61		CrearCertificado	1591031205690	1591031205694	OK	 
USER	PublicarCurso	265	START	1591031205733	1591031205733
REQUEST	265		Home	1591031205733	1591031205737	OK	 
REQUEST	122		IniciadoSesion	1591031205471	1591031205747	OK	 
REQUEST	122		IniciadoSesion Redirect 1	1591031205747	1591031205750	OK	 
REQUEST	225		IniciarSesion	1591031205762	1591031205764	OK	 
REQUEST	62		CrearCertificado	1591031205771	1591031205774	OK	 
USER	PublicarCurso	266	START	1591031205830	1591031205830
REQUEST	266		Home	1591031205830	1591031205833	OK	 
REQUEST	123		IniciadoSesion	1591031205573	1591031205851	OK	 
REQUEST	123		IniciadoSesion Redirect 1	1591031205851	1591031205854	OK	 
REQUEST	226		IniciarSesion	1591031205852	1591031205855	OK	 
REQUEST	63		CrearCertificado	1591031205873	1591031205877	OK	 
REQUEST	124		IniciadoSesion	1591031205658	1591031205931	OK	 
USER	PublicarCurso	267	START	1591031205932	1591031205932
REQUEST	124		IniciadoSesion Redirect 1	1591031205931	1591031205934	OK	 
REQUEST	267		Home	1591031205932	1591031205935	OK	 
REQUEST	227		IniciarSesion	1591031205947	1591031205951	OK	 
REQUEST	64		CrearCertificado	1591031206002	1591031206005	OK	 
USER	PublicarCurso	268	START	1591031206027	1591031206027
REQUEST	268		Home	1591031206028	1591031206031	OK	 
REQUEST	125		IniciadoSesion	1591031205771	1591031206041	OK	 
REQUEST	125		IniciadoSesion Redirect 1	1591031206042	1591031206044	OK	 
REQUEST	228		IniciarSesion	1591031206049	1591031206052	OK	 
REQUEST	65		CrearCertificado	1591031206093	1591031206097	OK	 
USER	PublicarCurso	269	START	1591031206130	1591031206130
REQUEST	269		Home	1591031206130	1591031206134	OK	 
REQUEST	229		IniciarSesion	1591031206141	1591031206144	OK	 
REQUEST	126		IniciadoSesion	1591031205873	1591031206150	OK	 
REQUEST	126		IniciadoSesion Redirect 1	1591031206150	1591031206153	OK	 
REQUEST	66		CrearCertificado	1591031206167	1591031206171	OK	 
USER	PublicarCurso	270	START	1591031206232	1591031206232
REQUEST	270		Home	1591031206232	1591031206235	OK	 
REQUEST	127		IniciadoSesion	1591031205969	1591031206244	OK	 
REQUEST	127		IniciadoSesion Redirect 1	1591031206244	1591031206247	OK	 
REQUEST	230		IniciarSesion	1591031206247	1591031206250	OK	 
REQUEST	67		CrearCertificado	1591031206247	1591031206251	OK	 
USER	PublicarCurso	271	START	1591031206333	1591031206333
REQUEST	271		Home	1591031206333	1591031206337	OK	 
REQUEST	128		IniciadoSesion	1591031206071	1591031206346	OK	 
REQUEST	128		IniciadoSesion Redirect 1	1591031206346	1591031206349	OK	 
REQUEST	231		IniciarSesion	1591031206348	1591031206350	OK	 
REQUEST	68		CrearCertificado	1591031206358	1591031206360	OK	 
USER	PublicarCurso	272	START	1591031206428	1591031206428
REQUEST	272		Home	1591031206429	1591031206432	OK	 
REQUEST	129		IniciadoSesion	1591031206178	1591031206447	OK	 
REQUEST	129		IniciadoSesion Redirect 1	1591031206447	1591031206450	OK	 
REQUEST	69		CrearCertificado	1591031206450	1591031206453	OK	 
REQUEST	232		IniciarSesion	1591031206472	1591031206475	OK	 
USER	PublicarCurso	273	START	1591031206529	1591031206529
REQUEST	273		Home	1591031206529	1591031206533	OK	 
REQUEST	130		IniciadoSesion	1591031206268	1591031206540	OK	 
REQUEST	130		IniciadoSesion Redirect 1	1591031206540	1591031206543	OK	 
REQUEST	70		CrearCertificado	1591031206550	1591031206553	OK	 
REQUEST	233		IniciarSesion	1591031206572	1591031206576	OK	 
USER	PublicarCurso	274	START	1591031206631	1591031206631
REQUEST	274		Home	1591031206631	1591031206634	OK	 
REQUEST	131		IniciadoSesion	1591031206369	1591031206641	OK	 
REQUEST	131		IniciadoSesion Redirect 1	1591031206641	1591031206644	OK	 
REQUEST	71		CrearCertificado	1591031206663	1591031206667	OK	 
REQUEST	234		IniciarSesion	1591031206667	1591031206670	OK	 
USER	PublicarCurso	275	START	1591031206731	1591031206731
REQUEST	275		Home	1591031206732	1591031206735	OK	 
REQUEST	72		CrearCertificado	1591031206747	1591031206750	OK	 
REQUEST	132		IniciadoSesion	1591031206472	1591031206755	OK	 
REQUEST	132		IniciadoSesion Redirect 1	1591031206755	1591031206758	OK	 
REQUEST	235		IniciarSesion	1591031206768	1591031206772	OK	 
USER	PublicarCurso	276	START	1591031206827	1591031206827
REQUEST	276		Home	1591031206828	1591031206831	OK	 
REQUEST	73		CrearCertificado	1591031206859	1591031206863	OK	 
REQUEST	133		IniciadoSesion	1591031206572	1591031206868	OK	 
REQUEST	133		IniciadoSesion Redirect 1	1591031206868	1591031206871	OK	 
REQUEST	236		IniciarSesion	1591031206870	1591031206874	OK	 
USER	PublicarCurso	277	START	1591031206929	1591031206929
REQUEST	277		Home	1591031206929	1591031206933	OK	 
REQUEST	134		IniciadoSesion	1591031206663	1591031206952	OK	 
REQUEST	134		IniciadoSesion Redirect 1	1591031206953	1591031206955	OK	 
REQUEST	237		IniciarSesion	1591031206962	1591031206965	OK	 
REQUEST	74		CrearCertificado	1591031206973	1591031206977	OK	 
USER	PublicarCurso	278	START	1591031207031	1591031207031
REQUEST	278		Home	1591031207031	1591031207035	OK	 
REQUEST	135		IniciadoSesion	1591031206769	1591031207050	OK	 
REQUEST	135		IniciadoSesion Redirect 1	1591031207050	1591031207052	OK	 
REQUEST	75		CrearCertificado	1591031207057	1591031207061	OK	 
REQUEST	238		IniciarSesion	1591031207068	1591031207071	OK	 
USER	PublicarCurso	279	START	1591031207132	1591031207132
REQUEST	279		Home	1591031207133	1591031207137	OK	 
REQUEST	136		IniciadoSesion	1591031206859	1591031207154	OK	 
REQUEST	136		IniciadoSesion Redirect 1	1591031207154	1591031207156	OK	 
REQUEST	239		IniciarSesion	1591031207168	1591031207171	OK	 
REQUEST	76		CrearCertificado	1591031207168	1591031207172	OK	 
USER	PublicarCurso	280	START	1591031207233	1591031207233
REQUEST	280		Home	1591031207233	1591031207237	OK	 
REQUEST	137		IniciadoSesion	1591031206951	1591031207242	OK	 
REQUEST	137		IniciadoSesion Redirect 1	1591031207242	1591031207245	OK	 
REQUEST	77		CrearCertificado	1591031207247	1591031207250	OK	 
REQUEST	240		IniciarSesion	1591031207269	1591031207273	OK	 
USER	PublicarCurso	281	START	1591031207327	1591031207327
REQUEST	281		Home	1591031207328	1591031207331	OK	 
REQUEST	78		CrearCertificado	1591031207338	1591031207341	OK	 
REQUEST	138		IniciadoSesion	1591031207057	1591031207348	OK	 
REQUEST	138		IniciadoSesion Redirect 1	1591031207348	1591031207350	OK	 
REQUEST	241		IniciarSesion	1591031207370	1591031207373	OK	 
REQUEST	139		IniciadoSesion	1591031207148	1591031207425	OK	 
REQUEST	139		IniciadoSesion Redirect 1	1591031207425	1591031207427	OK	 
USER	PublicarCurso	282	START	1591031207451	1591031207451
REQUEST	282		Home	1591031207451	1591031207454	OK	 
REQUEST	79		CrearCertificado	1591031207451	1591031207454	OK	 
REQUEST	242		IniciarSesion	1591031207473	1591031207478	OK	 
REQUEST	140		IniciadoSesion	1591031207258	1591031207529	OK	 
REQUEST	140		IniciadoSesion Redirect 1	1591031207529	1591031207532	OK	 
USER	PublicarCurso	283	START	1591031207547	1591031207547
REQUEST	283		Home	1591031207548	1591031207551	OK	 
REQUEST	80		CrearCertificado	1591031207558	1591031207561	OK	 
REQUEST	243		IniciarSesion	1591031207569	1591031207573	OK	 
REQUEST	141		IniciadoSesion	1591031207359	1591031207645	OK	 
REQUEST	141		IniciadoSesion Redirect 1	1591031207645	1591031207648	OK	 
USER	PublicarCurso	284	START	1591031207649	1591031207649
REQUEST	284		Home	1591031207649	1591031207652	OK	 
REQUEST	81		CrearCertificado	1591031207660	1591031207663	OK	 
REQUEST	244		IniciarSesion	1591031207671	1591031207674	OK	 
REQUEST	142		IniciadoSesion	1591031207473	1591031207747	OK	 
REQUEST	142		IniciadoSesion Redirect 1	1591031207747	1591031207750	OK	 
USER	PublicarCurso	285	START	1591031207752	1591031207752
REQUEST	285		Home	1591031207752	1591031207756	OK	 
REQUEST	245		IniciarSesion	1591031207763	1591031207766	OK	 
REQUEST	82		CrearCertificado	1591031207763	1591031207767	OK	 
USER	PublicarCurso	286	START	1591031207847	1591031207847
REQUEST	286		Home	1591031207848	1591031207851	OK	 
REQUEST	83		CrearCertificado	1591031207858	1591031207861	OK	 
REQUEST	143		IniciadoSesion	1591031207580	1591031207863	OK	 
REQUEST	143		IniciadoSesion Redirect 1	1591031207863	1591031207866	OK	 
REQUEST	246		IniciarSesion	1591031207869	1591031207872	OK	 
USER	PublicarCurso	287	START	1591031207949	1591031207949
REQUEST	287		Home	1591031207950	1591031207953	OK	 
REQUEST	144		IniciadoSesion	1591031207682	1591031207957	OK	 
REQUEST	144		IniciadoSesion Redirect 1	1591031207957	1591031207959	OK	 
REQUEST	84		CrearCertificado	1591031207960	1591031207963	OK	 
REQUEST	247		IniciarSesion	1591031207971	1591031207974	OK	 
REQUEST	145		IniciadoSesion	1591031207768	1591031208040	OK	 
REQUEST	145		IniciadoSesion Redirect 1	1591031208040	1591031208043	OK	 
USER	PublicarCurso	288	START	1591031208052	1591031208052
REQUEST	288		Home	1591031208052	1591031208055	OK	 
REQUEST	85		CrearCertificado	1591031208063	1591031208066	OK	 
REQUEST	248		IniciarSesion	1591031208078	1591031208081	OK	 
USER	PublicarCurso	289	START	1591031208148	1591031208148
REQUEST	289		Home	1591031208148	1591031208151	OK	 
REQUEST	146		IniciadoSesion	1591031207880	1591031208158	OK	 
REQUEST	146		IniciadoSesion Redirect 1	1591031208158	1591031208161	OK	 
REQUEST	86		CrearCertificado	1591031208159	1591031208162	OK	 
REQUEST	249		IniciarSesion	1591031208169	1591031208172	OK	 
USER	PublicarCurso	290	START	1591031208248	1591031208248
REQUEST	290		Home	1591031208249	1591031208252	OK	 
REQUEST	147		IniciadoSesion	1591031207982	1591031208257	OK	 
REQUEST	147		IniciadoSesion Redirect 1	1591031208257	1591031208259	OK	 
REQUEST	87		CrearCertificado	1591031208271	1591031208278	OK	 
REQUEST	250		IniciarSesion	1591031208270	1591031208278	OK	 
USER	PublicarCurso	291	START	1591031208350	1591031208350
REQUEST	291		Home	1591031208350	1591031208354	OK	 
REQUEST	88		CrearCertificado	1591031208371	1591031208375	OK	 
REQUEST	251		IniciarSesion	1591031208371	1591031208375	OK	 
REQUEST	148		IniciadoSesion	1591031208089	1591031208395	OK	 
REQUEST	148		IniciadoSesion Redirect 1	1591031208396	1591031208399	OK	 
USER	PublicarCurso	292	START	1591031208451	1591031208451
REQUEST	292		Home	1591031208451	1591031208455	OK	 
REQUEST	149		IniciadoSesion	1591031208180	1591031208466	OK	 
REQUEST	252		IniciarSesion	1591031208462	1591031208466	OK	 
REQUEST	149		IniciadoSesion Redirect 1	1591031208466	1591031208468	OK	 
REQUEST	89		CrearCertificado	1591031208473	1591031208478	OK	 
USER	PublicarCurso	293	START	1591031208552	1591031208552
REQUEST	293		Home	1591031208552	1591031208556	OK	 
REQUEST	150		IniciadoSesion	1591031208282	1591031208558	OK	 
REQUEST	150		IniciadoSesion Redirect 1	1591031208558	1591031208561	OK	 
REQUEST	253		IniciarSesion	1591031208563	1591031208566	OK	 
REQUEST	90		CrearCertificado	1591031208578	1591031208581	OK	 
USER	PublicarCurso	294	START	1591031208647	1591031208647
REQUEST	294		Home	1591031208648	1591031208652	OK	 
REQUEST	151		IniciadoSesion	1591031208382	1591031208657	OK	 
REQUEST	151		IniciadoSesion Redirect 1	1591031208658	1591031208661	OK	 
REQUEST	254		IniciarSesion	1591031208658	1591031208661	OK	 
REQUEST	91		CrearCertificado	1591031208679	1591031208684	OK	 
USER	PublicarCurso	295	START	1591031208749	1591031208749
REQUEST	152		IniciadoSesion	1591031208477	1591031208751	OK	 
REQUEST	295		Home	1591031208749	1591031208753	OK	 
REQUEST	92		CrearCertificado	1591031208749	1591031208753	OK	 
REQUEST	152		IniciadoSesion Redirect 1	1591031208751	1591031208755	OK	 
REQUEST	255		IniciarSesion	1591031208760	1591031208763	OK	 
USER	PublicarCurso	296	START	1591031208852	1591031208852
REQUEST	153		IniciadoSesion	1591031208578	1591031208854	OK	 
REQUEST	296		Home	1591031208852	1591031208856	OK	 
REQUEST	93		CrearCertificado	1591031208852	1591031208856	OK	 
REQUEST	153		IniciadoSesion Redirect 1	1591031208854	1591031208857	OK	 
REQUEST	256		IniciarSesion	1591031208863	1591031208866	OK	 
REQUEST	94		CrearCertificado	1591031208937	1591031208941	OK	 
USER	PublicarCurso	297	START	1591031208948	1591031208948
REQUEST	297		Home	1591031208948	1591031208951	OK	 
REQUEST	257		IniciarSesion	1591031208959	1591031208962	OK	 
REQUEST	154		IniciadoSesion	1591031208679	1591031208963	OK	 
REQUEST	154		IniciadoSesion Redirect 1	1591031208963	1591031208967	OK	 
USER	PublicarCurso	298	START	1591031209049	1591031209049
REQUEST	298		Home	1591031209050	1591031209054	OK	 
REQUEST	95		CrearCertificado	1591031209049	1591031209054	OK	 
REQUEST	258		IniciarSesion	1591031209071	1591031209075	OK	 
REQUEST	155		IniciadoSesion	1591031208782	1591031209081	OK	 
REQUEST	155		IniciadoSesion Redirect 1	1591031209082	1591031209085	OK	 
REQUEST	96		CrearCertificado	1591031209141	1591031209145	OK	 
USER	PublicarCurso	299	START	1591031209151	1591031209151
REQUEST	299		Home	1591031209151	1591031209155	OK	 
REQUEST	259		IniciarSesion	1591031209162	1591031209166	OK	 
REQUEST	156		IniciadoSesion	1591031208878	1591031209179	OK	 
REQUEST	156		IniciadoSesion Redirect 1	1591031209179	1591031209182	OK	 
USER	PublicarCurso	300	START	1591031209251	1591031209251
REQUEST	300		Home	1591031209251	1591031209255	OK	 
REQUEST	97		CrearCertificado	1591031209251	1591031209256	OK	 
REQUEST	260		IniciarSesion	1591031209262	1591031209265	OK	 
REQUEST	157		IniciadoSesion	1591031208981	1591031209314	OK	 
REQUEST	157		IniciadoSesion Redirect 1	1591031209314	1591031209318	OK	 
REQUEST	98		CrearCertificado	1591031209342	1591031209345	OK	 
USER	PublicarCurso	301	START	1591031209352	1591031209352
REQUEST	301		Home	1591031209353	1591031209357	OK	 
REQUEST	261		IniciarSesion	1591031209353	1591031209357	OK	 
REQUEST	158		IniciadoSesion	1591031209082	1591031209404	OK	 
REQUEST	158		IniciadoSesion Redirect 1	1591031209404	1591031209407	OK	 
USER	PublicarCurso	302	START	1591031209443	1591031209443
REQUEST	302		Home	1591031209443	1591031209448	OK	 
REQUEST	99		CrearCertificado	1591031209443	1591031209448	OK	 
REQUEST	262		IniciarSesion	1591031209447	1591031209451	OK	 
REQUEST	159		IniciadoSesion	1591031209178	1591031209517	OK	 
REQUEST	159		IniciadoSesion Redirect 1	1591031209517	1591031209520	OK	 
USER	PublicarCurso	303	START	1591031209537	1591031209537
REQUEST	303		Home	1591031209538	1591031209542	OK	 
REQUEST	263		IniciarSesion	1591031209548	1591031209552	OK	 
REQUEST	100		CrearCertificado	1591031209548	1591031209553	OK	 
REQUEST	160		IniciadoSesion	1591031209278	1591031209636	OK	 
USER	PublicarCurso	304	START	1591031209639	1591031209639
REQUEST	160		IniciadoSesion Redirect 1	1591031209636	1591031209640	OK	 
REQUEST	304		Home	1591031209639	1591031209644	OK	 
REQUEST	101		CrearCertificado	1591031209649	1591031209652	OK	 
REQUEST	264		IniciarSesion	1591031209649	1591031209652	OK	 
USER	PublicarCurso	305	START	1591031209739	1591031209739
REQUEST	305		Home	1591031209740	1591031209744	OK	 
REQUEST	265		IniciarSesion	1591031209740	1591031209745	OK	 
REQUEST	102		CrearCertificado	1591031209751	1591031209755	OK	 
REQUEST	161		IniciadoSesion	1591031209378	1591031209756	OK	 
REQUEST	161		IniciadoSesion Redirect 1	1591031209757	1591031209760	OK	 
REQUEST	162		IniciadoSesion	1591031209468	1591031209827	OK	 
REQUEST	162		IniciadoSesion Redirect 1	1591031209828	1591031209831	OK	 
USER	PublicarCurso	306	START	1591031209842	1591031209842
REQUEST	306		Home	1591031209842	1591031209847	OK	 
REQUEST	266		IniciarSesion	1591031209853	1591031209857	OK	 
REQUEST	103		CrearCertificado	1591031209857	1591031209862	OK	 
USER	PublicarCurso	307	START	1591031209937	1591031209937
REQUEST	307		Home	1591031209938	1591031209942	OK	 
REQUEST	163		IniciadoSesion	1591031209559	1591031209942	OK	 
REQUEST	163		IniciadoSesion Redirect 1	1591031209942	1591031209946	OK	 
REQUEST	267		IniciarSesion	1591031209948	1591031209952	OK	 
REQUEST	104		CrearCertificado	1591031209948	1591031209952	OK	 
USER	PublicarCurso	308	START	1591031210038	1591031210038
REQUEST	308		Home	1591031210038	1591031210042	OK	 
REQUEST	164		IniciadoSesion	1591031209671	1591031210046	OK	 
REQUEST	164		IniciadoSesion Redirect 1	1591031210046	1591031210050	OK	 
REQUEST	268		IniciarSesion	1591031210049	1591031210052	OK	 
REQUEST	105		CrearCertificado	1591031210071	1591031210074	OK	 
USER	PublicarCurso	309	START	1591031210139	1591031210139
REQUEST	309		Home	1591031210140	1591031210144	OK	 
REQUEST	165		IniciadoSesion	1591031209772	1591031210151	OK	 
REQUEST	165		IniciadoSesion Redirect 1	1591031210151	1591031210155	OK	 
REQUEST	269		IniciarSesion	1591031210150	1591031210155	OK	 
REQUEST	106		CrearCertificado	1591031210161	1591031210167	OK	 
USER	PublicarCurso	310	START	1591031210242	1591031210242
REQUEST	166		IniciadoSesion	1591031209867	1591031210244	OK	 
REQUEST	310		Home	1591031210243	1591031210249	OK	 
REQUEST	166		IniciadoSesion Redirect 1	1591031210244	1591031210250	OK	 
REQUEST	270		IniciarSesion	1591031210253	1591031210259	OK	 
REQUEST	107		CrearCertificado	1591031210258	1591031210263	OK	 
USER	PublicarCurso	311	START	1591031210338	1591031210338
REQUEST	271		IniciarSesion	1591031210338	1591031210344	OK	 
REQUEST	311		Home	1591031210339	1591031210345	OK	 
REQUEST	108		CrearCertificado	1591031210360	1591031210365	OK	 
REQUEST	167		IniciadoSesion	1591031209970	1591031210401	OK	 
REQUEST	167		IniciadoSesion Redirect 1	1591031210401	1591031210406	OK	 
USER	PublicarCurso	312	START	1591031210453	1591031210453
REQUEST	312		Home	1591031210453	1591031210458	OK	 
REQUEST	272		IniciarSesion	1591031210453	1591031210458	OK	 
REQUEST	109		CrearCertificado	1591031210458	1591031210463	OK	 
REQUEST	168		IniciadoSesion	1591031210071	1591031210519	OK	 
REQUEST	168		IniciadoSesion Redirect 1	1591031210519	1591031210523	OK	 
USER	PublicarCurso	313	START	1591031210550	1591031210550
REQUEST	313		Home	1591031210551	1591031210555	OK	 
REQUEST	273		IniciarSesion	1591031210550	1591031210556	OK	 
REQUEST	110		CrearCertificado	1591031210550	1591031210556	OK	 
REQUEST	169		IniciadoSesion	1591031210172	1591031210630	OK	 
REQUEST	169		IniciadoSesion Redirect 1	1591031210630	1591031210634	OK	 
REQUEST	111		CrearCertificado	1591031210642	1591031210647	OK	 
USER	PublicarCurso	314	START	1591031210653	1591031210653
REQUEST	274		IniciarSesion	1591031210653	1591031210657	OK	 
REQUEST	314		Home	1591031210653	1591031210658	OK	 
REQUEST	170		IniciadoSesion	1591031210258	1591031210723	OK	 
REQUEST	170		IniciadoSesion Redirect 1	1591031210724	1591031210727	OK	 
USER	PublicarCurso	315	START	1591031210751	1591031210751
REQUEST	112		CrearCertificado	1591031210751	1591031210756	OK	 
REQUEST	275		IniciarSesion	1591031210751	1591031210756	OK	 
REQUEST	315		Home	1591031210751	1591031210757	OK	 
REQUEST	171		IniciadoSesion	1591031210371	1591031210816	OK	 
REQUEST	171		IniciadoSesion Redirect 1	1591031210816	1591031210820	OK	 
USER	PublicarCurso	316	START	1591031210847	1591031210847
REQUEST	316		Home	1591031210848	1591031210853	OK	 
REQUEST	113		CrearCertificado	1591031210847	1591031210853	OK	 
REQUEST	276		IniciarSesion	1591031210847	1591031210853	OK	 
REQUEST	172		IniciadoSesion	1591031210480	1591031210920	OK	 
REQUEST	172		IniciadoSesion Redirect 1	1591031210921	1591031210925	OK	 
USER	PublicarCurso	317	START	1591031210949	1591031210949
REQUEST	317		Home	1591031210950	1591031210954	OK	 
REQUEST	277		IniciarSesion	1591031210949	1591031210954	OK	 
REQUEST	114		CrearCertificado	1591031210960	1591031210965	OK	 
REQUEST	173		IniciadoSesion	1591031210583	1591031211024	OK	 
REQUEST	173		IniciadoSesion Redirect 1	1591031211024	1591031211028	OK	 
USER	PublicarCurso	318	START	1591031211052	1591031211052
REQUEST	318		Home	1591031211052	1591031211056	OK	 
REQUEST	278		IniciarSesion	1591031211052	1591031211057	OK	 
REQUEST	115		CrearCertificado	1591031211078	1591031211083	OK	 
REQUEST	174		IniciadoSesion	1591031210679	1591031211121	OK	 
REQUEST	174		IniciadoSesion Redirect 1	1591031211122	1591031211125	OK	 
REQUEST	279		IniciarSesion	1591031211137	1591031211142	OK	 
USER	PublicarCurso	319	START	1591031211147	1591031211147
REQUEST	319		Home	1591031211148	1591031211152	OK	 
REQUEST	175		IniciadoSesion	1591031210773	1591031211199	OK	 
REQUEST	175		IniciadoSesion Redirect 1	1591031211199	1591031211203	OK	 
REQUEST	116		CrearCertificado	1591031211213	1591031211217	OK	 
USER	PublicarCurso	320	START	1591031211249	1591031211249
REQUEST	320		Home	1591031211250	1591031211255	OK	 
REQUEST	280		IniciarSesion	1591031211250	1591031211255	OK	 
REQUEST	117		CrearCertificado	1591031211298	1591031211302	OK	 
REQUEST	176		IniciadoSesion	1591031210880	1591031211308	OK	 
