ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.PublicarCurso	publicarcurso	1591031178102	 	3.3.1
REQUEST	10		IniciarSesion	1591031184282	1591031184286	OK	 
USER	PublicarCurso	51	START	1591031184329	1591031184329
REQUEST	51		Home	1591031184330	1591031184335	OK	 
REQUEST	11		IniciarSesion	1591031184371	1591031184375	OK	 
USER	PublicarCurso	52	START	1591031184449	1591031184449
REQUEST	52		Home	1591031184450	1591031184454	OK	 
REQUEST	12		IniciarSesion	1591031184470	1591031184473	OK	 
USER	PublicarCurso	53	START	1591031184551	1591031184551
REQUEST	53		Home	1591031184552	1591031184556	OK	 
REQUEST	13		IniciarSesion	1591031184572	1591031184582	OK	 
USER	PublicarCurso	54	START	1591031184652	1591031184652
REQUEST	54		Home	1591031184653	1591031184658	OK	 
REQUEST	14		IniciarSesion	1591031184668	1591031184672	OK	 
USER	PublicarCurso	55	START	1591031184752	1591031184752
REQUEST	55		Home	1591031184752	1591031184756	OK	 
REQUEST	15		IniciarSesion	1591031184773	1591031184776	OK	 
USER	PublicarCurso	56	START	1591031184853	1591031184853
REQUEST	56		Home	1591031184854	1591031184858	OK	 
REQUEST	16		IniciarSesion	1591031184868	1591031184871	OK	 
USER	PublicarCurso	57	START	1591031184948	1591031184948
REQUEST	57		Home	1591031184949	1591031184956	OK	 
REQUEST	17		IniciarSesion	1591031184968	1591031184971	OK	 
USER	PublicarCurso	58	START	1591031185048	1591031185048
REQUEST	58		Home	1591031185049	1591031185060	OK	 
REQUEST	18		IniciarSesion	1591031185069	1591031185073	OK	 
USER	PublicarCurso	59	START	1591031185148	1591031185148
REQUEST	59		Home	1591031185148	1591031185152	OK	 
REQUEST	19		IniciarSesion	1591031185169	1591031185173	OK	 
USER	PublicarCurso	60	START	1591031185249	1591031185249
REQUEST	60		Home	1591031185249	1591031185253	OK	 
REQUEST	20		IniciarSesion	1591031185271	1591031185274	OK	 
USER	PublicarCurso	61	START	1591031185350	1591031185350
REQUEST	61		Home	1591031185351	1591031185356	OK	 
REQUEST	21		IniciarSesion	1591031185382	1591031185385	OK	 
USER	PublicarCurso	62	START	1591031185448	1591031185448
REQUEST	62		Home	1591031185449	1591031185454	OK	 
REQUEST	22		IniciarSesion	1591031185449	1591031185454	OK	 
USER	PublicarCurso	63	START	1591031185550	1591031185550
REQUEST	63		Home	1591031185550	1591031185554	OK	 
REQUEST	23		IniciarSesion	1591031185550	1591031185554	OK	 
USER	PublicarCurso	64	START	1591031185650	1591031185650
REQUEST	64		Home	1591031185651	1591031185656	OK	 
REQUEST	24		IniciarSesion	1591031185650	1591031185656	OK	 
USER	PublicarCurso	65	START	1591031185749	1591031185749
REQUEST	25		IniciarSesion	1591031185750	1591031185755	OK	 
