ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.DosEscenarios	dosescenarios	1590969808337	 	3.3.1
REQUEST	813		IniciarSesion	1590969878259	1590969878636	OK	 
REQUEST	25		CerrarSesion	1590969878259	1590969878637	OK	 
REQUEST	107		CerradoSesion Redirect 1	1590969878274	1590969878638	OK	 
USER	Listado	107	END	1590969817535	1590969878638
REQUEST	519		IniciadoOwner Redirect 1	1590969878312	1590969878640	OK	 
REQUEST	21		CerrarSesion	1590969878015	1590969878642	OK	 
REQUEST	524		IniciadoOwner	1590969877717	1590969878643	OK	 
REQUEST	373		VerCursos	1590969878504	1590969878656	OK	 
REQUEST	822		IniciarSesion	1590969878667	1590969878683	OK	 
REQUEST	369		VerCursos	1590969877852	1590969878699	OK	 
REQUEST	800		IniciarSesion	1590969877633	1590969878703	OK	 
REQUEST	890		Home	1590969877992	1590969878709	OK	 
REQUEST	496		IniciadoOwner Redirect 1	1590969877902	1590969878710	OK	 
REQUEST	897		Home	1590969877992	1590969878715	OK	 
USER	Listado	902	START	1590969878748	1590969878748
USER	Inscribirse	908	START	1590969878750	1590969878750
REQUEST	893		Home	1590969878423	1590969878773	OK	 
REQUEST	389		VerCursos	1590969878457	1590969878778	OK	 
REQUEST	900		Home	1590969878423	1590969878779	OK	 
REQUEST	383		VerCursos	1590969878523	1590969878781	OK	 
REQUEST	235		Inscrito	1590969878568	1590969878782	OK	 
REQUEST	524		IniciadoOwner Redirect 1	1590969878643	1590969878796	OK	 
REQUEST	391		VerCursos	1590969878658	1590969878812	OK	 
REQUEST	98		CerradoSesion Redirect 1	1590969878097	1590969878813	OK	 
USER	Listado	98	END	1590969817053	1590969878813
REQUEST	907		Home	1590969878569	1590969878814	OK	 
REQUEST	901		Home	1590969878569	1590969878814	OK	 
REQUEST	523		IniciadoOwner	1590969877592	1590969878814	OK	 
REQUEST	95		CerradoSesion Redirect 1	1590969878204	1590969878815	OK	 
REQUEST	513		IniciadoOwner Redirect 1	1590969878289	1590969878815	OK	 
REQUEST	110		CerradoSesion	1590969878626	1590969878815	OK	 
USER	Listado	95	END	1590969816557	1590969878815
REQUEST	100		CerradoSesion Redirect 1	1590969878095	1590969878880	OK	 
REQUEST	819		IniciarSesion	1590969878259	1590969878880	OK	 
REQUEST	26		CerrarSesion	1590969878423	1590969878880	OK	 
USER	Listado	100	END	1590969817394	1590969878881
USER	Listado	903	START	1590969878893	1590969878893
USER	Inscribirse	909	START	1590969878894	1590969878894
REQUEST	518		IniciadoOwner Redirect 1	1590969877906	1590969878958	OK	 
REQUEST	829		IniciarSesion	1590969878697	1590969878958	OK	 
REQUEST	525		IniciadoOwner Redirect 1	1590969878626	1590969878959	OK	 
REQUEST	515		IniciadoOwner	1590969877284	1590969878960	OK	 
REQUEST	521		IniciadoOwner Redirect 1	1590969878313	1590969878961	OK	 
REQUEST	108		CerradoSesion	1590969878811	1590969878961	OK	 
USER	Listado	904	START	1590969879083	1590969879083
USER	Inscribirse	910	START	1590969879084	1590969879084
USER	Listado	905	START	1590969879242	1590969879242
USER	Inscribirse	911	START	1590969879242	1590969879242
USER	Inscribirse	912	START	1590969879411	1590969879411
USER	Listado	906	START	1590969879411	1590969879411
REQUEST	815		IniciarSesion	1590969878667	1590969879429	OK	 
REQUEST	523		IniciadoOwner Redirect 1	1590969878815	1590969879432	OK	 
REQUEST	908		Home	1590969878750	1590969879434	OK	 
REQUEST	812		IniciarSesion	1590969878658	1590969879434	OK	 
REQUEST	387		VerCursos	1590969878423	1590969879436	OK	 
REQUEST	390		VerCursos	1590969878811	1590969879436	OK	 
REQUEST	811		IniciarSesion	1590969878658	1590969879436	OK	 
REQUEST	384		VerCursos	1590969878658	1590969879444	OK	 
REQUEST	823		IniciarSesion	1590969878848	1590969879446	OK	 
REQUEST	385		VerCursos	1590969878811	1590969879450	OK	 
REQUEST	382		VerCursos	1590969878811	1590969879450	OK	 
REQUEST	530		IniciadoOwner	1590969877592	1590969879452	OK	 
REQUEST	400		VerCursos	1590969878811	1590969879455	OK	 
REQUEST	110		CerradoSesion Redirect 1	1590969878815	1590969879456	OK	 
REQUEST	516		IniciadoOwner	1590969877476	1590969879456	OK	 
USER	Listado	110	END	1590969817964	1590969879457
REQUEST	532		IniciadoOwner	1590969877898	1590969879458	OK	 
REQUEST	536		IniciadoOwner	1590969878457	1590969879465	OK	 
REQUEST	527		IniciadoOwner	1590969878423	1590969879479	OK	 
REQUEST	526		IniciadoOwner	1590969878080	1590969879479	OK	 
REQUEST	111		CerradoSesion	1590969879455	1590969879482	OK	 
REQUEST	531		IniciadoOwner	1590969877717	1590969879482	OK	 
REQUEST	516		IniciadoOwner Redirect 1	1590969879457	1590969879514	OK	 
REQUEST	903		Home	1590969878893	1590969879514	OK	 
REQUEST	902		Home	1590969878748	1590969879516	OK	 
REQUEST	399		VerCursos	1590969879455	1590969879516	OK	 
REQUEST	814		IniciarSesion	1590969878848	1590969879516	OK	 
REQUEST	522		IniciadoOwner	1590969877476	1590969879517	OK	 
REQUEST	109		CerradoSesion	1590969879183	1590969879518	OK	 
REQUEST	112		CerradoSesion	1590969879218	1590969879521	OK	 
REQUEST	401		VerCursos	1590969878848	1590969879523	OK	 
REQUEST	36		CerrarSesion	1590969878996	1590969879523	OK	 
USER	Listado	913	START	1590969879532	1590969879532
USER	Inscribirse	920	START	1590969879532	1590969879532
REQUEST	27		CerrarSesion	1590969878893	1590969879558	OK	 
REQUEST	909		Home	1590969878894	1590969879559	OK	 
REQUEST	821		IniciarSesion	1590969878848	1590969879570	OK	 
REQUEST	910		Home	1590969879084	1590969879574	OK	 
REQUEST	536		IniciadoOwner Redirect 1	1590969879465	1590969879575	OK	 
REQUEST	532		IniciadoOwner Redirect 1	1590969879458	1590969879577	OK	 
REQUEST	533		IniciadoOwner	1590969878080	1590969879590	OK	 
REQUEST	123		CerradoSesion	1590969879340	1590969879608	OK	 
REQUEST	825		IniciarSesion	1590969879219	1590969879609	OK	 
REQUEST	515		IniciadoOwner Redirect 1	1590969878960	1590969879624	OK	 
REQUEST	243		CerrarSesion	1590969879455	1590969879624	OK	 
REQUEST	531		IniciadoOwner Redirect 1	1590969879482	1590969879625	OK	 
REQUEST	238		CerrarSesion	1590969879455	1590969879630	OK	 
REQUEST	522		IniciadoOwner Redirect 1	1590969879517	1590969879642	OK	 
REQUEST	236		Inscrito	1590969878996	1590969879642	OK	 
REQUEST	109		CerradoSesion Redirect 1	1590969879518	1590969879642	OK	 
REQUEST	824		IniciarSesion	1590969879219	1590969879643	OK	 
USER	Listado	109	END	1590969817822	1590969879643
REQUEST	122		CerradoSesion	1590969879317	1590969879661	OK	 
REQUEST	534		IniciadoOwner	1590969878403	1590969879662	OK	 
REQUEST	534		IniciadoOwner Redirect 1	1590969879662	1590969879667	OK	 
REQUEST	240		CerrarSesion	1590969879384	1590969879667	OK	 
REQUEST	37		CerrarSesion	1590969879154	1590969879667	OK	 
REQUEST	113		CerradoSesion	1590969879412	1590969879669	OK	 
REQUEST	28		CerrarSesion	1590969878933	1590969879669	OK	 
REQUEST	244		Inscrito	1590969879411	1590969879670	OK	 
USER	Inscribirse	921	START	1590969879676	1590969879676
USER	Listado	914	START	1590969879676	1590969879676
REQUEST	904		Home	1590969879084	1590969879703	OK	 
REQUEST	905		Home	1590969879242	1590969879704	OK	 
REQUEST	830		IniciarSesion	1590969879284	1590969879704	OK	 
REQUEST	230		CerrarSesion	1590969879340	1590969879713	OK	 
REQUEST	396		VerCursos	1590969879384	1590969879744	OK	 
REQUEST	402		VerCursos	1590969879412	1590969879747	OK	 
REQUEST	121		CerradoSesion	1590969879242	1590969879759	OK	 
REQUEST	911		Home	1590969879242	1590969879760	OK	 
REQUEST	247		Inscrito	1590969879513	1590969879760	OK	 
REQUEST	394		VerCursos	1590969879154	1590969879765	OK	 
REQUEST	395		VerCursos	1590969879340	1590969879765	OK	 
REQUEST	404		VerCursos	1590969879340	1590969879767	OK	 
REQUEST	831		IniciarSesion	1590969879340	1590969879767	OK	 
REQUEST	527		IniciadoOwner Redirect 1	1590969879479	1590969879797	OK	 
REQUEST	405		VerCursos	1590969879532	1590969879797	OK	 
REQUEST	544		IniciadoOwner	1590969878811	1590969879797	OK	 
REQUEST	381		VerCursos	1590969879242	1590969879798	OK	 
REQUEST	533		IniciadoOwner Redirect 1	1590969879590	1590969879798	OK	 
REQUEST	246		Inscrito	1590969879353	1590969879799	OK	 
REQUEST	528		IniciadoOwner	1590969878490	1590969879799	OK	 
USER	Listado	915	START	1590969879817	1590969879817
USER	Inscribirse	922	START	1590969879818	1590969879818
REQUEST	123		CerradoSesion Redirect 1	1590969879609	1590969879830	OK	 
REQUEST	124		CerradoSesion	1590969879513	1590969879831	OK	 
REQUEST	111		CerradoSesion Redirect 1	1590969879482	1590969879831	OK	 
USER	Listado	123	END	1590969818893	1590969879831
USER	Listado	111	END	1590969818105	1590969879832
REQUEST	397		VerCursos	1590969879426	1590969879832	OK	 
REQUEST	229		CerrarSesion	1590969878996	1590969879832	OK	 
REQUEST	913		Home	1590969879533	1590969879867	OK	 
REQUEST	530		IniciadoOwner Redirect 1	1590969879452	1590969879879	OK	 
REQUEST	249		Inscrito	1590969879513	1590969879880	OK	 
REQUEST	386		VerCursos	1590969879413	1590969879880	OK	 
REQUEST	112		CerradoSesion Redirect 1	1590969879521	1590969879880	OK	 
USER	Listado	112	END	1590969818253	1590969879881
REQUEST	920		Home	1590969879533	1590969879942	OK	 
REQUEST	393		VerCursos	1590969879412	1590969879943	OK	 
REQUEST	906		Home	1590969879411	1590969879943	OK	 
REQUEST	124		CerradoSesion Redirect 1	1590969879831	1590969879943	OK	 
REQUEST	245		Inscrito	1590969878996	1590969879944	OK	 
REQUEST	403		VerCursos	1590969879532	1590969879944	OK	 
USER	Listado	124	END	1590969819057	1590969879944
REQUEST	40		CerrarSesion	1590969879750	1590969879944	OK	 
REQUEST	122		CerradoSesion Redirect 1	1590969879662	1590969879944	OK	 
USER	Listado	122	END	1590969818723	1590969879944
USER	Inscribirse	923	START	1590969879970	1590969879970
USER	Listado	916	START	1590969879970	1590969879970
USER	Listado	917	START	1590969880115	1590969880115
USER	Inscribirse	924	START	1590969880115	1590969880115
USER	Inscribirse	925	START	1590969880248	1590969880248
USER	Listado	918	START	1590969880248	1590969880248
USER	Listado	919	START	1590969880386	1590969880386
USER	Inscribirse	926	START	1590969880386	1590969880386
REQUEST	912		Home	1590969879411	1590969880389	OK	 
REQUEST	526		IniciadoOwner Redirect 1	1590969879479	1590969880394	OK	 
REQUEST	529		IniciadoOwner	1590969878457	1590969880394	OK	 
REQUEST	237		CerrarSesion	1590969879284	1590969880395	OK	 
REQUEST	535		IniciadoOwner	1590969878403	1590969880426	OK	 
REQUEST	538		IniciadoOwner	1590969878778	1590969880427	OK	 
REQUEST	543		IniciadoOwner	1590969878747	1590969880429	OK	 
REQUEST	388		VerCursos	1590969879284	1590969880432	OK	 
REQUEST	39		CerrarSesion	1590969879686	1590969880434	OK	 
REQUEST	239		CerrarSesion	1590969879284	1590969880436	OK	 
REQUEST	108		CerradoSesion Redirect 1	1590969878961	1590969880437	OK	 
USER	Listado	108	END	1590969817675	1590969880438
REQUEST	546		IniciadoOwner	1590969879150	1590969880441	OK	 
REQUEST	542		IniciadoOwner	1590969879454	1590969880443	OK	 
REQUEST	539		IniciadoOwner	1590969878997	1590969880449	OK	 
REQUEST	242		CerrarSesion	1590969879970	1590969880454	OK	 
REQUEST	923		Home	1590969879970	1590969880454	OK	 
REQUEST	248		Inscrito	1590969879513	1590969880455	OK	 
REQUEST	392		VerCursos	1590969879242	1590969880455	OK	 
REQUEST	250		Inscrito	1590969880071	1590969880467	OK	 
REQUEST	121		CerradoSesion Redirect 1	1590969879760	1590969880467	OK	 
USER	Listado	121	END	1590969818556	1590969880468
REQUEST	241		CerrarSesion	1590969879941	1590969880470	OK	 
REQUEST	113		CerradoSesion Redirect 1	1590969879669	1590969880472	OK	 
USER	Listado	113	END	1590969818394	1590969880473
REQUEST	914		Home	1590969879677	1590969880479	OK	 
REQUEST	919		Home	1590969880387	1590969880479	OK	 
REQUEST	38		CerrarSesion	1590969879455	1590969880481	OK	 
REQUEST	52		CerrarSesion	1590969880422	1590969880487	OK	 
REQUEST	548		IniciadoOwner	1590969879454	1590969880488	OK	 
REQUEST	557		IniciadoOwner	1590969879717	1590969880496	OK	 
REQUEST	827		IniciarSesion	1590969880115	1590969880501	OK	 
REQUEST	413		VerCursos	1590969880088	1590969880503	OK	 
REQUEST	917		Home	1590969880115	1590969880504	OK	 
REQUEST	543		IniciadoOwner Redirect 1	1590969880429	1590969880504	OK	 
REQUEST	537		IniciadoOwner	1590969878697	1590969880504	OK	 
REQUEST	537		IniciadoOwner Redirect 1	1590969880504	1590969880520	OK	 
REQUEST	126		CerradoSesion	1590969880248	1590969880521	OK	 
REQUEST	126		CerradoSesion Redirect 1	1590969880522	1590969880532	OK	 
USER	Listado	126	END	1590969819396	1590969880532
REQUEST	51		CerrarSesion	1590969880262	1590969880541	OK	 
REQUEST	407		VerCursos	1590969880219	1590969880548	OK	 
USER	Listado	927	START	1590969880571	1590969880571
USER	Inscribirse	933	START	1590969880572	1590969880572
REQUEST	540		IniciadoOwner	1590969879150	1590969880604	OK	 
REQUEST	547		IniciadoOwner	1590969879317	1590969880604	OK	 
REQUEST	541		IniciadoOwner	1590969879317	1590969880604	OK	 
REQUEST	922		Home	1590969879819	1590969880610	OK	 
REQUEST	406		VerCursos	1590969879532	1590969880610	OK	 
REQUEST	529		IniciadoOwner Redirect 1	1590969880395	1590969880610	OK	 
REQUEST	544		IniciadoOwner Redirect 1	1590969879797	1590969880610	OK	 
REQUEST	542		IniciadoOwner Redirect 1	1590969880443	1590969880610	OK	 
REQUEST	826		IniciarSesion	1590969879874	1590969880610	OK	 
REQUEST	546		IniciadoOwner Redirect 1	1590969880441	1590969880611	OK	 
REQUEST	41		CerrarSesion	1590969879750	1590969880611	OK	 
REQUEST	262		Inscrito	1590969880516	1590969880620	OK	 
REQUEST	924		Home	1590969880115	1590969880621	OK	 
REQUEST	545		IniciadoOwner	1590969878997	1590969880620	OK	 
REQUEST	926		Home	1590969880387	1590969880622	OK	 
REQUEST	539		IniciadoOwner Redirect 1	1590969880449	1590969880622	OK	 
REQUEST	832		IniciarSesion	1590969880115	1590969880622	OK	 
REQUEST	252		CerrarSesion	1590969880048	1590969880622	OK	 
REQUEST	261		Inscrito	1590969880515	1590969880646	OK	 
REQUEST	133		CerradoSesion	1590969880262	1590969880661	OK	 
REQUEST	918		Home	1590969880248	1590969880661	OK	 
REQUEST	925		Home	1590969880248	1590969880665	OK	 
REQUEST	49		CerrarSesion	1590969879970	1590969880705	OK	 
REQUEST	557		IniciadoOwner Redirect 1	1590969880496	1590969880706	OK	 
REQUEST	257		Inscrito	1590969879970	1590969880707	OK	 
USER	Listado	928	START	1590969880746	1590969880746
USER	Inscribirse	934	START	1590969880747	1590969880747
REQUEST	42		CerrarSesion	1590969879874	1590969880770	OK	 
REQUEST	398		VerCursos	1590969879532	1590969880772	OK	 
REQUEST	915		Home	1590969879817	1590969880774	OK	 
REQUEST	414		VerCursos	1590969880201	1590969880798	OK	 
REQUEST	842		IniciarSesion	1590969880115	1590969880798	OK	 
REQUEST	50		CerrarSesion	1590969880115	1590969880798	OK	 
REQUEST	828		IniciarSesion	1590969880319	1590969880802	OK	 
REQUEST	547		IniciadoOwner Redirect 1	1590969880604	1590969880806	OK	 
REQUEST	535		IniciadoOwner Redirect 1	1590969880426	1590969880807	OK	 
REQUEST	53		CerrarSesion	1590969880707	1590969880807	OK	 
REQUEST	528		IniciadoOwner Redirect 1	1590969879800	1590969880847	OK	 
REQUEST	556		IniciadoOwner	1590969879643	1590969880847	OK	 
REQUEST	125		CerradoSesion	1590969880115	1590969880847	OK	 
REQUEST	834		IniciarSesion	1590969880319	1590969880847	OK	 
REQUEST	835		IniciarSesion	1590969880645	1590969880847	OK	 
REQUEST	836		IniciarSesion	1590969880319	1590969880847	OK	 
REQUEST	921		Home	1590969879677	1590969880855	OK	 
REQUEST	844		IniciarSesion	1590969880319	1590969880855	OK	 
REQUEST	541		IniciadoOwner Redirect 1	1590969880604	1590969880887	OK	 
REQUEST	927		Home	1590969880572	1590969880887	OK	 
REQUEST	133		CerradoSesion Redirect 1	1590969880662	1590969880888	OK	 
REQUEST	833		IniciarSesion	1590969879874	1590969880888	OK	 
REQUEST	538		IniciadoOwner Redirect 1	1590969880428	1590969880889	OK	 
USER	Listado	133	END	1590969819533	1590969880889
REQUEST	545		IniciadoOwner Redirect 1	1590969880621	1590969880890	OK	 
REQUEST	251		CerrarSesion	1590969880645	1590969880890	OK	 
USER	Inscribirse	935	START	1590969880894	1590969880894
USER	Listado	929	START	1590969880894	1590969880894
REQUEST	136		CerradoSesion	1590969880878	1590969880939	OK	 
REQUEST	548		IniciadoOwner Redirect 1	1590969880488	1590969880939	OK	 
REQUEST	258		Inscrito	1590969880848	1590969880973	OK	 
REQUEST	417		VerCursos	1590969880201	1590969880974	OK	 
REQUEST	839		IniciarSesion	1590969880319	1590969880974	OK	 
REQUEST	415		VerCursos	1590969880747	1590969881008	OK	 
REQUEST	410		VerCursos	1590969880847	1590969881008	OK	 
REQUEST	837		IniciarSesion	1590969880620	1590969881009	OK	 
REQUEST	54		CerrarSesion	1590969880819	1590969881013	OK	 
REQUEST	255		CerrarSesion	1590969880620	1590969881013	OK	 
REQUEST	253		CerrarSesion	1590969880819	1590969881014	OK	 
REQUEST	845		IniciarSesion	1590969880319	1590969881014	OK	 
REQUEST	136		CerradoSesion Redirect 1	1590969880939	1590969881025	OK	 
USER	Listado	136	END	1590969819965	1590969881026
USER	Listado	930	START	1590969881058	1590969881058
USER	Inscribirse	936	START	1590969881058	1590969881058
REQUEST	916		Home	1590969879970	1590969881188	OK	 
REQUEST	929		Home	1590969880894	1590969881230	OK	 
USER	Listado	931	START	1590969881230	1590969881230
USER	Inscribirse	937	START	1590969881231	1590969881231
REQUEST	125		CerradoSesion Redirect 1	1590969880847	1590969881325	OK	 
REQUEST	62		CerrarSesion	1590969880973	1590969881325	OK	 
USER	Listado	125	END	1590969819223	1590969881325
USER	Inscribirse	938	START	1590969881412	1590969881412
USER	Listado	932	START	1590969881412	1590969881412
USER	Listado	939	START	1590969881555	1590969881555
USER	Inscribirse	946	START	1590969881556	1590969881556
REQUEST	838		IniciarSesion	1590969880940	1590969881581	OK	 
REQUEST	254		CerrarSesion	1590969881142	1590969881581	OK	 
REQUEST	408		VerCursos	1590969881230	1590969881582	OK	 
REQUEST	560		IniciadoOwner	1590969880169	1590969881582	OK	 
REQUEST	134		CerradoSesion	1590969880940	1590969881583	OK	 
REQUEST	934		Home	1590969880747	1590969881584	OK	 
REQUEST	841		IniciarSesion	1590969880940	1590969881586	OK	 
REQUEST	849		IniciarSesion	1590969880940	1590969881586	OK	 
REQUEST	563		IniciadoOwner	1590969880644	1590969881598	OK	 
REQUEST	555		IniciadoOwner	1590969880424	1590969881598	OK	 
REQUEST	569		IniciadoOwner	1590969880644	1590969881600	OK	 
REQUEST	553		IniciadoOwner	1590969880286	1590969881606	OK	 
REQUEST	850		IniciarSesion	1590969880784	1590969881608	OK	 
REQUEST	423		VerCursos	1590969881232	1590969881618	OK	 
REQUEST	440		VerCursos	1590969881605	1590969881619	OK	 
REQUEST	426		VerCursos	1590969880940	1590969881621	OK	 
REQUEST	418		VerCursos	1590969881269	1590969881624	OK	 
REQUEST	270		Inscrito	1590969881269	1590969881632	OK	 
REQUEST	428		VerCursos	1590969881190	1590969881636	OK	 
REQUEST	930		Home	1590969881058	1590969881668	OK	 
USER	Listado	940	START	1590969881704	1590969881704
USER	Inscribirse	947	START	1590969881705	1590969881705
REQUEST	540		IniciadoOwner Redirect 1	1590969880604	1590969881717	OK	 
REQUEST	260		Inscrito	1590969880819	1590969881723	OK	 
REQUEST	256		CerrarSesion	1590969881269	1590969881723	OK	 
REQUEST	273		Inscrito	1590969881325	1590969881730	OK	 
REQUEST	553		IniciadoOwner Redirect 1	1590969881606	1590969881731	OK	 
REQUEST	412		VerCursos	1590969880940	1590969881732	OK	 
REQUEST	138		CerradoSesion	1590969880940	1590969881734	OK	 
REQUEST	933		Home	1590969880573	1590969881739	OK	 
REQUEST	550		IniciadoOwner	1590969879717	1590969881739	OK	 
REQUEST	147		CerradoSesion	1590969881592	1590969881740	OK	 
REQUEST	409		VerCursos	1590969880940	1590969881747	OK	 
REQUEST	550		IniciadoOwner Redirect 1	1590969881739	1590969881747	OK	 
REQUEST	549		IniciadoOwner	1590969879643	1590969881750	OK	 
REQUEST	932		Home	1590969881412	1590969881754	OK	 
REQUEST	554		IniciadoOwner	1590969880286	1590969881755	OK	 
REQUEST	558		IniciadoOwner	1590969880218	1590969881755	OK	 
REQUEST	135		CerradoSesion	1590969881514	1590969881756	OK	 
REQUEST	552		IniciadoOwner	1590969880201	1590969881757	OK	 
REQUEST	149		CerradoSesion	1590969881571	1590969881759	OK	 
REQUEST	556		IniciadoOwner Redirect 1	1590969880847	1590969881764	OK	 
REQUEST	264		CerrarSesion	1590969881231	1590969881764	OK	 
REQUEST	276		Inscrito	1590969881325	1590969881765	OK	 
REQUEST	937		Home	1590969881231	1590969881767	OK	 
REQUEST	935		Home	1590969880894	1590969881770	OK	 
REQUEST	562		IniciadoOwner	1590969880424	1590969881774	OK	 
REQUEST	856		IniciarSesion	1590969880940	1590969881775	OK	 
REQUEST	560		IniciadoOwner Redirect 1	1590969881583	1590969881781	OK	 
REQUEST	411		VerCursos	1590969880819	1590969881782	OK	 
REQUEST	851		IniciarSesion	1590969881058	1590969881782	OK	 
REQUEST	421		VerCursos	1590969880940	1590969881783	OK	 
REQUEST	928		Home	1590969880747	1590969881809	OK	 
REQUEST	561		IniciadoOwner	1590969880286	1590969881809	OK	 
REQUEST	150		CerradoSesion	1590969881482	1590969881810	OK	 
REQUEST	549		IniciadoOwner Redirect 1	1590969881750	1590969881814	OK	 
REQUEST	283		Inscrito	1590969881325	1590969881814	OK	 
REQUEST	65		CerrarSesion	1590969881357	1590969881814	OK	 
REQUEST	268		CerrarSesion	1590969881482	1590969881815	OK	 
REQUEST	137		CerradoSesion	1590969881514	1590969881817	OK	 
REQUEST	569		IniciadoOwner Redirect 1	1590969881601	1590969881824	OK	 
REQUEST	554		IniciadoOwner Redirect 1	1590969881756	1590969881829	OK	 
REQUEST	558		IniciadoOwner Redirect 1	1590969881756	1590969881829	OK	 
REQUEST	149		CerradoSesion Redirect 1	1590969881759	1590969881830	OK	 
REQUEST	559		IniciadoOwner	1590969880201	1590969881830	OK	 
USER	Listado	149	END	1590969820893	1590969881830
REQUEST	259		Inscrito	1590969881231	1590969881832	OK	 
REQUEST	63		CerrarSesion	1590969881096	1590969881832	OK	 
REQUEST	419		VerCursos	1590969880940	1590969881833	OK	 
REQUEST	551		IniciadoOwner	1590969880169	1590969881833	OK	 
REQUEST	843		IniciarSesion	1590969880940	1590969881834	OK	 
REQUEST	138		CerradoSesion Redirect 1	1590969881734	1590969881834	OK	 
USER	Listado	138	END	1590969820246	1590969881835
REQUEST	855		IniciarSesion	1590969880784	1590969881841	OK	 
REQUEST	134		CerradoSesion Redirect 1	1590969881583	1590969881846	OK	 
USER	Listado	134	END	1590969819676	1590969881846
REQUEST	148		CerradoSesion	1590969881514	1590969881847	OK	 
REQUEST	267		CerrarSesion	1590969881325	1590969881847	OK	 
REQUEST	266		CerrarSesion	1590969881446	1590969881848	OK	 
REQUEST	432		VerCursos	1590969881482	1590969881853	OK	 
REQUEST	847		IniciarSesion	1590969881015	1590969881854	OK	 
REQUEST	271		Inscrito	1590969881231	1590969881857	OK	 
REQUEST	555		IniciadoOwner Redirect 1	1590969881599	1590969881857	OK	 
REQUEST	275		Inscrito	1590969881325	1590969881858	OK	 
USER	Inscribirse	948	START	1590969881860	1590969881860
USER	Listado	941	START	1590969881860	1590969881860
REQUEST	936		Home	1590969881059	1590969881900	OK	 
REQUEST	846		IniciarSesion	1590969881015	1590969881900	OK	 
REQUEST	135		CerradoSesion Redirect 1	1590969881756	1590969881901	OK	 
REQUEST	434		VerCursos	1590969881482	1590969881901	OK	 
USER	Listado	135	END	1590969819823	1590969881902
REQUEST	274		Inscrito	1590969881446	1590969881902	OK	 
REQUEST	848		IniciarSesion	1590969880940	1590969881906	OK	 
REQUEST	272		Inscrito	1590969881325	1590969881914	OK	 
REQUEST	946		Home	1590969881556	1590969881918	OK	 
REQUEST	931		Home	1590969881231	1590969881921	OK	 
REQUEST	431		VerCursos	1590969881704	1590969881923	OK	 
REQUEST	424		VerCursos	1590969881704	1590969881923	OK	 
REQUEST	551		IniciadoOwner Redirect 1	1590969881833	1590969881974	OK	 
REQUEST	269		CerrarSesion	1590969881514	1590969881974	OK	 
REQUEST	139		CerradoSesion	1590969881571	1590969881976	OK	 
REQUEST	427		VerCursos	1590969880940	1590969881976	OK	 
USER	Inscribirse	949	START	1590969881999	1590969881999
USER	Listado	942	START	1590969881999	1590969881999
REQUEST	559		IniciadoOwner Redirect 1	1590969881830	1590969882008	OK	 
REQUEST	66		CerrarSesion	1590969881537	1590969882008	OK	 
REQUEST	151		CerradoSesion	1590969881861	1590969882009	OK	 
REQUEST	416		VerCursos	1590969880940	1590969882071	OK	 
REQUEST	948		Home	1590969881860	1590969882071	OK	 
REQUEST	853		IniciarSesion	1590969881663	1590969882072	OK	 
REQUEST	420		VerCursos	1590969881556	1590969882093	OK	 
REQUEST	277		CerrarSesion	1590969881514	1590969882093	OK	 
REQUEST	148		CerradoSesion Redirect 1	1590969881847	1590969882094	OK	 
REQUEST	857		IniciarSesion	1590969881662	1590969882094	OK	 
USER	Listado	148	END	1590969820727	1590969882094
REQUEST	938		Home	1590969881412	1590969882095	OK	 
REQUEST	433		VerCursos	1590969881860	1590969882095	OK	 
REQUEST	137		CerradoSesion Redirect 1	1590969881817	1590969882095	OK	 
REQUEST	861		IniciarSesion	1590969881859	1590969882095	OK	 
USER	Listado	137	END	1590969820105	1590969882096
REQUEST	429		VerCursos	1590969881572	1590969882126	OK	 
REQUEST	552		IniciadoOwner Redirect 1	1590969881757	1590969882160	OK	 
REQUEST	862		IniciarSesion	1590969881954	1590969882160	OK	 
USER	Inscribirse	950	START	1590969882162	1590969882162
USER	Listado	943	START	1590969882162	1590969882162
REQUEST	147		CerradoSesion Redirect 1	1590969881740	1590969882195	OK	 
REQUEST	263		CerrarSesion	1590969881325	1590969882195	OK	 
REQUEST	265		CerrarSesion	1590969881325	1590969882195	OK	 
USER	Listado	147	END	1590969820552	1590969882196
REQUEST	425		VerCursos	1590969881592	1590969882196	OK	 
USER	Inscribirse	951	START	1590969882288	1590969882288
USER	Listado	944	START	1590969882288	1590969882288
USER	Listado	945	START	1590969882420	1590969882420
USER	Inscribirse	952	START	1590969882420	1590969882420
REQUEST	151		CerradoSesion Redirect 1	1590969882009	1590969882491	OK	 
REQUEST	67		CerrarSesion	1590969881704	1590969882491	OK	 
REQUEST	860		IniciarSesion	1590969881860	1590969882491	OK	 
USER	Listado	151	END	1590969821227	1590969882491
REQUEST	422		VerCursos	1590969881446	1590969882493	OK	 
REQUEST	840		IniciarSesion	1590969881537	1590969882498	OK	 
REQUEST	563		IniciadoOwner Redirect 1	1590969881598	1590969882498	OK	 
REQUEST	863		IniciarSesion	1590969881999	1590969882498	OK	 
REQUEST	150		CerradoSesion Redirect 1	1590969881810	1590969882500	OK	 
REQUEST	564		IniciadoOwner	1590969881068	1590969882500	OK	 
REQUEST	561		IniciadoOwner Redirect 1	1590969881809	1590969882501	OK	 
