ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.DosEscenarios2	dosescenarios2	1591235274099	 	3.3.1
REQUEST	58		Home	1591235279161	1591235279172	OK	 
USER	Publicar	59	START	1591235279314	1591235279314
USER	ListadoCursos	66	START	1591235279314	1591235279314
REQUEST	66		Home	1591235279315	1591235279325	OK	 
REQUEST	59		Home	1591235279315	1591235279326	OK	 
USER	ListadoCursos	67	START	1591235279460	1591235279460
USER	Publicar	60	START	1591235279460	1591235279460
REQUEST	67		Home	1591235279460	1591235279470	OK	 
REQUEST	60		Home	1591235279460	1591235279470	OK	 
USER	ListadoCursos	68	START	1591235279604	1591235279604
USER	Publicar	61	START	1591235279604	1591235279604
REQUEST	61		Home	1591235279605	1591235279614	OK	 
REQUEST	68		Home	1591235279605	1591235279614	OK	 
USER	ListadoCursos	69	START	1591235279743	1591235279743
USER	Publicar	62	START	1591235279743	1591235279743
REQUEST	69		Home	1591235279744	1591235279753	OK	 
REQUEST	62		Home	1591235279744	1591235279753	OK	 
USER	Publicar	63	START	1591235279884	1591235279884
USER	ListadoCursos	70	START	1591235279884	1591235279884
REQUEST	70		Home	1591235279885	1591235279894	OK	 
REQUEST	63		Home	1591235279885	1591235279894	OK	 
USER	Publicar	64	START	1591235280036	1591235280036
USER	ListadoCursos	71	START	1591235280036	1591235280036
REQUEST	71		Home	1591235280036	1591235280044	OK	 
REQUEST	64		Home	1591235280036	1591235280050	OK	 
USER	Publicar	65	START	1591235280174	1591235280174
USER	ListadoCursos	72	START	1591235280174	1591235280174
REQUEST	65		Home	1591235280175	1591235280184	OK	 
REQUEST	72		Home	1591235280175	1591235280184	OK	 
USER	ListadoCursos	80	START	1591235280311	1591235280311
USER	Publicar	73	START	1591235280311	1591235280311
REQUEST	80		Home	1591235280311	1591235280321	OK	 
REQUEST	73		Home	1591235280311	1591235280321	OK	 
USER	Publicar	74	START	1591235280453	1591235280453
USER	ListadoCursos	81	START	1591235280453	1591235280453
REQUEST	81		Home	1591235280454	1591235280463	OK	 
REQUEST	74		Home	1591235280454	1591235280464	OK	 
USER	ListadoCursos	82	START	1591235280594	1591235280594
REQUEST	82		Home	1591235280595	1591235280603	OK	 
USER	Publicar	75	START	1591235280605	1591235280605
REQUEST	75		Home	1591235280606	1591235280612	OK	 
USER	Publicar	76	START	1591235280740	1591235280740
USER	ListadoCursos	83	START	1591235280740	1591235280740
REQUEST	76		Home	1591235280740	1591235280751	OK	 
REQUEST	83		Home	1591235280740	1591235280751	OK	 
USER	Publicar	77	START	1591235280881	1591235280881
USER	ListadoCursos	84	START	1591235280881	1591235280881
REQUEST	77		Home	1591235280881	1591235280892	OK	 
REQUEST	84		Home	1591235280881	1591235280892	OK	 
USER	Publicar	78	START	1591235281025	1591235281025
USER	ListadoCursos	85	START	1591235281025	1591235281025
REQUEST	78		Home	1591235281025	1591235281038	OK	 
REQUEST	85		Home	1591235281025	1591235281042	OK	 
USER	ListadoCursos	86	START	1591235281174	1591235281174
USER	Publicar	79	START	1591235281174	1591235281174
REQUEST	79		Home	1591235281174	1591235281187	OK	 
REQUEST	86		Home	1591235281174	1591235281189	OK	 
USER	ListadoCursos	94	START	1591235281311	1591235281311
USER	Publicar	87	START	1591235281311	1591235281311
REQUEST	87		Home	1591235281311	1591235281321	OK	 
REQUEST	94		Home	1591235281311	1591235281321	OK	 
USER	ListadoCursos	95	START	1591235281452	1591235281452
USER	Publicar	88	START	1591235281452	1591235281452
REQUEST	95		Home	1591235281452	1591235281461	OK	 
REQUEST	88		Home	1591235281452	1591235281461	OK	 
USER	Publicar	89	START	1591235281605	1591235281605
USER	ListadoCursos	96	START	1591235281605	1591235281605
REQUEST	89		Home	1591235281605	1591235281615	OK	 
REQUEST	96		Home	1591235281605	1591235281615	OK	 
USER	ListadoCursos	97	START	1591235281740	1591235281740
USER	Publicar	90	START	1591235281740	1591235281740
REQUEST	90		Home	1591235281740	1591235281749	OK	 
REQUEST	97		Home	1591235281740	1591235281749	OK	 
USER	ListadoCursos	98	START	1591235281880	1591235281880
USER	Publicar	91	START	1591235281880	1591235281880
REQUEST	91		Home	1591235281880	1591235281889	OK	 
REQUEST	98		Home	1591235281880	1591235281889	OK	 
USER	ListadoCursos	99	START	1591235282023	1591235282023
USER	Publicar	92	START	1591235282023	1591235282023
REQUEST	92		Home	1591235282024	1591235282035	OK	 
REQUEST	99		Home	1591235282024	1591235282036	OK	 
USER	Publicar	93	START	1591235282174	1591235282174
USER	ListadoCursos	100	START	1591235282175	1591235282175
REQUEST	100		Home	1591235282175	1591235282190	OK	 
REQUEST	93		Home	1591235282175	1591235282190	OK	 
USER	ListadoCursos	108	START	1591235282311	1591235282311
USER	Publicar	101	START	1591235282311	1591235282311
REQUEST	101		Home	1591235282311	1591235282320	OK	 
REQUEST	108		Home	1591235282311	1591235282322	OK	 
USER	ListadoCursos	109	START	1591235282451	1591235282451
USER	Publicar	102	START	1591235282451	1591235282451
REQUEST	109		Home	1591235282452	1591235282460	OK	 
REQUEST	102		Home	1591235282452	1591235282460	OK	 
REQUEST	1		IniciarSesion	1591235282473	1591235282506	OK	 
REQUEST	3		IniciarSesion	1591235282513	1591235282531	OK	 
REQUEST	16		IniciarSesion	1591235282473	1591235282505	OK	 
