ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.DosEscenarios2	dosescenarios2	1591235274099	 	3.3.1
REQUEST	231		IniciadoClerk Redirect 1	1591235345196	1591235352253	OK	 
REQUEST	953		Home	1591235342969	1591235352253	OK	 
REQUEST	283		IniciadoClerk	1591235340343	1591235352253	OK	 
REQUEST	837		IniciarSesion	1591235343251	1591235352254	OK	 
REQUEST	810		IniciarSesion	1591235341980	1591235352255	OK	 
USER	ListadoCursos	1080	START	1591235352276	1591235352276
USER	Publicar	1073	START	1591235352276	1591235352276
REQUEST	954		Home	1591235343114	1591235352391	OK	 
REQUEST	691		IniciarSesion	1591235335444	1591235352391	OK	 
REQUEST	767		IniciarSesion	1591235339975	1591235352391	OK	 
USER	Publicar	1081	START	1591235352396	1591235352396
USER	ListadoCursos	1088	START	1591235352396	1591235352396
REQUEST	82		CursosDisponibles	1591235344633	1591235352521	OK	 
REQUEST	26		CerrarSesion	1591235342309	1591235352521	OK	 
REQUEST	39		CerrarSesion	1591235343681	1591235352523	OK	 
REQUEST	982		Home	1591235345193	1591235352528	OK	 
REQUEST	16		CerrarSesion	1591235340741	1591235352529	OK	 
REQUEST	914		Home	1591235340622	1591235352529	OK	 
USER	Publicar	1082	START	1591235352535	1591235352535
USER	ListadoCursos	1089	START	1591235352536	1591235352536
REQUEST	133		IniciadoClerk Redirect 1	1591235343059	1591235352658	OK	 
REQUEST	234		IniciadoOwner Redirect 1	1591235344310	1591235352659	OK	 
REQUEST	261		IniciadoClerk	1591235339224	1591235352659	OK	 
USER	Publicar	1083	START	1591235352671	1591235352671
USER	ListadoCursos	1090	START	1591235352671	1591235352671
REQUEST	946		Home	1591235342969	1591235352786	OK	 
REQUEST	920		Home	1591235340621	1591235352786	OK	 
USER	Publicar	1084	START	1591235352790	1591235352790
USER	ListadoCursos	1091	START	1591235352793	1591235352793
REQUEST	840		IniciarSesion	1591235345710	1591235352807	OK	 
USER	Publicar	1085	START	1591235352908	1591235352908
USER	ListadoCursos	1092	START	1591235352908	1591235352908
REQUEST	985		Home	1591235345710	1591235352914	OK	 
REQUEST	321		IniciadoOwner	1591235342760	1591235353025	OK	 
REQUEST	968		Home	1591235344188	1591235353034	OK	 
REQUEST	249		IniciadoOwner Redirect 1	1591235343641	1591235353036	OK	 
REQUEST	729		IniciarSesion	1591235340130	1591235353036	OK	 
REQUEST	225		IniciadoOwner Redirect 1	1591235344358	1591235353037	OK	 
REQUEST	969		Home	1591235344324	1591235353039	OK	 
USER	Publicar	1086	START	1591235353066	1591235353066
USER	ListadoCursos	1093	START	1591235353067	1591235353067
USER	ListadoCursos	1094	START	1591235353219	1591235353219
USER	Publicar	1087	START	1591235353219	1591235353219
USER	ListadoCursos	1102	START	1591235353391	1591235353391
USER	Publicar	1095	START	1591235353391	1591235353391
REQUEST	197		IniciadoOwner Redirect 1	1591235346283	1591235353466	OK	 
REQUEST	322		IniciadoOwner	1591235342912	1591235353475	OK	 
USER	Publicar	1096	START	1591235353533	1591235353533
USER	ListadoCursos	1103	START	1591235353533	1591235353533
REQUEST	956		Home	1591235343389	1591235353561	OK	 
REQUEST	142		IniciadoOwner Redirect 1	1591235343428	1591235353562	OK	 
REQUEST	43		CerrarSesion	1591235340875	1591235353620	OK	 
REQUEST	835		IniciarSesion	1591235345914	1591235353628	OK	 
REQUEST	315		IniciadoClerk	1591235342912	1591235353630	OK	 
REQUEST	842		IniciarSesion	1591235345914	1591235353634	OK	 
REQUEST	44		CerrarSesion	1591235345914	1591235353637	OK	 
REQUEST	92		CrearCertificado	1591235345914	1591235353644	OK	 
USER	Publicar	1097	START	1591235353686	1591235353686
USER	ListadoCursos	1104	START	1591235353686	1591235353686
REQUEST	347		IniciadoOwner	1591235344523	1591235353688	OK	 
REQUEST	218		IniciadoClerk Redirect 1	1591235345932	1591235353694	OK	 
REQUEST	266		IniciadoOwner Redirect 1	1591235345937	1591235353699	OK	 
REQUEST	728		IniciarSesion	1591235345968	1591235353705	OK	 
REQUEST	746		IniciarSesion	1591235342935	1591235353723	OK	 
REQUEST	994		Home	1591235346038	1591235353730	OK	 
REQUEST	241		IniciadoClerk Redirect 1	1591235345099	1591235353748	OK	 
REQUEST	210		IniciadoOwner Redirect 1	1591235346039	1591235353748	OK	 
REQUEST	87		CrearCertificado	1591235339382	1591235353750	OK	 
REQUEST	312		IniciadoClerk	1591235342473	1591235353755	OK	 
REQUEST	988		Home	1591235346149	1591235353789	OK	 
REQUEST	904		Home	1591235340068	1591235353799	OK	 
REQUEST	313		IniciadoClerk	1591235342653	1591235353799	OK	 
REQUEST	899		Home	1591235339307	1591235353800	OK	 
REQUEST	790		IniciarSesion	1591235342790	1591235353800	OK	 
REQUEST	177		IniciadoClerk Redirect 1	1591235339938	1591235353804	OK	 
REQUEST	46		CrearCertificado	1591235340622	1591235353804	OK	 
REQUEST	961		Home	1591235344071	1591235353804	OK	 
REQUEST	302		IniciadoClerk	1591235342089	1591235353811	OK	 
REQUEST	990		Home	1591235345457	1591235353818	OK	 
USER	Publicar	1098	START	1591235353826	1591235353826
USER	ListadoCursos	1105	START	1591235353827	1591235353827
REQUEST	997		Home	1591235346356	1591235353834	OK	 
REQUEST	967		Home	1591235344071	1591235353836	OK	 
REQUEST	843		IniciarSesion	1591235345802	1591235353870	OK	 
REQUEST	1004		Home	1591235346358	1591235353881	OK	 
REQUEST	138		IniciadoOwner Redirect 1	1591235340960	1591235353897	OK	 
REQUEST	297		IniciadoClerk	1591235341406	1591235353906	OK	 
REQUEST	950		Home	1591235342578	1591235353911	OK	 
REQUEST	269		IniciadoClerk	1591235339340	1591235353921	OK	 
REQUEST	99		IniciadoOwner Redirect 1	1591235339792	1591235353926	OK	 
REQUEST	992		Home	1591235345710	1591235353926	OK	 
REQUEST	311		IniciadoClerk	1591235342389	1591235353930	OK	 
REQUEST	788		IniciarSesion	1591235346604	1591235353938	OK	 
REQUEST	332		IniciadoOwner	1591235343354	1591235353940	OK	 
REQUEST	251		IniciadoOwner Redirect 1	1591235346139	1591235353952	OK	 
REQUEST	1006		Home	1591235346668	1591235353959	OK	 
USER	Publicar	1099	START	1591235353963	1591235353963
USER	ListadoCursos	1106	START	1591235353965	1591235353965
REQUEST	999		Home	1591235346667	1591235353968	OK	 
REQUEST	191		IniciadoClerk Redirect 1	1591235344316	1591235353971	OK	 
REQUEST	130		IniciadoClerk Redirect 1	1591235345043	1591235353992	OK	 
REQUEST	301		IniciadoClerk	1591235341980	1591235354004	OK	 
REQUEST	853		IniciarSesion	1591235346895	1591235354009	OK	 
REQUEST	846		IniciarSesion	1591235346895	1591235354031	OK	 
REQUEST	314		IniciadoClerk	1591235342760	1591235354046	OK	 
REQUEST	334		IniciadoOwner	1591235343680	1591235354046	OK	 
REQUEST	270		IniciadoClerk	1591235339504	1591235354048	OK	 
REQUEST	965		Home	1591235343783	1591235354069	OK	 
REQUEST	979		Home	1591235344743	1591235354070	OK	 
USER	Publicar	1100	START	1591235354108	1591235354108
USER	ListadoCursos	1107	START	1591235354108	1591235354108
REQUEST	112		IniciadoOwner Redirect 1	1591235340348	1591235354180	OK	 
REQUEST	166		IniciadoOwner Redirect 1	1591235344558	1591235354180	OK	 
REQUEST	195		IniciadoOwner Redirect 1	1591235344204	1591235354185	OK	 
REQUEST	824		IniciarSesion	1591235342790	1591235354185	OK	 
REQUEST	291		IniciadoOwner	1591235340622	1591235354186	OK	 
REQUEST	161		IniciadoClerk Redirect 1	1591235346479	1591235354187	OK	 
REQUEST	981		Home	1591235345084	1591235354187	OK	 
REQUEST	58		CerrarSesion	1591235343499	1591235354187	OK	 
REQUEST	323		IniciadoOwner	1591235343075	1591235354187	OK	 
REQUEST	165		IniciadoOwner Redirect 1	1591235345496	1591235354189	OK	 
REQUEST	937		Home	1591235341741	1591235354190	OK	 
REQUEST	912		Home	1591235340234	1591235354191	OK	 
REQUEST	346		IniciadoOwner	1591235344374	1591235354192	OK	 
REQUEST	340		IniciadoClerk	1591235344522	1591235354202	OK	 
REQUEST	296		IniciadoOwner	1591235341249	1591235354204	OK	 
REQUEST	333		IniciadoOwner	1591235343499	1591235354227	OK	 
REQUEST	182		IniciadoOwner Redirect 1	1591235346486	1591235354228	OK	 
REQUEST	285		IniciadoClerk	1591235340632	1591235354231	OK	 
REQUEST	18		CerrarSesion	1591235347390	1591235354244	OK	 
REQUEST	1002		Home	1591235347144	1591235354248	OK	 
USER	Publicar	1101	START	1591235354253	1591235354253
USER	ListadoCursos	1108	START	1591235354253	1591235354253
REQUEST	62		CrearCertificado	1591235341741	1591235354272	OK	 
REQUEST	310		IniciadoOwner	1591235342308	1591235354282	OK	 
REQUEST	317		IniciadoClerk	1591235343215	1591235354298	OK	 
USER	Publicar	1109	START	1591235354301	1591235354301
USER	ListadoCursos	1116	START	1591235354301	1591235354301
REQUEST	186		IniciadoClerk Redirect 1	1591235346487	1591235354309	OK	 
REQUEST	56		CerrarSesion	1591235345803	1591235354346	OK	 
REQUEST	121		IniciadoClerk Redirect 1	1591235344478	1591235354371	OK	 
REQUEST	336		IniciadoOwner	1591235343939	1591235354376	OK	 
REQUEST	192		IniciadoOwner Redirect 1	1591235343533	1591235354407	OK	 
REQUEST	797		IniciarSesion	1591235347647	1591235354414	OK	 
USER	Publicar	1110	START	1591235354445	1591235354445
USER	ListadoCursos	1117	START	1591235354445	1591235354445
REQUEST	867		IniciarSesion	1591235347647	1591235354449	OK	 
REQUEST	834		IniciarSesion	1591235347646	1591235354490	OK	 
REQUEST	814		IniciarSesion	1591235347646	1591235354516	OK	 
REQUEST	864		IniciarSesion	1591235347646	1591235354537	OK	 
REQUEST	750		IniciarSesion	1591235347646	1591235354583	OK	 
REQUEST	772		IniciarSesion	1591235347646	1591235354619	OK	 
USER	Publicar	1111	START	1591235354640	1591235354640
USER	ListadoCursos	1118	START	1591235354640	1591235354640
REQUEST	719		IniciarSesion	1591235342088	1591235354654	OK	 
REQUEST	303		IniciadoClerk	1591235342308	1591235354655	OK	 
REQUEST	160		IniciadoClerk Redirect 1	1591235345152	1591235354656	OK	 
REQUEST	61		CrearCertificado	1591235343215	1591235354657	OK	 
REQUEST	188		IniciadoClerk Redirect 1	1591235345291	1591235354661	OK	 
REQUEST	80		CerrarSesion	1591235343114	1591235354662	OK	 
REQUEST	181		IniciadoOwner Redirect 1	1591235345629	1591235354664	OK	 
REQUEST	244		IniciadoClerk	1591235337840	1591235354701	OK	 
USER	Publicar	1112	START	1591235354732	1591235354732
USER	ListadoCursos	1119	START	1591235354734	1591235354734
REQUEST	958		Home	1591235343615	1591235354781	OK	 
REQUEST	148		IniciadoClerk Redirect 1	1591235345418	1591235354783	OK	 
USER	ListadoCursos	1120	START	1591235354899	1591235354899
USER	Publicar	1113	START	1591235354899	1591235354899
USER	Publicar	1114	START	1591235355033	1591235355033
USER	ListadoCursos	1121	START	1591235355034	1591235355034
USER	ListadoCursos	1122	START	1591235355184	1591235355184
USER	Publicar	1115	START	1591235355184	1591235355184
REQUEST	228		IniciadoClerk Redirect 1	1591235344245	1591235355289	OK	 
REQUEST	316		IniciadoClerk	1591235343076	1591235355289	OK	 
REQUEST	804		IniciarSesion	1591235340621	1591235355294	OK	 
REQUEST	158		IniciadoClerk Redirect 1	1591235345365	1591235355297	OK	 
REQUEST	185		IniciadoClerk Redirect 1	1591235345677	1591235355301	OK	 
USER	Publicar	1123	START	1591235355304	1591235355304
USER	ListadoCursos	1130	START	1591235355304	1591235355304
REQUEST	1012		Home	1591235347646	1591235355311	OK	 
REQUEST	196		IniciadoOwner Redirect 1	1591235345628	1591235355315	OK	 
REQUEST	858		IniciarSesion	1591235347648	1591235355319	OK	 
REQUEST	89		CrearCertificado	1591235347827	1591235355326	OK	 
REQUEST	223		IniciadoOwner Redirect 1	1591235345674	1591235355329	OK	 
REQUEST	1020		Home	1591235347827	1591235355334	OK	 
REQUEST	326		IniciadoClerk	1591235343499	1591235355343	OK	 
REQUEST	1013		Home	1591235347827	1591235355345	OK	 
REQUEST	768		IniciarSesion	1591235345294	1591235355373	OK	 
REQUEST	1021		Home	1591235347967	1591235355394	OK	 
REQUEST	1014		Home	1591235347967	1591235355404	OK	 
USER	ListadoCursos	1131	START	1591235355446	1591235355446
USER	Publicar	1124	START	1591235355446	1591235355446
REQUEST	936		Home	1591235341638	1591235355482	OK	 
REQUEST	23		CerrarSesion	1591235348086	1591235355486	OK	 
REQUEST	168		IniciadoOwner Redirect 1	1591235345674	1591235355544	OK	 
REQUEST	819		IniciarSesion	1591235348088	1591235355596	OK	 
USER	ListadoCursos	1132	START	1591235355650	1591235355650
USER	Publicar	1125	START	1591235355650	1591235355650
REQUEST	120		CrearCertificado	1591235348088	1591235355656	OK	 
USER	Publicar	1126	START	1591235355732	1591235355732
USER	ListadoCursos	1133	START	1591235355732	1591235355732
REQUEST	247		IniciadoClerk	1591235338223	1591235355752	OK	 
REQUEST	129		IniciadoClerk Redirect 1	1591235339849	1591235355838	OK	 
REQUEST	955		Home	1591235343251	1591235355838	OK	 
REQUEST	355		IniciadoClerk	1591235345708	1591235355838	OK	 
REQUEST	276		IniciadoOwner	1591235339340	1591235355838	OK	 
REQUEST	141		IniciadoOwner Redirect 1	1591235344210	1591235355840	OK	 
REQUEST	100		CursosDisponibles	1591235343854	1591235355843	OK	 
REQUEST	239		IniciadoOwner Redirect 1	1591235345152	1591235355858	OK	 
USER	Publicar	1127	START	1591235355878	1591235355878
USER	ListadoCursos	1134	START	1591235355881	1591235355881
REQUEST	153		IniciadoOwner Redirect 1	1591235343568	1591235355923	OK	 
REQUEST	279		IniciadoOwner	1591235339781	1591235355983	OK	 
REQUEST	866		IniciarSesion	1591235347647	1591235355984	OK	 
REQUEST	119		CrearCertificado	1591235347283	1591235355984	OK	 
REQUEST	1018		Home	1591235347522	1591235355984	OK	 
REQUEST	122		CursosDisponibles	1591235347286	1591235355985	OK	 
REQUEST	337		IniciadoOwner	1591235344071	1591235355985	OK	 
REQUEST	374		IniciadoOwner	1591235346358	1591235355987	OK	 
USER	Publicar	1128	START	1591235356030	1591235356030
USER	ListadoCursos	1135	START	1591235356030	1591235356030
REQUEST	170		IniciadoOwner Redirect 1	1591235345152	1591235356066	OK	 
REQUEST	275		IniciadoClerk	1591235340233	1591235356066	OK	 
REQUEST	756		IniciarSesion	1591235346895	1591235356066	OK	 
REQUEST	980		Home	1591235344916	1591235356066	OK	 
REQUEST	760		IniciarSesion	1591235347648	1591235356067	OK	 
REQUEST	380		IniciadoOwner	1591235347286	1591235356067	OK	 
REQUEST	1000		Home	1591235346895	1591235356068	OK	 
REQUEST	984		Home	1591235345630	1591235356068	OK	 
REQUEST	298		IniciadoClerk Redirect 1	1591235350360	1591235356072	OK	 
REQUEST	72		CerrarSesion	1591235345149	1591235356071	OK	 
REQUEST	227		IniciadoClerk Redirect 1	1591235344787	1591235356072	OK	 
REQUEST	233		IniciadoClerk Redirect 1	1591235344207	1591235356147	OK	 
REQUEST	963		Home	1591235343499	1591235356147	OK	 
USER	Publicar	1129	START	1591235356182	1591235356182
USER	ListadoCursos	1136	START	1591235356182	1591235356182
REQUEST	224		IniciadoOwner Redirect 1	1591235344445	1591235356221	OK	 
REQUEST	145		IniciadoClerk Redirect 1	1591235345365	1591235356221	OK	 
REQUEST	308		IniciadoOwner	1591235341980	1591235356221	OK	 
REQUEST	51		CrearCertificado	1591235339936	1591235356221	OK	 
REQUEST	943		Home	1591235342578	1591235356223	OK	 
REQUEST	1036		Home	1591235348893	1591235356228	OK	 
REQUEST	815		IniciarSesion	1591235342186	1591235356422	OK	 
REQUEST	226		IniciadoOwner Redirect 1	1591235348913	1591235356443	OK	 
REQUEST	809		IniciarSesion	1591235345456	1591235356469	OK	 
REQUEST	258		IniciadoClerk Redirect 1	1591235346259	1591235356472	OK	 
USER	Publicar	1137	START	1591235356487	1591235356487
USER	ListadoCursos	1144	START	1591235356487	1591235356487
REQUEST	267		IniciadoOwner Redirect 1	1591235348978	1591235356498	OK	 
USER	Publicar	1138	START	1591235356668	1591235356668
USER	ListadoCursos	1145	START	1591235356668	1591235356668
USER	Publicar	1139	START	1591235356783	1591235356783
USER	ListadoCursos	1146	START	1591235356783	1591235356783
REQUEST	1008		Home	1591235347036	1591235356792	OK	 
USER	ListadoCursos	1147	START	1591235356954	1591235356954
USER	Publicar	1140	START	1591235356954	1591235356954
REQUEST	762		IniciarSesion	1591235342790	1591235356965	OK	 
REQUEST	304		IniciadoOwner	1591235341406	1591235356971	OK	 
REQUEST	104		CrearCertificado	1591235345456	1591235356971	OK	 
REQUEST	1009		Home	1591235347144	1591235356974	OK	 
REQUEST	320		IniciadoOwner	1591235342653	1591235356979	OK	 
REQUEST	375		IniciadoOwner	1591235346549	1591235356980	OK	 
REQUEST	305		IniciadoOwner	1591235341514	1591235356981	OK	 
REQUEST	388		IniciadoOwner	1591235347390	1591235356981	OK	 
REQUEST	1003		Home	1591235347284	1591235356983	OK	 
REQUEST	1010		Home	1591235347286	1591235356983	OK	 
REQUEST	292		IniciadoOwner	1591235340632	1591235356986	OK	 
REQUEST	310		IniciadoOwner Redirect 1	1591235354282	1591235356992	OK	 
USER	Publicar	1141	START	1591235357155	1591235357155
USER	ListadoCursos	1148	START	1591235357155	1591235357155
USER	Publicar	1142	START	1591235357161	1591235357161
USER	ListadoCursos	1149	START	1591235357161	1591235357161
REQUEST	309		IniciadoOwner	1591235342088	1591235357164	OK	 
REQUEST	987		Home	1591235346038	1591235357235	OK	 
REQUEST	995		Home	1591235346149	1591235357247	OK	 
USER	Publicar	1143	START	1591235357282	1591235357282
USER	ListadoCursos	1150	START	1591235357282	1591235357282
REQUEST	328		IniciadoClerk	1591235343783	1591235357292	OK	 
USER	Publicar	1151	START	1591235357300	1591235357300
USER	ListadoCursos	1158	START	1591235357302	1591235357302
REQUEST	176		IniciadoClerk Redirect 1	1591235343820	1591235357378	OK	 
REQUEST	53		CerrarSesion	1591235345192	1591235357424	OK	 
REQUEST	169		IniciadoOwner Redirect 1	1591235345274	1591235357455	OK	 
REQUEST	384		IniciadoClerk	1591235347827	1591235357463	OK	 
USER	ListadoCursos	1159	START	1591235357460	1591235357460
USER	Publicar	1152	START	1591235357483	1591235357483
REQUEST	769		IniciarSesion	1591235345630	1591235357515	OK	 
REQUEST	54		CerrarSesion	1591235345630	1591235357516	OK	 
REQUEST	209		CursosDisponibles	1591235344243	1591235357517	OK	 
REQUEST	330		IniciadoClerk	1591235344071	1591235357570	OK	 
REQUEST	752		IniciarSesion	1591235348088	1591235357570	OK	 
USER	Publicar	1153	START	1591235357597	1591235357597
USER	ListadoCursos	1160	START	1591235357597	1591235357597
REQUEST	207		IniciadoOwner Redirect 1	1591235345201	1591235357610	OK	 
REQUEST	1047		Home	1591235349454	1591235357616	OK	 
REQUEST	847		IniciarSesion	1591235346895	1591235357671	OK	 
REQUEST	794		IniciarSesion	1591235340622	1591235357673	OK	 
REQUEST	360		IniciadoOwner	1591235345378	1591235357674	OK	 
REQUEST	242		IniciadoClerk Redirect 1	1591235343090	1591235357718	OK	 
REQUEST	761		IniciarSesion	1591235343680	1591235357720	OK	 
REQUEST	325		IniciadoClerk	1591235343354	1591235357722	OK	 
REQUEST	939		Home	1591235342088	1591235357766	OK	 
REQUEST	922		Home	1591235340740	1591235357767	OK	 
REQUEST	1019		Home	1591235347646	1591235357768	OK	 
REQUEST	989		Home	1591235346280	1591235357769	OK	 
REQUEST	222		IniciadoOwner Redirect 1	1591235348988	1591235357772	OK	 
USER	Publicar	1154	START	1591235357799	1591235357799
USER	ListadoCursos	1161	START	1591235357799	1591235357799
REQUEST	230		IniciadoClerk Redirect 1	1591235345196	1591235357879	OK	 
REQUEST	237		IniciadoOwner Redirect 1	1591235345199	1591235357880	OK	 
USER	Publicar	1155	START	1591235357900	1591235357900
USER	ListadoCursos	1162	START	1591235357900	1591235357900
REQUEST	194		IniciadoOwner Redirect 1	1591235345629	1591235357917	OK	 
REQUEST	348		IniciadoOwner	1591235344633	1591235357919	OK	 
REQUEST	240		IniciadoOwner Redirect 1	1591235344252	1591235357919	OK	 
REQUEST	793		IniciarSesion	1591235348088	1591235357921	OK	 
REQUEST	822		IniciarSesion	1591235347648	1591235357926	OK	 
REQUEST	327		IniciadoClerk	1591235343681	1591235357927	OK	 
REQUEST	1011		Home	1591235347522	1591235357991	OK	 
REQUEST	975		Home	1591235345193	1591235357991	OK	 
USER	Publicar	1156	START	1591235358023	1591235358023
USER	ListadoCursos	1163	START	1591235358025	1591235358025
USER	Publicar	1157	START	1591235358193	1591235358193
USER	ListadoCursos	1164	START	1591235358193	1591235358193
USER	Publicar	1165	START	1591235358313	1591235358313
USER	ListadoCursos	1172	START	1591235358313	1591235358313
REQUEST	335		IniciadoOwner	1591235343783	1591235358318	OK	 
USER	Publicar	1166	START	1591235358446	1591235358446
USER	ListadoCursos	1173	START	1591235358446	1591235358446
REQUEST	215		IniciadoClerk Redirect 1	1591235345196	1591235358453	OK	 
REQUEST	28		CerrarSesion	1591235350057	1591235358518	OK	 
REQUEST	1051		Home	1591235350057	1591235358525	OK	 
USER	Publicar	1167	START	1591235358605	1591235358605
REQUEST	1044		Home	1591235350057	1591235358607	OK	 
USER	ListadoCursos	1174	START	1591235358608	1591235358608
REQUEST	1023		Home	1591235348205	1591235358688	OK	 
REQUEST	777		IniciarSesion	1591235342186	1591235358688	OK	 
REQUEST	813		IniciarSesion	1591235345456	1591235358691	OK	 
REQUEST	991		Home	1591235345630	1591235358696	OK	 
REQUEST	363		IniciadoOwner	1591235345802	1591235358696	OK	 
REQUEST	289		IniciadoClerk Redirect 1	1591235350285	1591235358712	OK	 
REQUEST	870		IniciarSesion	1591235347648	1591235358712	OK	 
REQUEST	736		IniciarSesion	1591235348088	1591235358712	OK	 
USER	Publicar	1168	START	1591235358733	1591235358733
USER	ListadoCursos	1175	START	1591235358733	1591235358733
REQUEST	364		IniciadoOwner	1591235345927	1591235358838	OK	 
USER	ListadoCursos	1176	START	1591235358883	1591235358883
USER	Publicar	1169	START	1591235358883	1591235358883
REQUEST	747		IniciarSesion	1591235347646	1591235358891	OK	 
REQUEST	724		IniciarSesion	1591235335787	1591235358909	OK	 
REQUEST	204		IniciadoClerk Redirect 1	1591235345095	1591235358913	OK	 
REQUEST	823		IniciarSesion	1591235342389	1591235358914	OK	 
REQUEST	370		IniciadoClerk	1591235346895	1591235358915	OK	 
REQUEST	252		IniciadoOwner Redirect 1	1591235349025	1591235358916	OK	 
REQUEST	338		IniciadoOwner	1591235344242	1591235358953	OK	 
REQUEST	52		CerrarSesion	1591235349040	1591235359014	OK	 
REQUEST	248		IniciadoOwner Redirect 1	1591235345771	1591235359015	OK	 
REQUEST	339		IniciadoClerk	1591235344374	1591235359016	OK	 
REQUEST	392		IniciadoOwner	1591235347967	1591235359030	OK	 
USER	ListadoCursos	1177	START	1591235359043	1591235359043
USER	Publicar	1170	START	1591235359043	1591235359043
REQUEST	420		IniciadoOwner	1591235349923	1591235359093	OK	 
REQUEST	851		IniciarSesion	1591235347286	1591235359161	OK	 
REQUEST	135		IniciadoClerk Redirect 1	1591235344245	1591235359163	OK	 
REQUEST	947		Home	1591235343114	1591235359163	OK	 
USER	ListadoCursos	1178	START	1591235359205	1591235359205
USER	Publicar	1171	START	1591235359205	1591235359205
REQUEST	245		IniciadoClerk Redirect 1	1591235349136	1591235359216	OK	 
REQUEST	202		IniciadoClerk Redirect 1	1591235345269	1591235359262	OK	 
REQUEST	236		IniciadoOwner Redirect 1	1591235345199	1591235359262	OK	 
REQUEST	200		IniciadoClerk Redirect 1	1591235345789	1591235359262	OK	 
REQUEST	106		CrearCertificado	1591235347646	1591235359262	OK	 
REQUEST	1050		Home	1591235349923	1591235359263	OK	 
REQUEST	1042		Home	1591235349741	1591235359264	OK	 
REQUEST	368		IniciadoClerk	1591235346549	1591235359269	OK	 
REQUEST	250		IniciadoOwner	1591235337741	1591235359269	OK	 
REQUEST	344		IniciadoClerk	1591235345085	1591235359270	OK	 
REQUEST	272		IniciadoClerk	1591235339781	1591235359270	OK	 
REQUEST	290		IniciadoOwner	1591235340343	1591235359271	OK	 
USER	Publicar	1179	START	1591235359311	1591235359311
USER	ListadoCursos	1186	START	1591235359312	1591235359312
REQUEST	974		Home	1591235345078	1591235359314	OK	 
REQUEST	1015		Home	1591235348087	1591235359314	OK	 
REQUEST	820		IniciarSesion	1591235346316	1591235359314	OK	 
REQUEST	774		IniciarSesion	1591235345456	1591235359314	OK	 
REQUEST	367		IniciadoClerk	1591235346358	1591235359315	OK	 
REQUEST	1032		Home	1591235348351	1591235359316	OK	 
REQUEST	75		CrearCertificado	1591235344915	1591235359316	OK	 
REQUEST	262		IniciadoOwner Redirect 1	1591235346936	1591235359366	OK	 
REQUEST	220		IniciadoOwner Redirect 1	1591235345154	1591235359382	OK	 
REQUEST	1029		Home	1591235348893	1591235359382	OK	 
REQUEST	57		CerrarSesion	1591235348205	1591235359384	OK	 
REQUEST	199		IniciadoClerk Redirect 1	1591235345756	1591235359458	OK	 
REQUEST	378		IniciadoOwner	1591235347035	1591235359458	OK	 
REQUEST	1060		Home	1591235350354	1591235359459	OK	 
REQUEST	331		IniciadoClerk	1591235344243	1591235359459	OK	 
REQUEST	1024		Home	1591235348298	1591235359460	OK	 
REQUEST	341		IniciadoClerk	1591235344633	1591235359461	OK	 
REQUEST	416		IniciadoOwner	1591235349357	1591235359461	OK	 
REQUEST	409		IniciadoClerk	1591235349356	1591235359465	OK	 
REQUEST	394		IniciadoOwner	1591235348205	1591235359468	OK	 
REQUEST	377		IniciadoOwner	1591235346895	1591235359468	OK	 
REQUEST	406		IniciadoOwner	1591235348933	1591235359470	OK	 
REQUEST	350		IniciadoOwner	1591235344924	1591235359473	OK	 
REQUEST	970		Home	1591235344520	1591235359474	OK	 
REQUEST	214		IniciadoClerk Redirect 1	1591235349660	1591235359476	OK	 
REQUEST	983		Home	1591235345456	1591235359477	OK	 
REQUEST	254		IniciadoOwner Redirect 1	1591235349101	1591235359483	OK	 
REQUEST	376		IniciadoOwner	1591235346667	1591235359483	OK	 
REQUEST	171		CrearCertificado	1591235350683	1591235359484	OK	 
USER	Publicar	1180	START	1591235359498	1591235359498
USER	ListadoCursos	1187	START	1591235359498	1591235359498
REQUEST	329		IniciadoClerk	1591235343939	1591235359563	OK	 
REQUEST	219		IniciadoClerk Redirect 1	1591235344413	1591235359638	OK	 
REQUEST	382		IniciadoClerk	1591235347522	1591235359638	OK	 
REQUEST	356		IniciadoClerk	1591235345802	1591235359638	OK	 
REQUEST	960		Home	1591235343903	1591235359643	OK	 
REQUEST	134		IniciadoClerk Redirect 1	1591235345094	1591235359644	OK	 
REQUEST	1035		Home	1591235348761	1591235359644	OK	 
REQUEST	126		IniciadoOwner Redirect 1	1591235345791	1591235359645	OK	 
REQUEST	766		IniciarSesion	1591235347648	1591235359646	OK	 
USER	Publicar	1181	START	1591235359654	1591235359654
USER	ListadoCursos	1188	START	1591235359655	1591235359655
REQUEST	184		IniciadoOwner Redirect 1	1591235345676	1591235359741	OK	 
REQUEST	1037		Home	1591235349041	1591235359741	OK	 
REQUEST	1049		Home	1591235349741	1591235359741	OK	 
REQUEST	860		IniciarSesion	1591235347647	1591235359741	OK	 
REQUEST	871		IniciarSesion	1591235347648	1591235359741	OK	 
REQUEST	998		Home	1591235346550	1591235359742	OK	 
REQUEST	306		IniciadoOwner Redirect 1	1591235349135	1591235359742	OK	 
REQUEST	65		CrearCertificado	1591235347036	1591235359742	OK	 
REQUEST	1068		Home	1591235351547	1591235359742	OK	 
