ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.TransportesAcabadosPerfomance	transportesacabadosperfomance	1590688537350	 	3.3.1
REQUEST	11		request_4	1590688543742	1590688543747	OK	 
USER	TransportesAcabados	30	START	1590688543852	1590688543852
REQUEST	30		Home	1590688543852	1590688543859	OK	 
REQUEST	30		request_1	1590688543861	1590688543865	OK	 
REQUEST	12		Login	1590688543895	1590688543899	OK	 
REQUEST	12		request_4	1590688543902	1590688543909	OK	 
USER	TransportesAcabados	31	START	1590688544022	1590688544022
REQUEST	31		Home	1590688544022	1590688544029	OK	 
REQUEST	31		request_1	1590688544031	1590688544037	OK	 
REQUEST	13		Login	1590688544075	1590688544080	OK	 
REQUEST	13		request_4	1590688544082	1590688544086	OK	 
USER	TransportesAcabados	32	START	1590688544204	1590688544204
REQUEST	32		Home	1590688544205	1590688544211	OK	 
REQUEST	14		Login	1590688544204	1590688544212	OK	 
REQUEST	14		request_4	1590688544213	1590688544221	OK	 
REQUEST	32		request_1	1590688544214	1590688544223	OK	 
USER	TransportesAcabados	33	START	1590688544374	1590688544374
REQUEST	33		Home	1590688544374	1590688544379	OK	 
REQUEST	33		request_1	1590688544381	1590688544384	OK	 
REQUEST	15		Login	1590688544384	1590688544389	OK	 
REQUEST	15		request_4	1590688544391	1590688544395	OK	 
USER	TransportesAcabados	34	START	1590688544535	1590688544535
REQUEST	34		Home	1590688544535	1590688544541	OK	 
REQUEST	34		request_1	1590688544543	1590688544547	OK	 
REQUEST	16		Login	1590688544551	1590688544555	OK	 
REQUEST	16		request_4	1590688544557	1590688544561	OK	 
USER	TransportesAcabados	35	START	1590688544706	1590688544706
REQUEST	17		Login	1590688544706	1590688544712	OK	 
REQUEST	35		Home	1590688544707	1590688544717	OK	 
REQUEST	17		request_4	1590688544715	1590688544720	OK	 
REQUEST	35		request_1	1590688544720	1590688544724	OK	 
USER	TransportesAcabados	36	START	1590688544873	1590688544873
REQUEST	36		Home	1590688544874	1590688544879	OK	 
REQUEST	36		request_1	1590688544881	1590688544884	OK	 
REQUEST	18		Login	1590688544885	1590688544889	OK	 
REQUEST	18		request_4	1590688544891	1590688544894	OK	 
USER	TransportesAcabados	37	START	1590688545033	1590688545033
REQUEST	37		Home	1590688545033	1590688545038	OK	 
REQUEST	37		request_1	1590688545040	1590688545044	OK	 
REQUEST	19		Login	1590688545054	1590688545060	OK	 
REQUEST	19		request_4	1590688545063	1590688545067	OK	 
USER	TransportesAcabados	38	START	1590688545203	1590688545203
REQUEST	38		Home	1590688545204	1590688545209	OK	 
REQUEST	38		request_1	1590688545210	1590688545215	OK	 
REQUEST	20		Login	1590688545214	1590688545219	OK	 
REQUEST	20		request_4	1590688545221	1590688545227	OK	 
USER	TransportesAcabados	39	START	1590688545360	1590688545360
REQUEST	39		Home	1590688545361	1590688545368	OK	 
REQUEST	39		request_1	1590688545370	1590688545374	OK	 
REQUEST	21		Login	1590688545382	1590688545387	OK	 
REQUEST	21		request_4	1590688545389	1590688545393	OK	 
USER	TransportesAcabados	40	START	1590688545530	1590688545530
REQUEST	40		Home	1590688545531	1590688545537	OK	 
REQUEST	40		request_1	1590688545538	1590688545544	OK	 
REQUEST	22		Login	1590688545541	1590688545547	OK	 
REQUEST	22		request_4	1590688545550	1590688545555	OK	 
USER	TransportesAcabados	41	START	1590688545703	1590688545703
REQUEST	41		Home	1590688545704	1590688545709	OK	 
REQUEST	41		request_1	1590688545711	1590688545715	OK	 
REQUEST	23		Login	1590688545761	1590688545765	OK	 
REQUEST	23		request_4	1590688545767	1590688545773	OK	 
USER	TransportesAcabados	42	START	1590688545863	1590688545863
REQUEST	42		Home	1590688545864	1590688545870	OK	 
REQUEST	42		request_1	1590688545872	1590688545877	OK	 
REQUEST	24		Login	1590688545885	1590688545889	OK	 
REQUEST	24		request_4	1590688545891	1590688545896	OK	 
USER	TransportesAcabados	43	START	1590688546034	1590688546034
REQUEST	43		Home	1590688546035	1590688546042	OK	 
REQUEST	43		request_1	1590688546044	1590688546049	OK	 
REQUEST	25		Login	1590688546071	1590688546076	OK	 
REQUEST	25		request_4	1590688546078	1590688546083	OK	 
USER	TransportesAcabados	44	START	1590688546205	1590688546205
REQUEST	44		Home	1590688546206	1590688546210	OK	 
REQUEST	44		request_1	1590688546212	1590688546216	OK	 
REQUEST	26		Login	1590688546216	1590688546222	OK	 
REQUEST	26		request_4	1590688546225	1590688546231	OK	 
USER	TransportesAcabados	45	START	1590688546363	1590688546363
REQUEST	45		Home	1590688546363	1590688546375	OK	 
REQUEST	45		request_1	1590688546377	1590688546384	OK	 
REQUEST	27		Login	1590688546384	1590688546405	OK	 
REQUEST	27		request_4	1590688546407	1590688546413	OK	 
USER	TransportesAcabados	46	START	1590688546535	1590688546535
REQUEST	46		Home	1590688546536	1590688546541	OK	 
REQUEST	46		request_1	1590688546542	1590688546546	OK	 
REQUEST	28		Login	1590688546551	1590688546555	OK	 
REQUEST	28		request_4	1590688546556	1590688546561	OK	 
USER	TransportesAcabados	47	START	1590688546705	1590688546705
REQUEST	47		Home	1590688546705	1590688546711	OK	 
REQUEST	47		request_1	1590688546713	1590688546717	OK	 
REQUEST	29		Login	1590688546716	1590688546722	OK	 
REQUEST	29		request_4	1590688546723	1590688546729	OK	 
USER	TransportesAcabados	48	START	1590688546860	1590688546860
REQUEST	48		Home	1590688546861	1590688546866	OK	 
REQUEST	48		request_1	1590688546867	1590688546871	OK	 
REQUEST	30		Login	1590688546881	1590688546885	OK	 
REQUEST	30		request_4	1590688546887	1590688546892	OK	 
USER	TransportesAcabados	49	START	1590688547035	1590688547035
REQUEST	49		Home	1590688547036	1590688547042	OK	 
REQUEST	49		request_1	1590688547044	1590688547049	OK	 
REQUEST	31		Login	1590688547056	1590688547063	OK	 
REQUEST	31		request_4	1590688547065	1590688547072	OK	 
USER	TransportesAcabados	50	START	1590688547194	1590688547194
REQUEST	50		Home	1590688547195	1590688547199	OK	 
REQUEST	50		request_1	1590688547201	1590688547205	OK	 
REQUEST	32		Login	1590688547236	1590688547241	OK	 
REQUEST	32		request_4	1590688547243	1590688547247	OK	 
USER	TransportesAcabados	51	START	1590688547353	1590688547353
REQUEST	51		Home	1590688547354	1590688547361	OK	 
REQUEST	51		request_1	1590688547363	1590688547368	OK	 
REQUEST	33		Login	1590688547402	1590688547406	OK	 
REQUEST	33		request_4	1590688547408	1590688547415	OK	 
USER	TransportesAcabados	52	START	1590688547525	1590688547525
REQUEST	52		Home	1590688547526	1590688547532	OK	 
REQUEST	52		request_1	1590688547533	1590688547538	OK	 
REQUEST	34		Login	1590688547553	1590688547558	OK	 
REQUEST	34		request_4	1590688547561	1590688547567	OK	 
USER	TransportesAcabados	53	START	1590688547695	1590688547695
REQUEST	53		Home	1590688547696	1590688547701	OK	 
REQUEST	53		request_1	1590688547703	1590688547706	OK	 
REQUEST	35		Login	1590688547741	1590688547745	OK	 
REQUEST	35		request_4	1590688547747	1590688547750	OK	 
USER	TransportesAcabados	54	START	1590688547856	1590688547856
REQUEST	54		Home	1590688547856	1590688547861	OK	 
REQUEST	54		request_1	1590688547863	1590688547867	OK	 
REQUEST	36		Login	1590688547902	1590688547906	OK	 
REQUEST	36		request_4	1590688547908	1590688547915	OK	 
USER	TransportesAcabados	55	START	1590688548021	1590688548021
REQUEST	55		Home	1590688548022	1590688548026	OK	 
REQUEST	55		request_1	1590688548027	1590688548032	OK	 
REQUEST	37		Login	1590688548064	1590688548068	OK	 
REQUEST	37		request_4	1590688548070	1590688548074	OK	 
USER	TransportesAcabados	56	START	1590688548202	1590688548202
REQUEST	56		Home	1590688548203	1590688548208	OK	 
REQUEST	56		request_1	1590688548209	1590688548213	OK	 
REQUEST	38		Login	1590688548234	1590688548238	OK	 
REQUEST	38		request_4	1590688548240	1590688548244	OK	 
USER	TransportesAcabados	57	START	1590688548375	1590688548375
REQUEST	57		Home	1590688548375	1590688548381	OK	 
REQUEST	57		request_1	1590688548383	1590688548386	OK	 
REQUEST	39		Login	1590688548391	1590688548397	OK	 
REQUEST	39		request_4	1590688548398	1590688548404	OK	 
USER	TransportesAcabados	58	START	1590688548532	1590688548532
REQUEST	58		Home	1590688548532	1590688548547	OK	 
REQUEST	58		request_1	1590688548548	1590688548553	OK	 
REQUEST	40		Login	1590688548565	1590688548569	OK	 
