ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.TransportesAcabadosPerfomance	transportesacabadosperfomance	1590689484225	 	3.3.1
REQUEST	11		request_4	1590689490553	1590689490560	OK	 
USER	TransportesAcabados	30	START	1590689490674	1590689490674
REQUEST	30		Home	1590689490674	1590689490684	OK	 
REQUEST	30		request_1	1590689490686	1590689490691	OK	 
REQUEST	12		Login	1590689490701	1590689490705	OK	 
REQUEST	12		request_4	1590689490708	1590689490717	OK	 
USER	TransportesAcabados	31	START	1590689490846	1590689490846
REQUEST	31		Home	1590689490847	1590689490854	OK	 
REQUEST	31		request_1	1590689490855	1590689490859	OK	 
REQUEST	13		Login	1590689490871	1590689490875	OK	 
REQUEST	13		request_4	1590689490877	1590689490881	OK	 
USER	TransportesAcabados	32	START	1590689490993	1590689490993
REQUEST	32		Home	1590689490994	1590689490999	OK	 
REQUEST	32		request_1	1590689491001	1590689491005	OK	 
REQUEST	14		Login	1590689491040	1590689491045	OK	 
REQUEST	14		request_4	1590689491046	1590689491050	OK	 
USER	TransportesAcabados	33	START	1590689491164	1590689491164
REQUEST	33		Home	1590689491165	1590689491170	OK	 
REQUEST	33		request_1	1590689491171	1590689491175	OK	 
REQUEST	15		Login	1590689491195	1590689491200	OK	 
REQUEST	15		request_4	1590689491201	1590689491207	OK	 
USER	TransportesAcabados	34	START	1590689491323	1590689491323
REQUEST	34		Home	1590689491324	1590689491335	OK	 
REQUEST	34		request_1	1590689491339	1590689491346	OK	 
REQUEST	16		Login	1590689491371	1590689491377	OK	 
REQUEST	16		request_4	1590689491379	1590689491385	OK	 
USER	TransportesAcabados	35	START	1590689491491	1590689491491
REQUEST	35		Home	1590689491492	1590689491504	OK	 
REQUEST	35		request_1	1590689491506	1590689491511	OK	 
REQUEST	17		Login	1590689491545	1590689491552	OK	 
REQUEST	17		request_4	1590689491555	1590689491565	OK	 
USER	TransportesAcabados	36	START	1590689491660	1590689491660
REQUEST	36		Home	1590689491661	1590689491669	OK	 
REQUEST	36		request_1	1590689491671	1590689491677	OK	 
REQUEST	18		Login	1590689491704	1590689491709	OK	 
REQUEST	18		request_4	1590689491711	1590689491718	OK	 
USER	TransportesAcabados	37	START	1590689491821	1590689491821
REQUEST	37		Home	1590689491822	1590689491827	OK	 
REQUEST	37		request_1	1590689491829	1590689491832	OK	 
REQUEST	19		Login	1590689491874	1590689491878	OK	 
REQUEST	19		request_4	1590689491880	1590689491885	OK	 
USER	TransportesAcabados	38	START	1590689492004	1590689492004
REQUEST	38		Home	1590689492004	1590689492011	OK	 
REQUEST	38		request_1	1590689492013	1590689492017	OK	 
REQUEST	20		Login	1590689492040	1590689492047	OK	 
REQUEST	20		request_4	1590689492050	1590689492057	OK	 
USER	TransportesAcabados	39	START	1590689492170	1590689492170
REQUEST	39		Home	1590689492171	1590689492177	OK	 
REQUEST	39		request_1	1590689492178	1590689492182	OK	 
REQUEST	21		Login	1590689492202	1590689492206	OK	 
REQUEST	21		request_4	1590689492208	1590689492216	OK	 
USER	TransportesAcabados	40	START	1590689492343	1590689492343
REQUEST	40		Home	1590689492343	1590689492348	OK	 
REQUEST	40		request_1	1590689492350	1590689492353	OK	 
REQUEST	22		Login	1590689492374	1590689492378	OK	 
REQUEST	22		request_4	1590689492380	1590689492384	OK	 
USER	TransportesAcabados	41	START	1590689492503	1590689492503
REQUEST	41		Home	1590689492504	1590689492510	OK	 
REQUEST	41		request_1	1590689492511	1590689492516	OK	 
REQUEST	23		Login	1590689492535	1590689492540	OK	 
REQUEST	23		request_4	1590689492542	1590689492548	OK	 
USER	TransportesAcabados	42	START	1590689492671	1590689492671
REQUEST	42		Home	1590689492672	1590689492679	OK	 
REQUEST	42		request_1	1590689492681	1590689492686	OK	 
REQUEST	24		Login	1590689492704	1590689492709	OK	 
REQUEST	24		request_4	1590689492711	1590689492715	OK	 
USER	TransportesAcabados	43	START	1590689492846	1590689492846
REQUEST	43		Home	1590689492846	1590689492853	OK	 
REQUEST	43		request_1	1590689492854	1590689492857	OK	 
REQUEST	25		Login	1590689492870	1590689492874	OK	 
REQUEST	25		request_4	1590689492876	1590689492881	OK	 
USER	TransportesAcabados	44	START	1590689492996	1590689492996
REQUEST	44		Home	1590689492996	1590689493002	OK	 
REQUEST	44		request_1	1590689493003	1590689493008	OK	 
REQUEST	26		Login	1590689493042	1590689493046	OK	 
REQUEST	26		request_4	1590689493048	1590689493053	OK	 
USER	TransportesAcabados	45	START	1590689493160	1590689493160
REQUEST	45		Home	1590689493161	1590689493167	OK	 
REQUEST	45		request_1	1590689493169	1590689493175	OK	 
REQUEST	27		Login	1590689493205	1590689493210	OK	 
REQUEST	27		request_4	1590689493212	1590689493219	OK	 
USER	TransportesAcabados	46	START	1590689493322	1590689493322
REQUEST	46		Home	1590689493323	1590689493329	OK	 
REQUEST	46		request_1	1590689493330	1590689493334	OK	 
REQUEST	28		Login	1590689493384	1590689493388	OK	 
REQUEST	28		request_4	1590689493390	1590689493394	OK	 
USER	TransportesAcabados	47	START	1590689493493	1590689493493
REQUEST	47		Home	1590689493493	1590689493499	OK	 
REQUEST	47		request_1	1590689493500	1590689493504	OK	 
REQUEST	29		Login	1590689493540	1590689493545	OK	 
REQUEST	29		request_4	1590689493547	1590689493554	OK	 
USER	TransportesAcabados	48	START	1590689493661	1590689493661
REQUEST	48		Home	1590689493662	1590689493673	OK	 
REQUEST	48		request_1	1590689493674	1590689493679	OK	 
REQUEST	30		Login	1590689493716	1590689493721	OK	 
REQUEST	30		request_4	1590689493722	1590689493728	OK	 
USER	TransportesAcabados	49	START	1590689493821	1590689493821
REQUEST	49		Home	1590689493821	1590689493826	OK	 
REQUEST	49		request_1	1590689493828	1590689493832	OK	 
REQUEST	31		Login	1590689493876	1590689493884	OK	 
REQUEST	31		request_4	1590689493888	1590689493897	OK	 
USER	TransportesAcabados	50	START	1590689494005	1590689494005
REQUEST	50		Home	1590689494005	1590689494014	OK	 
REQUEST	50		request_1	1590689494015	1590689494019	OK	 
REQUEST	32		Login	1590689494020	1590689494028	OK	 
REQUEST	32		request_4	1590689494030	1590689494042	OK	 
USER	TransportesAcabados	51	START	1590689494171	1590689494171
REQUEST	51		Home	1590689494172	1590689494177	OK	 
REQUEST	51		request_1	1590689494178	1590689494184	OK	 
REQUEST	33		Login	1590689494193	1590689494199	OK	 
REQUEST	33		request_4	1590689494201	1590689494205	OK	 
USER	TransportesAcabados	52	START	1590689494342	1590689494342
REQUEST	52		Home	1590689494342	1590689494348	OK	 
REQUEST	52		request_1	1590689494350	1590689494355	OK	 
REQUEST	34		Login	1590689494354	1590689494361	OK	 
REQUEST	34		request_4	1590689494363	1590689494369	OK	 
USER	TransportesAcabados	53	START	1590689494501	1590689494501
REQUEST	53		Home	1590689494501	1590689494507	OK	 
REQUEST	53		request_1	1590689494509	1590689494513	OK	 
REQUEST	35		Login	1590689494522	1590689494526	OK	 
REQUEST	35		request_4	1590689494528	1590689494532	OK	 
USER	TransportesAcabados	54	START	1590689494674	1590689494674
REQUEST	54		Home	1590689494674	1590689494684	OK	 
REQUEST	54		request_1	1590689494686	1590689494692	OK	 
REQUEST	36		Login	1590689494691	1590689494697	OK	 
REQUEST	36		request_4	1590689494699	1590689494707	OK	 
USER	TransportesAcabados	55	START	1590689494841	1590689494841
REQUEST	55		Home	1590689494841	1590689494847	OK	 
REQUEST	55		request_1	1590689494848	1590689494852	OK	 
REQUEST	37		Login	1590689494852	1590689494856	OK	 
REQUEST	37		request_4	1590689494858	1590689494864	OK	 
USER	TransportesAcabados	56	START	1590689495012	1590689495012
REQUEST	56		Home	1590689495013	1590689495018	OK	 
REQUEST	56		request_1	1590689495019	1590689495024	OK	 
REQUEST	38		Login	1590689495035	1590689495039	OK	 
REQUEST	38		request_4	1590689495040	1590689495045	OK	 
USER	TransportesAcabados	57	START	1590689495174	1590689495174
REQUEST	57		Home	1590689495174	1590689495179	OK	 
REQUEST	57		request_1	1590689495181	1590689495186	OK	 
REQUEST	39		Login	1590689495204	1590689495209	OK	 
REQUEST	39		request_4	1590689495210	1590689495214	OK	 
USER	TransportesAcabados	58	START	1590689495344	1590689495344
REQUEST	58		Home	1590689495344	1590689495352	OK	 
REQUEST	58		request_1	1590689495354	1590689495360	OK	 
REQUEST	40		Login	1590689495365	1590689495370	OK	 
REQUEST	40		request_4	1590689495371	1590689495375	OK	 
USER	TransportesAcabados	59	START	1590689495511	1590689495511
REQUEST	59		Home	1590689495512	1590689495518	OK	 
REQUEST	59		request_1	1590689495520	1590689495523	OK	 
REQUEST	41		Login	1590689495532	1590689495537	OK	 
REQUEST	41		request_4	1590689495538	1590689495543	OK	 
USER	TransportesAcabados	60	START	1590689495675	1590689495675
REQUEST	60		Home	1590689495675	1590689495689	OK	 
REQUEST	60		request_1	1590689495691	1590689495696	OK	 
