ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerCursosDisponibles	vercursosdisponibles	1591032725147	 	3.3.1
REQUEST	94		VerCursos	1591032763457	1591032763469	OK	 
USER	VerCursosDisponibles	94	END	1591032734125	1591032763470
USER	VerCursosDisponibles	446	START	1591032763473	1591032763473
REQUEST	446		Home	1591032763473	1591032763479	OK	 
REQUEST	386		IniciarSesion	1591032763498	1591032763511	OK	 
REQUEST	223		IniciadoSesion	1591032762924	1591032763514	OK	 
REQUEST	223		IniciadoSesion Redirect 1	1591032763514	1591032763519	OK	 
REQUEST	222		IniciadoSesion	1591032762828	1591032763521	OK	 
REQUEST	222		IniciadoSesion Redirect 1	1591032763521	1591032763525	OK	 
REQUEST	95		VerCursos	1591032763539	1591032763550	OK	 
USER	VerCursosDisponibles	447	START	1591032763550	1591032763550
USER	VerCursosDisponibles	95	END	1591032734211	1591032763551
REQUEST	447		Home	1591032763551	1591032763556	OK	 
REQUEST	387		IniciarSesion	1591032763576	1591032763581	OK	 
USER	VerCursosDisponibles	448	START	1591032763627	1591032763627
REQUEST	224		IniciadoSesion	1591032763017	1591032763637	OK	 
REQUEST	448		Home	1591032763628	1591032763637	OK	 
REQUEST	224		IniciadoSesion Redirect 1	1591032763637	1591032763642	OK	 
REQUEST	96		VerCursos	1591032763627	1591032763645	OK	 
USER	VerCursosDisponibles	96	END	1591032734300	1591032763646
REQUEST	388		IniciarSesion	1591032763655	1591032763661	OK	 
REQUEST	225		IniciadoSesion	1591032763097	1591032763683	OK	 
REQUEST	225		IniciadoSesion Redirect 1	1591032763684	1591032763688	OK	 
USER	VerCursosDisponibles	449	START	1591032763717	1591032763717
REQUEST	449		Home	1591032763718	1591032763733	OK	 
REQUEST	226		IniciadoSesion	1591032763171	1591032763736	OK	 
REQUEST	226		IniciadoSesion Redirect 1	1591032763736	1591032763741	OK	 
REQUEST	97		VerCursos	1591032763717	1591032763741	OK	 
USER	VerCursosDisponibles	97	END	1591032734380	1591032763742
REQUEST	389		IniciarSesion	1591032763747	1591032763752	OK	 
USER	VerCursosDisponibles	450	START	1591032763795	1591032763795
REQUEST	98		VerCursos	1591032763791	1591032763811	OK	 
USER	VerCursosDisponibles	98	END	1591032734460	1591032763812
REQUEST	450		Home	1591032763796	1591032763815	OK	 
REQUEST	227		IniciadoSesion	1591032763246	1591032763823	OK	 
REQUEST	227		IniciadoSesion Redirect 1	1591032763823	1591032763830	OK	 
REQUEST	390		IniciarSesion	1591032763830	1591032763838	OK	 
REQUEST	228		IniciadoSesion	1591032763327	1591032763851	OK	 
REQUEST	228		IniciadoSesion Redirect 1	1591032763851	1591032763856	OK	 
REQUEST	99		VerCursos	1591032763857	1591032763868	OK	 
USER	VerCursosDisponibles	99	END	1591032734548	1591032763869
USER	VerCursosDisponibles	451	START	1591032763878	1591032763878
REQUEST	451		Home	1591032763879	1591032763884	OK	 
REQUEST	391		IniciarSesion	1591032763915	1591032763921	OK	 
REQUEST	100		VerCursos	1591032763959	1591032763971	OK	 
USER	VerCursosDisponibles	100	END	1591032734629	1591032763972
USER	VerCursosDisponibles	452	START	1591032763976	1591032763976
REQUEST	452		Home	1591032763976	1591032763982	OK	 
REQUEST	229		IniciadoSesion	1591032763425	1591032763992	OK	 
REQUEST	229		IniciadoSesion Redirect 1	1591032763993	1591032763997	OK	 
REQUEST	392		IniciarSesion	1591032763999	1591032764004	OK	 
REQUEST	101		VerCursos	1591032764040	1591032764052	OK	 
USER	VerCursosDisponibles	101	END	1591032734708	1591032764052
USER	VerCursosDisponibles	453	START	1591032764053	1591032764053
REQUEST	230		IniciadoSesion	1591032763514	1591032764054	OK	 
REQUEST	453		Home	1591032764053	1591032764058	OK	 
REQUEST	230		IniciadoSesion Redirect 1	1591032764054	1591032764058	OK	 
REQUEST	393		IniciarSesion	1591032764079	1591032764084	OK	 
REQUEST	231		IniciadoSesion	1591032763587	1591032764101	OK	 
REQUEST	231		IniciadoSesion Redirect 1	1591032764101	1591032764110	OK	 
USER	VerCursosDisponibles	454	START	1591032764126	1591032764126
REQUEST	454		Home	1591032764127	1591032764132	OK	 
REQUEST	102		VerCursos	1591032764126	1591032764139	OK	 
USER	VerCursosDisponibles	102	END	1591032734798	1591032764140
REQUEST	394		IniciarSesion	1591032764165	1591032764175	OK	 
REQUEST	232		IniciadoSesion	1591032763677	1591032764205	OK	 
REQUEST	232		IniciadoSesion Redirect 1	1591032764206	1591032764211	OK	 
USER	VerCursosDisponibles	455	START	1591032764220	1591032764220
REQUEST	103		VerCursos	1591032764207	1591032764223	OK	 
USER	VerCursosDisponibles	103	END	1591032734878	1591032764224
REQUEST	455		Home	1591032764220	1591032764226	OK	 
REQUEST	395		IniciarSesion	1591032764249	1591032764254	OK	 
REQUEST	233		IniciadoSesion	1591032763769	1591032764278	OK	 
REQUEST	233		IniciadoSesion Redirect 1	1591032764278	1591032764282	OK	 
REQUEST	104		VerCursos	1591032764278	1591032764291	OK	 
USER	VerCursosDisponibles	104	END	1591032734956	1591032764291
USER	VerCursosDisponibles	456	START	1591032764297	1591032764297
REQUEST	456		Home	1591032764297	1591032764302	OK	 
REQUEST	234		IniciadoSesion	1591032763815	1591032764326	OK	 
REQUEST	234		IniciadoSesion Redirect 1	1591032764327	1591032764331	OK	 
REQUEST	396		IniciarSesion	1591032764329	1591032764335	OK	 
REQUEST	105		VerCursos	1591032764355	1591032764368	OK	 
USER	VerCursosDisponibles	105	END	1591032735046	1591032764369
USER	VerCursosDisponibles	457	START	1591032764380	1591032764380
REQUEST	457		Home	1591032764380	1591032764386	OK	 
REQUEST	397		IniciarSesion	1591032764418	1591032764423	OK	 
REQUEST	235		IniciadoSesion	1591032763926	1591032764434	OK	 
REQUEST	235		IniciadoSesion Redirect 1	1591032764435	1591032764438	OK	 
USER	VerCursosDisponibles	458	START	1591032764455	1591032764455
REQUEST	458		Home	1591032764456	1591032764461	OK	 
REQUEST	106		VerCursos	1591032764451	1591032764463	OK	 
USER	VerCursosDisponibles	106	END	1591032735130	1591032764464
REQUEST	398		IniciarSesion	1591032764499	1591032764504	OK	 
REQUEST	236		IniciadoSesion	1591032764010	1591032764528	OK	 
REQUEST	107		VerCursos	1591032764521	1591032764538	OK	 
USER	VerCursosDisponibles	107	END	1591032735208	1591032764539
REQUEST	236		IniciadoSesion Redirect 1	1591032764529	1591032764542	OK	 
USER	VerCursosDisponibles	459	START	1591032764545	1591032764545
REQUEST	459		Home	1591032764546	1591032764553	OK	 
REQUEST	399		IniciarSesion	1591032764578	1591032764583	OK	 
REQUEST	237		IniciadoSesion	1591032764091	1591032764598	OK	 
REQUEST	237		IniciadoSesion Redirect 1	1591032764599	1591032764603	OK	 
REQUEST	108		VerCursos	1591032764606	1591032764618	OK	 
USER	VerCursosDisponibles	108	END	1591032735297	1591032764619
USER	VerCursosDisponibles	460	START	1591032764628	1591032764628
REQUEST	460		Home	1591032764628	1591032764633	OK	 
REQUEST	400		IniciarSesion	1591032764660	1591032764667	OK	 
REQUEST	238		IniciadoSesion	1591032764183	1591032764675	OK	 
REQUEST	238		IniciadoSesion Redirect 1	1591032764675	1591032764679	OK	 
USER	VerCursosDisponibles	461	START	1591032764710	1591032764710
REQUEST	461		Home	1591032764710	1591032764715	OK	 
REQUEST	109		VerCursos	1591032764710	1591032764724	OK	 
USER	VerCursosDisponibles	109	END	1591032735378	1591032764725
REQUEST	239		IniciadoSesion	1591032764260	1591032764764	OK	 
REQUEST	401		IniciarSesion	1591032764760	1591032764766	OK	 
REQUEST	239		IniciadoSesion Redirect 1	1591032764764	1591032764768	OK	 
USER	VerCursosDisponibles	462	START	1591032764797	1591032764797
REQUEST	462		Home	1591032764797	1591032764802	OK	 
REQUEST	110		VerCursos	1591032764797	1591032764810	OK	 
USER	VerCursosDisponibles	110	END	1591032735479	1591032764811
REQUEST	240		IniciadoSesion	1591032764330	1591032764823	OK	 
REQUEST	240		IniciadoSesion Redirect 1	1591032764823	1591032764827	OK	 
REQUEST	402		IniciarSesion	1591032764830	1591032764835	OK	 
REQUEST	111		VerCursos	1591032764867	1591032764877	OK	 
USER	VerCursosDisponibles	111	END	1591032735558	1591032764878
USER	VerCursosDisponibles	463	START	1591032764878	1591032764878
REQUEST	463		Home	1591032764878	1591032764883	OK	 
REQUEST	403		IniciarSesion	1591032764911	1591032764915	OK	 
REQUEST	241		IniciadoSesion	1591032764429	1591032764925	OK	 
REQUEST	241		IniciadoSesion Redirect 1	1591032764925	1591032764930	OK	 
USER	VerCursosDisponibles	464	START	1591032764959	1591032764959
REQUEST	464		Home	1591032764959	1591032764965	OK	 
REQUEST	112		VerCursos	1591032764959	1591032764971	OK	 
USER	VerCursosDisponibles	112	END	1591032735636	1591032764972
REQUEST	404		IniciarSesion	1591032764996	1591032765000	OK	 
REQUEST	242		IniciadoSesion	1591032764510	1591032765010	OK	 
REQUEST	242		IniciadoSesion Redirect 1	1591032765010	1591032765013	OK	 
USER	VerCursosDisponibles	465	START	1591032765050	1591032765050
REQUEST	465		Home	1591032765051	1591032765057	OK	 
REQUEST	113		VerCursos	1591032765050	1591032765064	OK	 
USER	VerCursosDisponibles	113	END	1591032735730	1591032765064
REQUEST	243		IniciadoSesion	1591032764589	1591032765080	OK	 
REQUEST	405		IniciarSesion	1591032765077	1591032765082	OK	 
REQUEST	243		IniciadoSesion Redirect 1	1591032765080	1591032765084	OK	 
USER	VerCursosDisponibles	466	START	1591032765125	1591032765125
REQUEST	466		Home	1591032765126	1591032765130	OK	 
REQUEST	114		VerCursos	1591032765136	1591032765147	OK	 
USER	VerCursosDisponibles	114	END	1591032735810	1591032765148
REQUEST	244		IniciadoSesion	1591032764676	1591032765148	OK	 
REQUEST	244		IniciadoSesion Redirect 1	1591032765149	1591032765152	OK	 
REQUEST	406		IniciarSesion	1591032765158	1591032765162	OK	 
USER	VerCursosDisponibles	467	START	1591032765206	1591032765206
REQUEST	467		Home	1591032765206	1591032765212	OK	 
REQUEST	115		VerCursos	1591032765206	1591032765218	OK	 
USER	VerCursosDisponibles	115	END	1591032735892	1591032765219
REQUEST	245		IniciadoSesion	1591032764760	1591032765238	OK	 
REQUEST	245		IniciadoSesion Redirect 1	1591032765238	1591032765242	OK	 
REQUEST	407		IniciarSesion	1591032765250	1591032765254	OK	 
USER	VerCursosDisponibles	468	START	1591032765297	1591032765297
REQUEST	468		Home	1591032765297	1591032765303	OK	 
REQUEST	246		IniciadoSesion	1591032764841	1591032765304	OK	 
REQUEST	246		IniciadoSesion Redirect 1	1591032765304	1591032765308	OK	 
REQUEST	116		VerCursos	1591032765297	1591032765309	OK	 
USER	VerCursosDisponibles	116	END	1591032735977	1591032765310
REQUEST	408		IniciarSesion	1591032765341	1591032765349	OK	 
REQUEST	247		IniciadoSesion	1591032764926	1591032765377	OK	 
USER	VerCursosDisponibles	469	START	1591032765379	1591032765379
REQUEST	247		IniciadoSesion Redirect 1	1591032765377	1591032765381	OK	 
REQUEST	469		Home	1591032765380	1591032765385	OK	 
REQUEST	117		VerCursos	1591032765380	1591032765392	OK	 
USER	VerCursosDisponibles	117	END	1591032736056	1591032765393
REQUEST	409		IniciarSesion	1591032765405	1591032765410	OK	 
USER	VerCursosDisponibles	470	START	1591032765471	1591032765471
REQUEST	118		VerCursos	1591032765460	1591032765472	OK	 
USER	VerCursosDisponibles	118	END	1591032736135	1591032765473
REQUEST	470		Home	1591032765472	1591032765479	OK	 
REQUEST	248		IniciadoSesion	1591032765029	1591032765483	OK	 
REQUEST	248		IniciadoSesion Redirect 1	1591032765484	1591032765487	OK	 
REQUEST	410		IniciarSesion	1591032765497	1591032765501	OK	 
USER	VerCursosDisponibles	471	START	1591032765556	1591032765556
REQUEST	471		Home	1591032765556	1591032765561	OK	 
REQUEST	249		IniciadoSesion	1591032765088	1591032765563	OK	 
REQUEST	249		IniciadoSesion Redirect 1	1591032765563	1591032765567	OK	 
REQUEST	119		VerCursos	1591032765567	1591032765577	OK	 
USER	VerCursosDisponibles	119	END	1591032736225	1591032765578
REQUEST	411		IniciarSesion	1591032765578	1591032765583	OK	 
REQUEST	250		IniciadoSesion	1591032765180	1591032765627	OK	 
REQUEST	250		IniciadoSesion Redirect 1	1591032765627	1591032765631	OK	 
USER	VerCursosDisponibles	472	START	1591032765637	1591032765637
REQUEST	472		Home	1591032765637	1591032765642	OK	 
REQUEST	120		VerCursos	1591032765637	1591032765649	OK	 
USER	VerCursosDisponibles	120	END	1591032736311	1591032765649
REQUEST	412		IniciarSesion	1591032765670	1591032765675	OK	 
USER	VerCursosDisponibles	473	START	1591032765719	1591032765719
REQUEST	121		VerCursos	1591032765707	1591032765720	OK	 
USER	VerCursosDisponibles	121	END	1591032736385	1591032765721
REQUEST	251		IniciadoSesion	1591032765261	1591032765726	OK	 
REQUEST	473		Home	1591032765719	1591032765729	OK	 
REQUEST	251		IniciadoSesion Redirect 1	1591032765726	1591032765732	OK	 
REQUEST	413		IniciarSesion	1591032765745	1591032765750	OK	 
USER	VerCursosDisponibles	474	START	1591032765810	1591032765810
REQUEST	252		IniciadoSesion	1591032765341	1591032765814	OK	 
REQUEST	474		Home	1591032765811	1591032765816	OK	 
REQUEST	252		IniciadoSesion Redirect 1	1591032765814	1591032765818	OK	 
REQUEST	122		VerCursos	1591032765810	1591032765822	OK	 
USER	VerCursosDisponibles	122	END	1591032736470	1591032765823
REQUEST	414		IniciarSesion	1591032765826	1591032765830	OK	 
USER	VerCursosDisponibles	475	START	1591032765885	1591032765885
REQUEST	253		IniciadoSesion	1591032765428	1591032765886	OK	 
REQUEST	475		Home	1591032765886	1591032765891	OK	 
REQUEST	253		IniciadoSesion Redirect 1	1591032765887	1591032765891	OK	 
REQUEST	123		VerCursos	1591032765885	1591032765898	OK	 
USER	VerCursosDisponibles	123	END	1591032736545	1591032765899
REQUEST	415		IniciarSesion	1591032765918	1591032765923	OK	 
USER	VerCursosDisponibles	476	START	1591032765966	1591032765966
REQUEST	124		VerCursos	1591032765955	1591032765967	OK	 
USER	VerCursosDisponibles	124	END	1591032736636	1591032765968
REQUEST	476		Home	1591032765966	1591032765972	OK	 
REQUEST	254		IniciadoSesion	1591032765519	1591032765976	OK	 
REQUEST	254		IniciadoSesion Redirect 1	1591032765977	1591032765981	OK	 
REQUEST	416		IniciarSesion	1591032766000	1591032766005	OK	 
REQUEST	125		VerCursos	1591032766037	1591032766048	OK	 
USER	VerCursosDisponibles	125	END	1591032736715	1591032766049
REQUEST	255		IniciadoSesion	1591032765589	1591032766053	OK	 
REQUEST	255		IniciadoSesion Redirect 1	1591032766053	1591032766057	OK	 
USER	VerCursosDisponibles	477	START	1591032766062	1591032766062
REQUEST	477		Home	1591032766062	1591032766067	OK	 
REQUEST	417		IniciarSesion	1591032766087	1591032766091	OK	 
USER	VerCursosDisponibles	478	START	1591032766135	1591032766135
REQUEST	478		Home	1591032766136	1591032766141	OK	 
REQUEST	256		IniciadoSesion	1591032765670	1591032766141	OK	 
REQUEST	126		VerCursos	1591032766131	1591032766144	OK	 
USER	VerCursosDisponibles	126	END	1591032736801	1591032766144
REQUEST	256		IniciadoSesion Redirect 1	1591032766141	1591032766146	OK	 
REQUEST	418		IniciarSesion	1591032766168	1591032766174	OK	 
USER	VerCursosDisponibles	479	START	1591032766217	1591032766217
REQUEST	257		IniciadoSesion	1591032765756	1591032766224	OK	 
REQUEST	479		Home	1591032766218	1591032766225	OK	 
REQUEST	257		IniciadoSesion Redirect 1	1591032766224	1591032766229	OK	 
REQUEST	127		VerCursos	1591032766217	1591032766230	OK	 
USER	VerCursosDisponibles	127	END	1591032736891	1591032766230
REQUEST	419		IniciarSesion	1591032766250	1591032766254	OK	 
REQUEST	258		IniciadoSesion	1591032765837	1591032766306	OK	 
USER	VerCursosDisponibles	480	START	1591032766309	1591032766309
REQUEST	258		IniciadoSesion Redirect 1	1591032766306	1591032766310	OK	 
REQUEST	128		VerCursos	1591032766298	1591032766310	OK	 
USER	VerCursosDisponibles	128	END	1591032736965	1591032766311
REQUEST	480		Home	1591032766309	1591032766315	OK	 
REQUEST	420		IniciarSesion	1591032766331	1591032766336	OK	 
REQUEST	129		VerCursos	1591032766357	1591032766368	OK	 
USER	VerCursosDisponibles	129	END	1591032737045	1591032766369
REQUEST	259		IniciadoSesion	1591032765907	1591032766373	OK	 
REQUEST	259		IniciadoSesion Redirect 1	1591032766374	1591032766378	OK	 
USER	VerCursosDisponibles	481	START	1591032766390	1591032766390
REQUEST	481		Home	1591032766390	1591032766395	OK	 
REQUEST	421		IniciarSesion	1591032766416	1591032766420	OK	 
USER	VerCursosDisponibles	482	START	1591032766471	1591032766471
REQUEST	482		Home	1591032766471	1591032766476	OK	 
REQUEST	260		IniciadoSesion	1591032766011	1591032766481	OK	 
REQUEST	130		VerCursos	1591032766471	1591032766484	OK	 
USER	VerCursosDisponibles	130	END	1591032737141	1591032766484
REQUEST	260		IniciadoSesion Redirect 1	1591032766481	1591032766486	OK	 
REQUEST	422		IniciarSesion	1591032766498	1591032766502	OK	 
REQUEST	261		IniciadoSesion	1591032766065	1591032766525	OK	 
REQUEST	261		IniciadoSesion Redirect 1	1591032766525	1591032766529	OK	 
REQUEST	131		VerCursos	1591032766530	1591032766541	OK	 
USER	VerCursosDisponibles	131	END	1591032737215	1591032766542
USER	VerCursosDisponibles	483	START	1591032766556	1591032766556
REQUEST	483		Home	1591032766557	1591032766562	OK	 
REQUEST	423		IniciarSesion	1591032766589	1591032766595	OK	 
REQUEST	262		IniciadoSesion	1591032766169	1591032766615	OK	 
REQUEST	262		IniciadoSesion Redirect 1	1591032766615	1591032766620	OK	 
REQUEST	132		VerCursos	1591032766611	1591032766623	OK	 
USER	VerCursosDisponibles	132	END	1591032737296	1591032766624
USER	VerCursosDisponibles	484	START	1591032766637	1591032766637
REQUEST	484		Home	1591032766637	1591032766642	OK	 
REQUEST	424		IniciarSesion	1591032766659	1591032766664	OK	 
USER	VerCursosDisponibles	485	START	1591032766716	1591032766716
REQUEST	485		Home	1591032766717	1591032766722	OK	 
REQUEST	263		IniciadoSesion	1591032766261	1591032766729	OK	 
REQUEST	133		VerCursos	1591032766716	1591032766731	OK	 
USER	VerCursosDisponibles	133	END	1591032737388	1591032766732
REQUEST	263		IniciadoSesion Redirect 1	1591032766729	1591032766734	OK	 
REQUEST	425		IniciarSesion	1591032766746	1591032766751	OK	 
REQUEST	134		VerCursos	1591032766786	1591032766798	OK	 
REQUEST	264		IniciadoSesion	1591032766335	1591032766798	OK	 
USER	VerCursosDisponibles	134	END	1591032737475	1591032766798
REQUEST	264		IniciadoSesion Redirect 1	1591032766798	1591032766802	OK	 
USER	VerCursosDisponibles	486	START	1591032766809	1591032766809
REQUEST	486		Home	1591032766809	1591032766814	OK	 
REQUEST	426		IniciarSesion	1591032766835	1591032766841	OK	 
REQUEST	135		VerCursos	1591032766868	1591032766879	OK	 
USER	VerCursosDisponibles	135	END	1591032737557	1591032766880
USER	VerCursosDisponibles	487	START	1591032766889	1591032766889
REQUEST	265		IniciadoSesion	1591032766416	1591032766895	OK	 
REQUEST	487		Home	1591032766890	1591032766895	OK	 
REQUEST	265		IniciadoSesion Redirect 1	1591032766895	1591032766899	OK	 
REQUEST	427		IniciarSesion	1591032766905	1591032766910	OK	 
USER	VerCursosDisponibles	488	START	1591032766967	1591032766967
REQUEST	136		VerCursos	1591032766956	1591032766968	OK	 
USER	VerCursosDisponibles	136	END	1591032737637	1591032766969
REQUEST	266		IniciadoSesion	1591032766498	1591032766973	OK	 
REQUEST	488		Home	1591032766968	1591032766973	OK	 
REQUEST	266		IniciadoSesion Redirect 1	1591032766973	1591032766977	OK	 
REQUEST	428		IniciarSesion	1591032767000	1591032767004	OK	 
REQUEST	137		VerCursos	1591032767037	1591032767049	OK	 
USER	VerCursosDisponibles	137	END	1591032737727	1591032767049
REQUEST	267		IniciadoSesion	1591032766589	1591032767059	OK	 
USER	VerCursosDisponibles	489	START	1591032767059	1591032767059
REQUEST	267		IniciadoSesion Redirect 1	1591032767059	1591032767064	OK	 
REQUEST	489		Home	1591032767059	1591032767064	OK	 
REQUEST	429		IniciarSesion	1591032767081	1591032767085	OK	 
USER	VerCursosDisponibles	490	START	1591032767140	1591032767140
REQUEST	138		VerCursos	1591032767129	1591032767141	OK	 
USER	VerCursosDisponibles	138	END	1591032737807	1591032767142
REQUEST	490		Home	1591032767140	1591032767146	OK	 
REQUEST	268		IniciadoSesion	1591032766685	1591032767160	OK	 
REQUEST	268		IniciadoSesion Redirect 1	1591032767160	1591032767163	OK	 
REQUEST	430		IniciarSesion	1591032767166	1591032767170	OK	 
REQUEST	139		VerCursos	1591032767199	1591032767210	OK	 
USER	VerCursosDisponibles	139	END	1591032737888	1591032767211
REQUEST	269		IniciadoSesion	1591032766757	1591032767220	OK	 
USER	VerCursosDisponibles	491	START	1591032767221	1591032767221
REQUEST	269		IniciadoSesion Redirect 1	1591032767220	1591032767225	OK	 
REQUEST	491		Home	1591032767221	1591032767226	OK	 
REQUEST	431		IniciarSesion	1591032767247	1591032767251	OK	 
REQUEST	270		IniciadoSesion	1591032766835	1591032767300	OK	 
REQUEST	270		IniciadoSesion Redirect 1	1591032767300	1591032767304	OK	 
USER	VerCursosDisponibles	492	START	1591032767305	1591032767305
REQUEST	492		Home	1591032767306	1591032767310	OK	 
REQUEST	140		VerCursos	1591032767305	1591032767317	OK	 
USER	VerCursosDisponibles	140	END	1591032737979	1591032767318
REQUEST	432		IniciarSesion	1591032767327	1591032767332	OK	 
REQUEST	271		IniciadoSesion	1591032766927	1591032767386	OK	 
USER	VerCursosDisponibles	493	START	1591032767386	1591032767386
REQUEST	271		IniciadoSesion Redirect 1	1591032767386	1591032767391	OK	 
REQUEST	493		Home	1591032767387	1591032767392	OK	 
REQUEST	141		VerCursos	1591032767386	1591032767398	OK	 
USER	VerCursosDisponibles	141	END	1591032738058	1591032767398
REQUEST	433		IniciarSesion	1591032767419	1591032767423	OK	 
REQUEST	142		VerCursos	1591032767456	1591032767467	OK	 
USER	VerCursosDisponibles	142	END	1591032738137	1591032767468
REQUEST	272		IniciadoSesion	1591032767011	1591032767478	OK	 
USER	VerCursosDisponibles	494	START	1591032767478	1591032767478
REQUEST	272		IniciadoSesion Redirect 1	1591032767478	1591032767483	OK	 
REQUEST	494		Home	1591032767478	1591032767483	OK	 
REQUEST	434		IniciarSesion	1591032767500	1591032767504	OK	 
REQUEST	273		IniciadoSesion	1591032767085	1591032767550	OK	 
REQUEST	273		IniciadoSesion Redirect 1	1591032767551	1591032767554	OK	 
USER	VerCursosDisponibles	495	START	1591032767559	1591032767559
REQUEST	495		Home	1591032767559	1591032767564	OK	 
REQUEST	143		VerCursos	1591032767570	1591032767580	OK	 
USER	VerCursosDisponibles	143	END	1591032738227	1591032767580
REQUEST	435		IniciarSesion	1591032767581	1591032767585	OK	 
REQUEST	274		IniciadoSesion	1591032767177	1591032767625	OK	 
REQUEST	274		IniciadoSesion Redirect 1	1591032767625	1591032767628	OK	 
REQUEST	144		VerCursos	1591032767640	1591032767650	OK	 
USER	VerCursosDisponibles	496	START	1591032767650	1591032767650
USER	VerCursosDisponibles	144	END	1591032738307	1591032767651
REQUEST	496		Home	1591032767651	1591032767656	OK	 
REQUEST	436		IniciarSesion	1591032767655	1591032767659	OK	 
REQUEST	275		IniciadoSesion	1591032767258	1591032767717	OK	 
REQUEST	275		IniciadoSesion Redirect 1	1591032767717	1591032767723	OK	 
REQUEST	145		VerCursos	1591032767706	1591032767730	OK	 
USER	VerCursosDisponibles	497	START	1591032767730	1591032767730
USER	VerCursosDisponibles	145	END	1591032738387	1591032767731
REQUEST	497		Home	1591032767731	1591032767737	OK	 
REQUEST	437		IniciarSesion	1591032767735	1591032767741	OK	 
REQUEST	276		IniciadoSesion	1591032767338	1591032767786	OK	 
REQUEST	276		IniciadoSesion Redirect 1	1591032767787	1591032767791	OK	 
USER	VerCursosDisponibles	498	START	1591032767807	1591032767807
REQUEST	498		Home	1591032767807	1591032767812	OK	 
REQUEST	146		VerCursos	1591032767807	1591032767818	OK	 
USER	VerCursosDisponibles	146	END	1591032738476	1591032767819
REQUEST	438		IniciarSesion	1591032767818	1591032767822	OK	 
REQUEST	277		IniciadoSesion	1591032767430	1591032767885	OK	 
REQUEST	147		VerCursos	1591032767877	1591032767889	OK	 
REQUEST	277		IniciadoSesion Redirect 1	1591032767885	1591032767889	OK	 
USER	VerCursosDisponibles	147	END	1591032738557	1591032767890
USER	VerCursosDisponibles	499	START	1591032767900	1591032767900
REQUEST	499		Home	1591032767900	1591032767905	OK	 
REQUEST	439		IniciarSesion	1591032767915	1591032767920	OK	 
REQUEST	148		VerCursos	1591032767959	1591032767970	OK	 
USER	VerCursosDisponibles	148	END	1591032738637	1591032767971
REQUEST	278		IniciadoSesion	1591032767511	1591032767980	OK	 
USER	VerCursosDisponibles	500	START	1591032767981	1591032767981
REQUEST	278		IniciadoSesion Redirect 1	1591032767980	1591032767985	OK	 
REQUEST	500		Home	1591032767981	1591032767986	OK	 
REQUEST	440		IniciarSesion	1591032767985	1591032767989	OK	 
REQUEST	279		IniciadoSesion	1591032767585	1591032768042	OK	 
REQUEST	279		IniciadoSesion Redirect 1	1591032768042	1591032768046	OK	 
USER	VerCursosDisponibles	501	START	1591032768055	1591032768055
REQUEST	501		Home	1591032768056	1591032768061	OK	 
REQUEST	441		IniciarSesion	1591032768065	1591032768071	OK	 
REQUEST	149		VerCursos	1591032768065	1591032768078	OK	 
USER	VerCursosDisponibles	149	END	1591032738725	1591032768079
REQUEST	280		IniciadoSesion	1591032767665	1591032768131	OK	 
REQUEST	280		IniciadoSesion Redirect 1	1591032768131	1591032768136	OK	 
USER	VerCursosDisponibles	502	START	1591032768147	1591032768147
REQUEST	502		Home	1591032768147	1591032768152	OK	 
REQUEST	150		VerCursos	1591032768169	1591032768182	OK	 
USER	VerCursosDisponibles	150	END	1591032738811	1591032768183
REQUEST	442		IniciarSesion	1591032768180	1591032768186	OK	 
USER	VerCursosDisponibles	503	START	1591032768237	1591032768237
REQUEST	443		IniciarSesion	1591032768237	1591032768246	OK	 
REQUEST	503		Home	1591032768237	1591032768251	OK	 
REQUEST	151		VerCursos	1591032768261	1591032768281	OK	 
USER	VerCursosDisponibles	151	END	1591032738890	1591032768282
REQUEST	281		IniciadoSesion	1591032767758	1591032768285	OK	 
REQUEST	281		IniciadoSesion Redirect 1	1591032768286	1591032768294	OK	 
USER	VerCursosDisponibles	504	START	1591032768305	1591032768305
REQUEST	504		Home	1591032768306	1591032768311	OK	 
REQUEST	444		IniciarSesion	1591032768316	1591032768321	OK	 
REQUEST	282		IniciadoSesion	1591032767840	1591032768336	OK	 
REQUEST	282		IniciadoSesion Redirect 1	1591032768337	1591032768342	OK	 
REQUEST	152		VerCursos	1591032768338	1591032768351	OK	 
USER	VerCursosDisponibles	152	END	1591032738975	1591032768351
REQUEST	283		IniciadoSesion	1591032767911	1591032768402	OK	 
USER	VerCursosDisponibles	505	START	1591032768404	1591032768404
REQUEST	153		VerCursos	1591032768389	1591032768406	OK	 
USER	VerCursosDisponibles	153	END	1591032739055	1591032768407
REQUEST	283		IniciadoSesion Redirect 1	1591032768402	1591032768410	OK	 
REQUEST	505		Home	1591032768404	1591032768410	OK	 
REQUEST	445		IniciarSesion	1591032768404	1591032768411	OK	 
REQUEST	154		VerCursos	1591032768467	1591032768482	OK	 
USER	VerCursosDisponibles	154	END	1591032739137	1591032768482
USER	VerCursosDisponibles	506	START	1591032768493	1591032768493
REQUEST	506		Home	1591032768494	1591032768500	OK	 
REQUEST	446		IniciarSesion	1591032768496	1591032768500	OK	 
