ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.VerCursosDisponibles	vercursosdisponibles	1591032725147	 	3.3.1
REQUEST	53		Home	1591032730730	1591032730734	OK	 
USER	VerCursosDisponibles	54	START	1591032730806	1591032730806
REQUEST	54		Home	1591032730807	1591032730812	OK	 
USER	VerCursosDisponibles	55	START	1591032730897	1591032730897
REQUEST	55		Home	1591032730897	1591032730901	OK	 
USER	VerCursosDisponibles	56	START	1591032730975	1591032730975
REQUEST	56		Home	1591032730977	1591032730984	OK	 
USER	VerCursosDisponibles	57	START	1591032731055	1591032731055
REQUEST	57		Home	1591032731056	1591032731059	OK	 
USER	VerCursosDisponibles	58	START	1591032731146	1591032731146
REQUEST	58		Home	1591032731147	1591032731151	OK	 
USER	VerCursosDisponibles	59	START	1591032731226	1591032731226
REQUEST	59		Home	1591032731227	1591032731231	OK	 
USER	VerCursosDisponibles	60	START	1591032731305	1591032731305
REQUEST	60		Home	1591032731306	1591032731310	OK	 
USER	VerCursosDisponibles	61	START	1591032731401	1591032731401
REQUEST	61		Home	1591032731401	1591032731405	OK	 
USER	VerCursosDisponibles	62	START	1591032731473	1591032731473
REQUEST	62		Home	1591032731474	1591032731478	OK	 
REQUEST	1		IniciarSesion	1591032731448	1591032731451	OK	 
REQUEST	2		IniciarSesion	1591032731508	1591032731512	OK	 
USER	VerCursosDisponibles	63	START	1591032731556	1591032731556
REQUEST	63		Home	1591032731557	1591032731560	OK	 
REQUEST	3		IniciarSesion	1591032731588	1591032731591	OK	 
USER	VerCursosDisponibles	64	START	1591032731635	1591032731635
REQUEST	64		Home	1591032731636	1591032731639	OK	 
REQUEST	4		IniciarSesion	1591032731689	1591032731693	OK	 
USER	VerCursosDisponibles	65	START	1591032731720	1591032731720
REQUEST	65		Home	1591032731720	1591032731724	OK	 
REQUEST	5		IniciarSesion	1591032731768	1591032731772	OK	 
USER	VerCursosDisponibles	66	START	1591032731811	1591032731811
REQUEST	66		Home	1591032731811	1591032731816	OK	 
REQUEST	6		IniciarSesion	1591032731847	1591032731850	OK	 
USER	VerCursosDisponibles	67	START	1591032731891	1591032731891
REQUEST	67		Home	1591032731891	1591032731895	OK	 
REQUEST	7		IniciarSesion	1591032731927	1591032731931	OK	 
USER	VerCursosDisponibles	68	START	1591032731969	1591032731969
REQUEST	68		Home	1591032731969	1591032731973	OK	 
REQUEST	8		IniciarSesion	1591032732006	1591032732010	OK	 
USER	VerCursosDisponibles	69	START	1591032732058	1591032732058
REQUEST	69		Home	1591032732059	1591032732063	OK	 
REQUEST	9		IniciarSesion	1591032732081	1591032732084	OK	 
USER	VerCursosDisponibles	70	START	1591032732138	1591032732138
REQUEST	70		Home	1591032732139	1591032732143	OK	 
REQUEST	10		IniciarSesion	1591032732176	1591032732179	OK	 
USER	VerCursosDisponibles	71	START	1591032732218	1591032732218
REQUEST	71		Home	1591032732219	1591032732223	OK	 
REQUEST	11		IniciarSesion	1591032732256	1591032732259	OK	 
USER	VerCursosDisponibles	72	START	1591032732308	1591032732308
REQUEST	72		Home	1591032732309	1591032732313	OK	 
REQUEST	12		IniciarSesion	1591032732330	1591032732333	OK	 
USER	VerCursosDisponibles	73	START	1591032732388	1591032732388
REQUEST	73		Home	1591032732388	1591032732393	OK	 
REQUEST	13		IniciarSesion	1591032732426	1591032732429	OK	 
USER	VerCursosDisponibles	74	START	1591032732479	1591032732479
REQUEST	74		Home	1591032732479	1591032732483	OK	 
REQUEST	14		IniciarSesion	1591032732500	1591032732503	OK	 
USER	VerCursosDisponibles	75	START	1591032732558	1591032732558
REQUEST	75		Home	1591032732558	1591032732563	OK	 
REQUEST	15		IniciarSesion	1591032732580	1591032732584	OK	 
USER	VerCursosDisponibles	76	START	1591032732636	1591032732636
REQUEST	76		Home	1591032732636	1591032732640	OK	 
REQUEST	16		IniciarSesion	1591032732668	1591032732672	OK	 
USER	VerCursosDisponibles	77	START	1591032732726	1591032732726
REQUEST	77		Home	1591032732726	1591032732731	OK	 
REQUEST	17		IniciarSesion	1591032732748	1591032732751	OK	 
USER	VerCursosDisponibles	78	START	1591032732806	1591032732806
REQUEST	78		Home	1591032732807	1591032732811	OK	 
REQUEST	18		IniciarSesion	1591032732829	1591032732832	OK	 
USER	VerCursosDisponibles	79	START	1591032732887	1591032732887
REQUEST	79		Home	1591032732888	1591032732892	OK	 
REQUEST	19		IniciarSesion	1591032732920	1591032732923	OK	 
USER	VerCursosDisponibles	80	START	1591032732976	1591032732976
REQUEST	80		Home	1591032732977	1591032732981	OK	 
REQUEST	20		IniciarSesion	1591032732998	1591032733002	OK	 
USER	VerCursosDisponibles	81	START	1591032733055	1591032733055
REQUEST	81		Home	1591032733056	1591032733061	OK	 
REQUEST	21		IniciarSesion	1591032733076	1591032733081	OK	 
USER	VerCursosDisponibles	82	START	1591032733135	1591032733135
REQUEST	82		Home	1591032733136	1591032733140	OK	 
REQUEST	22		IniciarSesion	1591032733167	1591032733170	OK	 
USER	VerCursosDisponibles	83	START	1591032733226	1591032733226
REQUEST	83		Home	1591032733226	1591032733230	OK	 
REQUEST	23		IniciarSesion	1591032733237	1591032733240	OK	 
USER	VerCursosDisponibles	84	START	1591032733310	1591032733310
REQUEST	84		Home	1591032733311	1591032733316	OK	 
REQUEST	24		IniciarSesion	1591032733326	1591032733329	OK	 
USER	VerCursosDisponibles	85	START	1591032733391	1591032733391
REQUEST	85		Home	1591032733392	1591032733400	OK	 
REQUEST	25		IniciarSesion	1591032733416	1591032733419	OK	 
USER	VerCursosDisponibles	86	START	1591032733458	1591032733458
REQUEST	86		Home	1591032733458	1591032733462	OK	 
REQUEST	26		IniciarSesion	1591032733501	1591032733507	OK	 
USER	VerCursosDisponibles	87	START	1591032733547	1591032733547
REQUEST	87		Home	1591032733548	1591032733552	OK	 
REQUEST	27		IniciarSesion	1591032733581	1591032733586	OK	 
USER	VerCursosDisponibles	88	START	1591032733626	1591032733626
REQUEST	88		Home	1591032733627	1591032733632	OK	 
REQUEST	28		IniciarSesion	1591032733658	1591032733661	OK	 
USER	VerCursosDisponibles	89	START	1591032733706	1591032733706
REQUEST	89		Home	1591032733707	1591032733711	OK	 
REQUEST	29		IniciarSesion	1591032733748	1591032733751	OK	 
USER	VerCursosDisponibles	90	START	1591032733796	1591032733796
REQUEST	90		Home	1591032733796	1591032733799	OK	 
REQUEST	30		IniciarSesion	1591032733818	1591032733821	OK	 
USER	VerCursosDisponibles	91	START	1591032733875	1591032733875
REQUEST	91		Home	1591032733876	1591032733879	OK	 
REQUEST	31		IniciarSesion	1591032733908	1591032733912	OK	 
USER	VerCursosDisponibles	92	START	1591032733955	1591032733955
REQUEST	92		Home	1591032733956	1591032733959	OK	 
REQUEST	32		IniciarSesion	1591032733998	1591032734001	OK	 
USER	VerCursosDisponibles	93	START	1591032734046	1591032734046
REQUEST	93		Home	1591032734046	1591032734050	OK	 
