ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.Transportar2EscaneriosPerfomance	transportar2escaneriosperfomance	1590747969250	 	3.3.1
USER	transportarNeg	261	START	1590748017199	1590748017199
REQUEST	129		Authenticated	1590748015901	1590748017287	OK	 
REQUEST	133		Authenticated	1590748016231	1590748017309	OK	 
REQUEST	136		Authenticated	1590748016241	1590748017320	OK	 
REQUEST	132		Authenticated	1590748015902	1590748017320	OK	 
REQUEST	24		request_8	1590748016851	1590748017336	OK	 
REQUEST	232		Login	1590748016869	1590748017365	OK	 
REQUEST	229		Login	1590748016869	1590748017373	OK	 
REQUEST	21		request_8	1590748016851	1590748017375	OK	 
REQUEST	134		Authenticated	1590748016595	1590748017392	OK	 
REQUEST	25		TransportesPendientes	1590748017088	1590748017395	OK	 
REQUEST	236		Login	1590748017201	1590748017399	OK	 
REQUEST	137		Authenticated	1590748016595	1590748017417	OK	 
REQUEST	136		Authenticated Redirect 1	1590748017321	1590748017418	OK	 
REQUEST	22		TransportesPendientes	1590748017143	1590748017419	OK	 
REQUEST	264		Home	1590748017199	1590748017419	OK	 
REQUEST	261		Home	1590748017199	1590748017423	OK	 
REQUEST	132		Authenticated Redirect 1	1590748017321	1590748017444	OK	 
REQUEST	257		Home	1590748016880	1590748017444	OK	 
REQUEST	133		Authenticated Redirect 1	1590748017309	1590748017450	OK	 
REQUEST	233		Login	1590748017201	1590748017450	OK	 
REQUEST	229		request_3	1590748017374	1590748017461	OK	 
REQUEST	129		Authenticated Redirect 1	1590748017288	1590748017462	OK	 
REQUEST	264		request_1	1590748017420	1590748017482	OK	 
REQUEST	26		TransportesPendientes	1590748017390	1590748017487	OK	 
REQUEST	260		Home	1590748016880	1590748017516	OK	 
REQUEST	232		request_3	1590748017366	1590748017525	OK	 
REQUEST	133		request_6	1590748017451	1590748017526	OK	 
USER	transportarPos	265	START	1590748017529	1590748017529
USER	transportarNeg	262	START	1590748017529	1590748017529
REQUEST	134		Authenticated Redirect 1	1590748017392	1590748017535	OK	 
REQUEST	132		request_6	1590748017445	1590748017537	OK	 
REQUEST	233		request_3	1590748017451	1590748017567	OK	 
REQUEST	23		TransportesPendientes	1590748017396	1590748017601	OK	 
USER	transportarNeg	263	START	1590748017856	1590748017856
USER	transportarPos	266	START	1590748017856	1590748017856
REQUEST	22		request_8	1590748017423	1590748017889	OK	 
REQUEST	136		request_6	1590748017419	1590748017893	OK	 
REQUEST	129		request_6	1590748017463	1590748017909	OK	 
REQUEST	260		request_1	1590748017517	1590748017910	OK	 
REQUEST	137		Authenticated Redirect 1	1590748017417	1590748017914	OK	 
REQUEST	26		request_8	1590748017491	1590748017918	OK	 
REQUEST	138		Authenticated	1590748016891	1590748017922	OK	 
REQUEST	257		request_1	1590748017445	1590748017926	OK	 
REQUEST	234		Login	1590748017536	1590748017926	OK	 
REQUEST	135		Authenticated	1590748016918	1590748017926	OK	 
REQUEST	265		Home	1590748017529	1590748017955	OK	 
REQUEST	263		Home	1590748017857	1590748017986	OK	 
REQUEST	236		request_3	1590748017400	1590748017986	OK	 
REQUEST	237		Login	1590748017536	1590748018105	OK	 
REQUEST	261		request_1	1590748017424	1590748018106	OK	 
REQUEST	23		request_8	1590748017604	1590748018111	OK	 
REQUEST	238		Login	1590748017869	1590748018112	OK	 
REQUEST	25		request_8	1590748017398	1590748018116	OK	 
REQUEST	134		request_6	1590748017535	1590748018125	OK	 
REQUEST	137		request_6	1590748017914	1590748018129	OK	 
REQUEST	141		Authenticated	1590748017455	1590748018129	OK	 
REQUEST	262		Home	1590748017529	1590748018132	OK	 
REQUEST	265		request_1	1590748017956	1590748018132	OK	 
REQUEST	266		Home	1590748017857	1590748018133	OK	 
REQUEST	235		Login	1590748017868	1590748018133	OK	 
REQUEST	234		request_3	1590748017927	1590748018133	OK	 
REQUEST	138		Authenticated Redirect 1	1590748017922	1590748018134	OK	 
REQUEST	139		Authenticated	1590748017455	1590748018145	OK	 
REQUEST	266		request_1	1590748018133	1590748018159	OK	 
REQUEST	235		request_3	1590748018134	1590748018159	OK	 
REQUEST	29		TransportesPendientes	1590748017846	1590748018160	OK	 
REQUEST	138		request_6	1590748018135	1590748018168	OK	 
REQUEST	238		request_3	1590748018112	1590748018168	OK	 
REQUEST	139		Authenticated Redirect 1	1590748018146	1590748018173	OK	 
REQUEST	237		request_3	1590748018106	1590748018174	OK	 
REQUEST	263		request_1	1590748017986	1590748018179	OK	 
REQUEST	135		Authenticated Redirect 1	1590748017927	1590748018179	OK	 
REQUEST	262		request_1	1590748018132	1590748018181	OK	 
REQUEST	139		request_6	1590748018174	1590748018184	OK	 
REQUEST	135		request_6	1590748018180	1590748018194	OK	 
REQUEST	141		Authenticated Redirect 1	1590748018129	1590748018199	OK	 
REQUEST	141		request_6	1590748018199	1590748018213	OK	 
REQUEST	29		request_8	1590748018163	1590748018214	OK	 
REQUEST	27		TransportesPendientes	1590748017868	1590748018214	OK	 
USER	transportarNeg	267	START	1590748018215	1590748018215
USER	transportarPos	270	START	1590748018216	1590748018216
REQUEST	270		Home	1590748018216	1590748018230	OK	 
REQUEST	267		Home	1590748018216	1590748018230	OK	 
REQUEST	242		Login	1590748018220	1590748018232	OK	 
REQUEST	267		request_1	1590748018231	1590748018238	OK	 
REQUEST	270		request_1	1590748018231	1590748018240	OK	 
REQUEST	239		Login	1590748018220	1590748018241	OK	 
REQUEST	242		request_3	1590748018232	1590748018244	OK	 
REQUEST	239		request_3	1590748018242	1590748018250	OK	 
REQUEST	27		request_8	1590748018217	1590748018256	OK	 
REQUEST	28		TransportesPendientes	1590748018360	1590748018409	OK	 
REQUEST	30		TransportesPendientes	1590748018386	1590748018425	OK	 
REQUEST	28		request_8	1590748018412	1590748018452	OK	 
REQUEST	30		request_8	1590748018429	1590748018457	OK	 
USER	transportarPos	271	START	1590748018533	1590748018533
USER	transportarNeg	268	START	1590748018533	1590748018533
REQUEST	271		Home	1590748018533	1590748018551	OK	 
REQUEST	268		Home	1590748018533	1590748018551	OK	 
REQUEST	240		Login	1590748018547	1590748018556	OK	 
REQUEST	243		Login	1590748018546	1590748018560	OK	 
REQUEST	268		request_1	1590748018552	1590748018561	OK	 
REQUEST	240		request_3	1590748018556	1590748018561	OK	 
REQUEST	271		request_1	1590748018552	1590748018566	OK	 
REQUEST	243		request_3	1590748018561	1590748018566	OK	 
REQUEST	142		Authenticated	1590748017901	1590748018626	OK	 
USER	transportarPos	272	START	1590748018857	1590748018857
USER	transportarNeg	269	START	1590748018857	1590748018857
REQUEST	140		Authenticated	1590748017888	1590748018891	OK	 
REQUEST	146		Authenticated	1590748018257	1590748018891	OK	 
REQUEST	272		Home	1590748018858	1590748018903	OK	 
REQUEST	142		Authenticated Redirect 1	1590748018627	1590748018906	OK	 
REQUEST	269		Home	1590748018858	1590748018924	OK	 
REQUEST	146		Authenticated Redirect 1	1590748018891	1590748018924	OK	 
REQUEST	34		TransportesPendientes	1590748018759	1590748019099	OK	 
REQUEST	143		Authenticated	1590748018263	1590748019099	OK	 
REQUEST	272		request_1	1590748018903	1590748019129	OK	 
REQUEST	31		TransportesPendientes	1590748018824	1590748019152	OK	 
REQUEST	147		Authenticated	1590748018578	1590748019179	OK	 
REQUEST	143		Authenticated Redirect 1	1590748019099	1590748019188	OK	 
REQUEST	144		Authenticated	1590748018571	1590748019188	OK	 
REQUEST	140		Authenticated Redirect 1	1590748018891	1590748019189	OK	 
USER	transportarNeg	273	START	1590748019189	1590748019189
USER	transportarPos	276	START	1590748019189	1590748019189
REQUEST	35		TransportesPendientes	1590748019139	1590748019246	OK	 
REQUEST	269		request_1	1590748018925	1590748019260	OK	 
REQUEST	144		Authenticated Redirect 1	1590748019189	1590748019314	OK	 
REQUEST	32		TransportesPendientes	1590748019139	1590748019316	OK	 
REQUEST	142		request_6	1590748018906	1590748019329	OK	 
REQUEST	147		Authenticated Redirect 1	1590748019180	1590748019346	OK	 
REQUEST	244		Login	1590748018981	1590748019456	OK	 
REQUEST	241		Login	1590748018981	1590748019456	OK	 
REQUEST	146		request_6	1590748018925	1590748019472	OK	 
REQUEST	143		request_6	1590748019189	1590748019472	OK	 
REQUEST	34		request_8	1590748019102	1590748019486	OK	 
REQUEST	31		request_8	1590748019156	1590748019495	OK	 
USER	transportarNeg	274	START	1590748019521	1590748019521
USER	transportarPos	277	START	1590748019522	1590748019522
REQUEST	248		Login	1590748019208	1590748019543	OK	 
REQUEST	144		request_6	1590748019315	1590748019551	OK	 
REQUEST	148		Authenticated	1590748018900	1590748019551	OK	 
REQUEST	276		Home	1590748019190	1590748019552	OK	 
REQUEST	140		request_6	1590748019189	1590748019560	OK	 
REQUEST	273		Home	1590748019190	1590748019561	OK	 
REQUEST	32		request_8	1590748019319	1590748019672	OK	 
REQUEST	245		Login	1590748019207	1590748019677	OK	 
REQUEST	147		request_6	1590748019347	1590748019677	OK	 
REQUEST	35		request_8	1590748019249	1590748019690	OK	 
REQUEST	145		Authenticated	1590748018900	1590748019705	OK	 
REQUEST	33		TransportesPendientes	1590748019421	1590748019712	OK	 
REQUEST	244		request_3	1590748019457	1590748019740	OK	 
REQUEST	276		request_1	1590748019552	1590748019744	OK	 
REQUEST	36		TransportesPendientes	1590748019428	1590748019756	OK	 
REQUEST	148		Authenticated Redirect 1	1590748019551	1590748019832	OK	 
REQUEST	248		request_3	1590748019544	1590748019832	OK	 
USER	transportarPos	278	START	1590748019847	1590748019847
USER	transportarNeg	275	START	1590748019846	1590748019846
REQUEST	149		Authenticated	1590748019228	1590748019879	OK	 
REQUEST	241		request_3	1590748019457	1590748019880	OK	 
REQUEST	273		request_1	1590748019561	1590748019929	OK	 
REQUEST	274		Home	1590748019521	1590748019929	OK	 
REQUEST	152		Authenticated	1590748019228	1590748020248	OK	 
REQUEST	249		Login	1590748019667	1590748020251	OK	 
REQUEST	150		Authenticated	1590748019572	1590748020251	OK	 
REQUEST	277		Home	1590748019523	1590748020326	OK	 
REQUEST	246		Login	1590748019667	1590748020345	OK	 
REQUEST	145		Authenticated Redirect 1	1590748019705	1590748020346	OK	 
USER	transportarNeg	279	START	1590748020352	1590748020352
USER	transportarPos	281	START	1590748020355	1590748020355
REQUEST	149		Authenticated Redirect 1	1590748019879	1590748020373	OK	 
REQUEST	38		TransportesPendientes	1590748020103	1590748020408	OK	 
REQUEST	33		request_8	1590748019716	1590748020517	OK	 
REQUEST	245		request_3	1590748019677	1590748020517	OK	 
REQUEST	148		request_6	1590748019832	1590748020518	OK	 
REQUEST	37		TransportesPendientes	1590748019795	1590748020543	OK	 
REQUEST	149		request_6	1590748020374	1590748020572	OK	 
REQUEST	279		Home	1590748020352	1590748020589	OK	 
REQUEST	246		request_3	1590748020346	1590748020589	OK	 
REQUEST	40		TransportesPendientes	1590748019795	1590748020592	OK	 
REQUEST	281		Home	1590748020356	1590748020599	OK	 
REQUEST	41		TransportesPendientes	1590748020111	1590748020600	OK	 
REQUEST	281		request_1	1590748020599	1590748020606	OK	 
REQUEST	274		request_1	1590748019930	1590748020619	OK	 
REQUEST	275		Home	1590748019847	1590748020620	OK	 
REQUEST	153		Authenticated	1590748019573	1590748020620	OK	 
REQUEST	36		request_8	1590748019759	1590748020631	OK	 
REQUEST	39		TransportesPendientes	1590748020461	1590748020635	OK	 
REQUEST	150		Authenticated Redirect 1	1590748020252	1590748020639	OK	 
REQUEST	42		TransportesPendientes	1590748020473	1590748020641	OK	 
REQUEST	278		Home	1590748019847	1590748020642	OK	 
REQUEST	250		Login	1590748019999	1590748020647	OK	 
REQUEST	249		request_3	1590748020252	1590748020657	OK	 
REQUEST	154		Authenticated	1590748019912	1590748020659	OK	 
REQUEST	277		request_1	1590748020326	1590748020665	OK	 
REQUEST	145		request_6	1590748020346	1590748020670	OK	 
REQUEST	251		Login	1590748020441	1590748020679	OK	 
REQUEST	247		Login	1590748019999	1590748020681	OK	 
REQUEST	253		Login	1590748020441	1590748020683	OK	 
REQUEST	38		request_8	1590748020411	1590748020687	OK	 
REQUEST	150		request_6	1590748020639	1590748020688	OK	 
REQUEST	279		request_1	1590748020590	1590748020693	OK	 
REQUEST	40		request_8	1590748020601	1590748020694	OK	 
REQUEST	154		Authenticated Redirect 1	1590748020659	1590748020694	OK	 
REQUEST	152		Authenticated Redirect 1	1590748020249	1590748020696	OK	 
REQUEST	152		request_6	1590748020696	1590748020702	OK	 
REQUEST	275		request_1	1590748020621	1590748020707	OK	 
REQUEST	247		request_3	1590748020682	1590748020708	OK	 
REQUEST	153		Authenticated Redirect 1	1590748020621	1590748020709	OK	 
REQUEST	39		request_8	1590748020640	1590748020713	OK	 
REQUEST	42		request_8	1590748020645	1590748020717	OK	 
REQUEST	253		request_3	1590748020684	1590748020719	OK	 
REQUEST	37		request_8	1590748020546	1590748020720	OK	 
REQUEST	251		request_3	1590748020680	1590748020722	OK	 
REQUEST	278		request_1	1590748020642	1590748020723	OK	 
REQUEST	250		request_3	1590748020647	1590748020723	OK	 
REQUEST	154		request_6	1590748020695	1590748020727	OK	 
REQUEST	153		request_6	1590748020709	1590748020727	OK	 
REQUEST	41		request_8	1590748020603	1590748020778	OK	 
USER	transportarNeg	280	START	1590748020860	1590748020860
USER	transportarPos	282	START	1590748020860	1590748020860
REQUEST	151		Authenticated	1590748019912	1590748021098	OK	 
REQUEST	155		Authenticated	1590748020233	1590748021101	OK	 
USER	transportarNeg	283	START	1590748021207	1590748021207
USER	transportarPos	286	START	1590748021207	1590748021207
REQUEST	8		TransportarForm	1590748020940	1590748021318	OK	 
REQUEST	280		Home	1590748020860	1590748021344	OK	 
REQUEST	46		TransportesPendientes	1590748020805	1590748021477	OK	 
REQUEST	9		TransportarForm	1590748020890	1590748021477	OK	 
REQUEST	2		TransportarForm	1590748020890	1590748021477	OK	 
REQUEST	43		TransportesPendientes	1590748020805	1590748021504	OK	 
REQUEST	158		Authenticated	1590748020233	1590748021504	OK	 
REQUEST	1		TransportarForm	1590748020909	1590748021532	OK	 
REQUEST	159		Authenticated	1590748020728	1590748021532	OK	 
REQUEST	156		Authenticated	1590748020728	1590748021532	OK	 
USER	transportarPos	287	START	1590748021549	1590748021549
USER	transportarNeg	284	START	1590748021549	1590748021549
REQUEST	155		Authenticated Redirect 1	1590748021101	1590748021707	OK	 
REQUEST	282		Home	1590748020873	1590748021734	OK	 
REQUEST	10		TransportarForm	1590748021300	1590748021736	OK	 
REQUEST	3		TransportarForm	1590748021269	1590748021744	OK	 
REQUEST	157		Authenticated	1590748020909	1590748021767	OK	 
REQUEST	151		Authenticated Redirect 1	1590748021098	1590748021771	OK	 
REQUEST	160		Authenticated	1590748020909	1590748021783	OK	 
REQUEST	9		request_10	1590748021479	1590748021783	OK	 
REQUEST	156		Authenticated Redirect 1	1590748021532	1590748021857	OK	 
USER	transportarNeg	285	START	1590748021880	1590748021880
USER	transportarPos	288	START	1590748021881	1590748021881
REQUEST	2		request_10	1590748021479	1590748021920	OK	 
REQUEST	155		request_6	1590748021708	1590748021924	OK	 
REQUEST	286		Home	1590748021207	1590748021924	OK	 
REQUEST	47		TransportesPendientes	1590748021129	1590748021931	OK	 
REQUEST	256		Login	1590748021733	1590748021985	OK	 
REQUEST	158		Authenticated Redirect 1	1590748021505	1590748022001	OK	 
REQUEST	258		Login	1590748021408	1590748022001	OK	 
REQUEST	8		request_10	1590748021319	1590748022001	OK	 
REQUEST	48		TransportesPendientes	1590748021406	1590748022037	OK	 
REQUEST	254		Login	1590748021407	1590748022037	OK	 
REQUEST	4		TransportarForm	1590748021632	1590748022106	OK	 
REQUEST	287		Home	1590748021550	1590748022106	OK	 
REQUEST	44		TransportesPendientes	1590748021129	1590748022140	OK	 
REQUEST	280		request_1	1590748021345	1590748022145	OK	 
USER	transportarPos	292	START	1590748022176	1590748022176
USER	transportarNeg	289	START	1590748022176	1590748022176
REQUEST	283		Home	1590748021207	1590748022302	OK	 
REQUEST	46		request_8	1590748021481	1590748022312	OK	 
REQUEST	164		Authenticated	1590748021230	1590748022312	OK	 
REQUEST	1		request_10	1590748021532	1590748022322	OK	 
REQUEST	165		Authenticated	1590748021589	1590748022338	OK	 
REQUEST	252		Login	1590748021407	1590748022338	OK	 
REQUEST	159		Authenticated Redirect 1	1590748021532	1590748022352	OK	 
REQUEST	161		Authenticated	1590748021230	1590748022356	OK	 
REQUEST	284		Home	1590748021564	1590748022389	OK	 
REQUEST	11		TransportarForm	1590748021669	1590748022392	OK	 
REQUEST	285		Home	1590748021881	1590748022393	OK	 
REQUEST	10		request_10	1590748021737	1590748022398	OK	 
REQUEST	162		Authenticated	1590748021589	1590748022414	OK	 
REQUEST	255		Login	1590748021408	1590748022434	OK	 
REQUEST	12		TransportarForm	1590748021860	1590748022450	OK	 
REQUEST	45		TransportesPendientes	1590748021409	1590748022455	OK	 
REQUEST	160		Authenticated Redirect 1	1590748021784	1590748022455	OK	 
REQUEST	3		request_10	1590748021745	1590748022480	OK	 
REQUEST	5		TransportarForm	1590748021860	1590748022484	OK	 
REQUEST	4		request_10	1590748022107	1590748022484	OK	 
REQUEST	6		TransportarForm	1590748022210	1590748022502	OK	 
REQUEST	43		request_8	1590748021508	1590748022504	OK	 
REQUEST	258		request_3	1590748022002	1590748022516	OK	 
REQUEST	282		request_1	1590748021735	1590748022519	OK	 
USER	transportarNeg	290	START	1590748022522	1590748022522
USER	transportarPos	293	START	1590748022522	1590748022522
REQUEST	287		request_1	1590748022107	1590748022525	OK	 
REQUEST	49		TransportesPendientes	1590748021787	1590748022559	OK	 
REQUEST	284		request_1	1590748022389	1590748022572	OK	 
REQUEST	288		Home	1590748021881	1590748022572	OK	 
REQUEST	256		request_3	1590748021986	1590748022583	OK	 
REQUEST	283		request_1	1590748022303	1590748022625	OK	 
REQUEST	44		request_8	1590748022144	1590748022648	OK	 
REQUEST	162		Authenticated Redirect 1	1590748022414	1590748022660	OK	 
REQUEST	6		request_10	1590748022503	1590748022662	OK	 
REQUEST	162		request_6	1590748022661	1590748022673	OK	 
REQUEST	164		Authenticated Redirect 1	1590748022312	1590748022682	OK	 
REQUEST	164		request_6	1590748022683	1590748022688	OK	 
REQUEST	50		TransportesPendientes	1590748022094	1590748022688	OK	 
REQUEST	52		TransportesPendientes	1590748021787	1590748022691	OK	 
REQUEST	286		request_1	1590748021925	1590748022699	OK	 
REQUEST	156		request_6	1590748021857	1590748022704	OK	 
REQUEST	160		request_6	1590748022456	1590748022709	OK	 
REQUEST	255		request_3	1590748022435	1590748022710	OK	 
REQUEST	50		request_8	1590748022692	1590748022721	OK	 
REQUEST	151		request_6	1590748021771	1590748022721	OK	 
REQUEST	259		Login	1590748021732	1590748022726	OK	 
REQUEST	12		request_10	1590748022450	1590748022727	OK	 
REQUEST	259		request_3	1590748022726	1590748022734	OK	 
REQUEST	159		request_6	1590748022353	1590748022742	OK	 
REQUEST	7		TransportarForm	1590748022570	1590748022746	OK	 
REQUEST	292		Home	1590748022176	1590748022747	OK	 
REQUEST	166		Authenticated	1590748021905	1590748022748	OK	 
REQUEST	49		request_8	1590748022563	1590748022753	OK	 
REQUEST	54		TransportesPendientes	1590748022371	1590748022755	OK	 
REQUEST	165		Authenticated Redirect 1	1590748022338	1590748022762	OK	 
REQUEST	51		TransportesPendientes	1590748022371	1590748022765	OK	 
REQUEST	252		request_3	1590748022339	1590748022772	OK	 
REQUEST	48		request_8	1590748022040	1590748022774	OK	 
REQUEST	165		request_6	1590748022763	1590748022774	OK	 
REQUEST	158		request_6	1590748022002	1590748022775	OK	 
REQUEST	5		request_10	1590748022485	1590748022787	OK	 
REQUEST	54		request_8	1590748022759	1590748022789	OK	 
REQUEST	11		request_10	1590748022393	1590748022793	OK	 
REQUEST	161		Authenticated Redirect 1	1590748022356	1590748022795	OK	 
REQUEST	47		request_8	1590748021934	1590748022795	OK	 
REQUEST	53		TransportesPendientes	1590748022094	1590748022796	OK	 
REQUEST	157		Authenticated Redirect 1	1590748021768	1590748022799	OK	 
REQUEST	293		Home	1590748022523	1590748022800	OK	 
REQUEST	288		request_1	1590748022573	1590748022801	OK	 
REQUEST	45		request_8	1590748022459	1590748022802	OK	 
REQUEST	254		request_3	1590748022038	1590748022802	OK	 
REQUEST	13		TransportarForm	1590748022210	1590748022805	OK	 
REQUEST	161		request_6	1590748022795	1590748022807	OK	 
REQUEST	264		Login	1590748022498	1590748022812	OK	 
REQUEST	292		request_1	1590748022747	1590748022815	OK	 
USER	transportarNeg	291	START	1590748022859	1590748022859
REQUEST	51		request_8	1590748022769	1590748022867	OK	 
REQUEST	289		Home	1590748022176	1590748022873	OK	 
REQUEST	7		request_10	1590748022747	1590748022873	OK	 
REQUEST	53		request_8	1590748022799	1590748022874	OK	 
REQUEST	285		request_1	1590748022394	1590748022884	OK	 
REQUEST	293		request_1	1590748022801	1590748022884	OK	 
REQUEST	14		TransportarForm	1590748022827	1590748022884	OK	 
REQUEST	166		Authenticated Redirect 1	1590748022749	1590748022888	OK	 
REQUEST	52		request_8	1590748022694	1590748022890	OK	 
REQUEST	13		request_10	1590748022806	1590748022895	OK	 
REQUEST	264		request_3	1590748022813	1590748022897	OK	 
REQUEST	289		request_1	1590748022874	1590748022901	OK	 
REQUEST	291		Home	1590748022860	1590748022901	OK	 
REQUEST	14		request_10	1590748022885	1590748022901	OK	 
USER	transportarPos	294	START	1590748022902	1590748022902
REQUEST	166		request_6	1590748022888	1590748022906	OK	 
REQUEST	291		request_1	1590748022901	1590748022908	OK	 
REQUEST	290		Home	1590748022523	1590748022927	OK	 
REQUEST	157		request_6	1590748022800	1590748022927	OK	 
REQUEST	294		Home	1590748022903	1590748022941	OK	 
REQUEST	290		request_1	1590748022928	1590748022945	OK	 
REQUEST	55		TransportesPendientes	1590748022909	1590748022957	OK	 
REQUEST	57		TransportesPendientes	1590748022910	1590748022957	OK	 
REQUEST	294		request_1	1590748022941	1590748022962	OK	 
REQUEST	55		request_8	1590748022961	1590748022988	OK	 
REQUEST	57		request_8	1590748022961	1590748022999	OK	 
REQUEST	257		Login	1590748022999	1590748023037	OK	 
REQUEST	260		Login	1590748022999	1590748023037	OK	 
REQUEST	257		request_3	1590748023038	1590748023074	OK	 
REQUEST	260		request_3	1590748023038	1590748023074	OK	 
REQUEST	163		Authenticated	1590748021905	1590748023119	OK	 
REQUEST	163		Authenticated Redirect 1	1590748023119	1590748023136	OK	 
REQUEST	261		Login	1590748023120	1590748023137	OK	 
REQUEST	163		request_6	1590748023137	1590748023151	OK	 
REQUEST	261		request_3	1590748023137	1590748023151	OK	 
REQUEST	265		Login	1590748023142	1590748023151	OK	 
REQUEST	265		request_3	1590748023152	1590748023166	OK	 
USER	transportarPos	298	START	1590748023231	1590748023231
USER	transportarNeg	295	START	1590748023231	1590748023231
REQUEST	263		Login	1590748023231	1590748023267	OK	 
REQUEST	262		Login	1590748023231	1590748023268	OK	 
REQUEST	15		TransportarForm	1590748023230	1590748023270	OK	 
REQUEST	266		Login	1590748023230	1590748023272	OK	 
REQUEST	298		Home	1590748023245	1590748023273	OK	 
REQUEST	262		request_3	1590748023269	1590748023278	OK	 
REQUEST	263		request_3	1590748023267	1590748023279	OK	 
REQUEST	298		request_1	1590748023274	1590748023284	OK	 
REQUEST	266		request_3	1590748023273	1590748023284	OK	 
REQUEST	295		Home	1590748023259	1590748023289	OK	 
REQUEST	15		request_10	1590748023271	1590748023300	OK	 
REQUEST	295		request_1	1590748023290	1590748023304	OK	 
REQUEST	267		Login	1590748023311	1590748023347	OK	 
REQUEST	270		Login	1590748023312	1590748023382	OK	 
REQUEST	267		request_3	1590748023348	1590748023406	OK	 
REQUEST	18		TransportarForm	1590748023389	1590748023418	OK	 
REQUEST	270		request_3	1590748023382	1590748023417	OK	 
REQUEST	19		TransportarForm	1590748023389	1590748023431	OK	 
REQUEST	58		TransportesPendientes	1590748023388	1590748023435	OK	 
REQUEST	16		TransportarForm	1590748023389	1590748023443	OK	 
REQUEST	56		TransportesPendientes	1590748023389	1590748023446	OK	 
REQUEST	18		request_10	1590748023418	1590748023451	OK	 
REQUEST	19		request_10	1590748023432	1590748023457	OK	 
REQUEST	16		request_10	1590748023443	1590748023465	OK	 
REQUEST	58		request_8	1590748023438	1590748023490	OK	 
REQUEST	56		request_8	1590748023449	1590748023494	OK	 
USER	transportarNeg	296	START	1590748023575	1590748023575
USER	transportarPos	299	START	1590748023577	1590748023577
REQUEST	296		Home	1590748023575	1590748023637	OK	 
REQUEST	299		Home	1590748023577	1590748023637	OK	 
REQUEST	299		request_1	1590748023637	1590748023643	OK	 
REQUEST	296		request_1	1590748023637	1590748023643	OK	 
USER	transportarNeg	297	START	1590748023901	1590748023901
USER	transportarPos	300	START	1590748023901	1590748023901
REQUEST	174		Authenticated	1590748023230	1590748024069	OK	 
REQUEST	167		Authenticated	1590748022433	1590748024069	OK	 
REQUEST	171		Authenticated	1590748023230	1590748024070	OK	 
REQUEST	169		Authenticated	1590748022433	1590748024070	OK	 
REQUEST	271		Login	1590748023655	1590748024083	OK	 
REQUEST	168		Authenticated	1590748022910	1590748024083	OK	 
USER	transportarNeg	301	START	1590748024189	1590748024189
USER	transportarPos	304	START	1590748024192	1590748024192
REQUEST	170		Authenticated	1590748022910	1590748024226	OK	 
REQUEST	268		Login	1590748023655	1590748024229	OK	 
REQUEST	20		TransportarForm	1590748023655	1590748024233	OK	 
REQUEST	175		Authenticated	1590748023568	1590748024260	OK	 
REQUEST	300		Home	1590748023902	1590748024274	OK	 
REQUEST	59		TransportesPendientes	1590748023777	1590748024288	OK	 
REQUEST	297		Home	1590748023901	1590748024293	OK	 
REQUEST	169		Authenticated Redirect 1	1590748024070	1590748024294	OK	 
REQUEST	17		TransportarForm	1590748023718	1590748024298	OK	 
REQUEST	174		Authenticated Redirect 1	1590748024069	1590748024298	OK	 
REQUEST	62		TransportesPendientes	1590748023836	1590748024302	OK	 
REQUEST	172		Authenticated	1590748023575	1590748024302	OK	 
REQUEST	168		Authenticated Redirect 1	1590748024084	1590748024315	OK	 
REQUEST	171		Authenticated Redirect 1	1590748024070	1590748024315	OK	 
USER	transportarPos	305	START	1590748024544	1590748024544
USER	transportarNeg	302	START	1590748024544	1590748024544
REQUEST	271		request_3	1590748024084	1590748024637	OK	 
REQUEST	63		TransportesPendientes	1590748024086	1590748024638	OK	 
REQUEST	301		Home	1590748024189	1590748024644	OK	 
REQUEST	176		Authenticated	1590748023901	1590748024651	OK	 
REQUEST	171		request_6	1590748024316	1590748024676	OK	 
REQUEST	269		Login	1590748024284	1590748024677	OK	 
REQUEST	167		Authenticated Redirect 1	1590748024069	1590748024686	OK	 
REQUEST	304		Home	1590748024205	1590748024700	OK	 
REQUEST	272		Login	1590748024149	1590748024706	OK	 
REQUEST	173		Authenticated	1590748023901	1590748024719	OK	 
REQUEST	268		request_3	1590748024230	1590748024719	OK	 
REQUEST	60		TransportesPendientes	1590748024105	1590748024720	OK	 
REQUEST	174		request_6	1590748024298	1590748024721	OK	 
REQUEST	172		Authenticated Redirect 1	1590748024302	1590748024725	OK	 
REQUEST	300		request_1	1590748024274	1590748024726	OK	 
REQUEST	20		request_10	1590748024234	1590748024749	OK	 
USER	transportarPos	306	START	1590748024863	1590748024863
USER	transportarNeg	303	START	1590748024862	1590748024862
REQUEST	59		request_8	1590748024292	1590748024871	OK	 
REQUEST	17		request_10	1590748024298	1590748024871	OK	 
REQUEST	297		request_1	1590748024293	1590748024872	OK	 
REQUEST	175		Authenticated Redirect 1	1590748024261	1590748024894	OK	 
REQUEST	170		Authenticated Redirect 1	1590748024226	1590748024905	OK	 
REQUEST	168		request_6	1590748024316	1590748024907	OK	 
