ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	rendimiento.Transportar2EscaneriosPerfomance	transportar2escaneriosperfomance	1590747969250	 	3.3.1
REQUEST	10		Login	1590747976556	1590747976560	OK	 
REQUEST	10		request_3	1590747976563	1590747976569	OK	 
REQUEST	3		Login	1590747976566	1590747976572	OK	 
REQUEST	3		request_3	1590747976574	1590747976579	OK	 
USER	transportarPos	36	START	1590747976856	1590747976856
USER	transportarNeg	33	START	1590747976856	1590747976856
REQUEST	36		Home	1590747976857	1590747976863	OK	 
REQUEST	33		Home	1590747976857	1590747976864	OK	 
REQUEST	36		request_1	1590747976865	1590747976871	OK	 
REQUEST	33		request_1	1590747976865	1590747976873	OK	 
REQUEST	11		Login	1590747976901	1590747976906	OK	 
REQUEST	4		Login	1590747976906	1590747976911	OK	 
REQUEST	11		request_3	1590747976909	1590747976915	OK	 
REQUEST	4		request_3	1590747976914	1590747976920	OK	 
USER	transportarPos	40	START	1590747977201	1590747977201
USER	transportarNeg	37	START	1590747977201	1590747977201
REQUEST	37		Home	1590747977201	1590747977208	OK	 
REQUEST	40		Home	1590747977201	1590747977208	OK	 
REQUEST	37		request_1	1590747977210	1590747977215	OK	 
REQUEST	40		request_1	1590747977210	1590747977215	OK	 
REQUEST	12		Login	1590747977227	1590747977232	OK	 
REQUEST	5		Login	1590747977227	1590747977232	OK	 
REQUEST	5		request_3	1590747977235	1590747977240	OK	 
REQUEST	12		request_3	1590747977235	1590747977241	OK	 
USER	transportarPos	41	START	1590747977526	1590747977526
USER	transportarNeg	38	START	1590747977526	1590747977526
REQUEST	41		Home	1590747977526	1590747977533	OK	 
REQUEST	38		Home	1590747977526	1590747977535	OK	 
REQUEST	38		request_1	1590747977537	1590747977542	OK	 
REQUEST	41		request_1	1590747977535	1590747977545	OK	 
REQUEST	13		Login	1590747977568	1590747977572	OK	 
REQUEST	13		request_3	1590747977574	1590747977578	OK	 
REQUEST	6		Login	1590747977579	1590747977584	OK	 
REQUEST	6		request_3	1590747977586	1590747977593	OK	 
USER	transportarPos	42	START	1590747977857	1590747977857
USER	transportarNeg	39	START	1590747977857	1590747977857
REQUEST	39		Home	1590747977858	1590747977864	OK	 
REQUEST	42		Home	1590747977858	1590747977864	OK	 
REQUEST	39		request_1	1590747977866	1590747977871	OK	 
REQUEST	42		request_1	1590747977866	1590747977871	OK	 
REQUEST	14		Login	1590747977890	1590747977894	OK	 
REQUEST	14		request_3	1590747977896	1590747977901	OK	 
REQUEST	7		Login	1590747977901	1590747977905	OK	 
REQUEST	7		request_3	1590747977910	1590747977914	OK	 
USER	transportarNeg	43	START	1590747978179	1590747978179
USER	transportarPos	46	START	1590747978179	1590747978179
REQUEST	46		Home	1590747978180	1590747978187	OK	 
REQUEST	43		Home	1590747978180	1590747978187	OK	 
REQUEST	46		request_1	1590747978189	1590747978195	OK	 
REQUEST	43		request_1	1590747978189	1590747978195	OK	 
REQUEST	18		Login	1590747978216	1590747978221	OK	 
REQUEST	15		Login	1590747978216	1590747978221	OK	 
REQUEST	15		request_3	1590747978223	1590747978228	OK	 
REQUEST	18		request_3	1590747978223	1590747978228	OK	 
USER	transportarNeg	44	START	1590747978517	1590747978517
USER	transportarPos	47	START	1590747978517	1590747978517
REQUEST	47		Home	1590747978518	1590747978524	OK	 
REQUEST	44		Home	1590747978518	1590747978524	OK	 
REQUEST	47		request_1	1590747978526	1590747978531	OK	 
REQUEST	44		request_1	1590747978526	1590747978531	OK	 
REQUEST	19		Login	1590747978546	1590747978553	OK	 
REQUEST	16		Login	1590747978546	1590747978553	OK	 
REQUEST	19		request_3	1590747978555	1590747978560	OK	 
REQUEST	16		request_3	1590747978555	1590747978561	OK	 
USER	transportarNeg	45	START	1590747978851	1590747978851
USER	transportarPos	48	START	1590747978851	1590747978851
REQUEST	48		Home	1590747978852	1590747978859	OK	 
REQUEST	45		Home	1590747978852	1590747978860	OK	 
REQUEST	48		request_1	1590747978862	1590747978870	OK	 
REQUEST	45		request_1	1590747978863	1590747978870	OK	 
REQUEST	20		Login	1590747978877	1590747978883	OK	 
REQUEST	17		Login	1590747978876	1590747978884	OK	 
REQUEST	20		request_3	1590747978886	1590747978890	OK	 
REQUEST	17		request_3	1590747978886	1590747978892	OK	 
USER	transportarPos	52	START	1590747979177	1590747979177
USER	transportarNeg	49	START	1590747979177	1590747979177
REQUEST	52		Home	1590747979178	1590747979187	OK	 
REQUEST	49		Home	1590747979178	1590747979187	OK	 
REQUEST	49		request_1	1590747979189	1590747979193	OK	 
REQUEST	52		request_1	1590747979189	1590747979193	OK	 
REQUEST	21		Login	1590747979226	1590747979231	OK	 
REQUEST	24		Login	1590747979226	1590747979231	OK	 
REQUEST	21		request_3	1590747979233	1590747979238	OK	 
REQUEST	24		request_3	1590747979233	1590747979238	OK	 
USER	transportarNeg	50	START	1590747979508	1590747979508
USER	transportarPos	53	START	1590747979508	1590747979508
REQUEST	53		Home	1590747979508	1590747979515	OK	 
REQUEST	50		Home	1590747979508	1590747979516	OK	 
REQUEST	50		request_1	1590747979517	1590747979523	OK	 
REQUEST	53		request_1	1590747979516	1590747979526	OK	 
REQUEST	22		Login	1590747979550	1590747979555	OK	 
REQUEST	25		Login	1590747979550	1590747979555	OK	 
REQUEST	22		request_3	1590747979557	1590747979564	OK	 
REQUEST	25		request_3	1590747979559	1590747979566	OK	 
USER	transportarNeg	51	START	1590747979846	1590747979846
USER	transportarPos	54	START	1590747979846	1590747979846
REQUEST	51		Home	1590747979847	1590747979853	OK	 
REQUEST	54		Home	1590747979847	1590747979854	OK	 
REQUEST	51		request_1	1590747979855	1590747979859	OK	 
REQUEST	54		request_1	1590747979855	1590747979859	OK	 
REQUEST	26		Login	1590747979888	1590747979893	OK	 
REQUEST	23		Login	1590747979888	1590747979893	OK	 
REQUEST	26		request_3	1590747979895	1590747979900	OK	 
REQUEST	23		request_3	1590747979895	1590747979900	OK	 
USER	transportarPos	57	START	1590747980347	1590747980347
USER	transportarNeg	55	START	1590747980347	1590747980347
REQUEST	55		Home	1590747980348	1590747980354	OK	 
REQUEST	57		Home	1590747980348	1590747980354	OK	 
REQUEST	55		request_1	1590747980356	1590747980360	OK	 
REQUEST	57		request_1	1590747980356	1590747980360	OK	 
REQUEST	29		Login	1590747980390	1590747980395	OK	 
