ASSERTION	AAEDAAEBAwAAAAAAAIizQA==
ASSERTION	AAEDAAECAwAAAAAAAECPQA==
ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	dp2.InscribirCurso	inscribircurso	1591034731304	 	3.3.1
REQUEST	56		Home	1591034737343	1591034737349	OK	 
USER	InscribirCurso	57	START	1591034737453	1591034737453
REQUEST	57		Home	1591034737453	1591034737458	OK	 
REQUEST	1		IniciarSesion	1591034737423	1591034737429	OK	 
REQUEST	2		IniciarSesion	1591034737479	1591034737482	OK	 
USER	InscribirCurso	58	START	1591034737541	1591034737541
REQUEST	58		Home	1591034737541	1591034737545	OK	 
REQUEST	3		IniciarSesion	1591034737573	1591034737576	OK	 
USER	InscribirCurso	59	START	1591034737630	1591034737630
REQUEST	59		Home	1591034737631	1591034737636	OK	 
REQUEST	4		IniciarSesion	1591034737673	1591034737678	OK	 
USER	InscribirCurso	60	START	1591034737720	1591034737720
REQUEST	60		Home	1591034737720	1591034737725	OK	 
REQUEST	5		IniciarSesion	1591034737764	1591034737770	OK	 
USER	InscribirCurso	61	START	1591034737812	1591034737812
REQUEST	61		Home	1591034737812	1591034737817	OK	 
REQUEST	6		IniciarSesion	1591034737839	1591034737843	OK	 
USER	InscribirCurso	62	START	1591034737902	1591034737902
REQUEST	62		Home	1591034737903	1591034737914	OK	 
REQUEST	7		IniciarSesion	1591034737929	1591034737932	OK	 
USER	InscribirCurso	63	START	1591034737990	1591034737990
REQUEST	63		Home	1591034737991	1591034737994	OK	 
REQUEST	8		IniciarSesion	1591034738032	1591034738037	OK	 
USER	InscribirCurso	64	START	1591034738078	1591034738078
REQUEST	64		Home	1591034738079	1591034738085	OK	 
REQUEST	9		IniciarSesion	1591034738111	1591034738115	OK	 
USER	InscribirCurso	65	START	1591034738169	1591034738169
REQUEST	65		Home	1591034738169	1591034738174	OK	 
REQUEST	10		IniciarSesion	1591034738213	1591034738217	OK	 
USER	InscribirCurso	66	START	1591034738261	1591034738261
REQUEST	66		Home	1591034738262	1591034738270	OK	 
REQUEST	11		IniciarSesion	1591034738294	1591034738299	OK	 
USER	InscribirCurso	67	START	1591034738363	1591034738363
REQUEST	67		Home	1591034738364	1591034738369	OK	 
REQUEST	12		IniciarSesion	1591034738379	1591034738384	OK	 
USER	InscribirCurso	68	START	1591034738448	1591034738448
REQUEST	68		Home	1591034738449	1591034738453	OK	 
REQUEST	13		IniciarSesion	1591034738483	1591034738489	OK	 
USER	InscribirCurso	69	START	1591034738544	1591034738544
REQUEST	69		Home	1591034738545	1591034738557	OK	 
REQUEST	14		IniciarSesion	1591034738559	1591034738565	OK	 
USER	InscribirCurso	70	START	1591034738633	1591034738633
REQUEST	70		Home	1591034738633	1591034738637	OK	 
REQUEST	15		IniciarSesion	1591034738659	1591034738662	OK	 
USER	InscribirCurso	71	START	1591034738721	1591034738721
REQUEST	71		Home	1591034738722	1591034738726	OK	 
REQUEST	16		IniciarSesion	1591034738743	1591034738746	OK	 
USER	InscribirCurso	72	START	1591034738811	1591034738811
REQUEST	72		Home	1591034738811	1591034738816	OK	 
REQUEST	17		IniciarSesion	1591034738831	1591034738834	OK	 
USER	InscribirCurso	73	START	1591034738900	1591034738900
REQUEST	73		Home	1591034738900	1591034738904	OK	 
REQUEST	18		IniciarSesion	1591034738933	1591034738937	OK	 
USER	InscribirCurso	74	START	1591034738991	1591034738991
REQUEST	74		Home	1591034738992	1591034738996	OK	 
REQUEST	19		IniciarSesion	1591034739013	1591034739017	OK	 
USER	InscribirCurso	75	START	1591034739083	1591034739083
REQUEST	75		Home	1591034739083	1591034739087	OK	 
REQUEST	20		IniciarSesion	1591034739099	1591034739102	OK	 
USER	InscribirCurso	76	START	1591034739172	1591034739172
REQUEST	76		Home	1591034739173	1591034739178	OK	 
REQUEST	21		IniciarSesion	1591034739194	1591034739197	OK	 
USER	InscribirCurso	77	START	1591034739272	1591034739272
REQUEST	77		Home	1591034739273	1591034739282	OK	 
REQUEST	22		IniciarSesion	1591034739304	1591034739309	OK	 
USER	InscribirCurso	78	START	1591034739360	1591034739360
REQUEST	78		Home	1591034739361	1591034739364	OK	 
REQUEST	23		IniciarSesion	1591034739383	1591034739386	OK	 
USER	InscribirCurso	79	START	1591034739450	1591034739450
REQUEST	79		Home	1591034739450	1591034739454	OK	 
REQUEST	24		IniciarSesion	1591034739472	1591034739475	OK	 
USER	InscribirCurso	80	START	1591034739539	1591034739539
REQUEST	80		Home	1591034739539	1591034739544	OK	 
REQUEST	25		IniciarSesion	1591034739561	1591034739565	OK	 
USER	InscribirCurso	81	START	1591034739630	1591034739630
REQUEST	81		Home	1591034739631	1591034739635	OK	 
REQUEST	26		IniciarSesion	1591034739652	1591034739655	OK	 
USER	InscribirCurso	82	START	1591034739720	1591034739720
REQUEST	82		Home	1591034739721	1591034739725	OK	 
REQUEST	27		IniciarSesion	1591034739742	1591034739746	OK	 
USER	InscribirCurso	83	START	1591034739809	1591034739809
REQUEST	83		Home	1591034739810	1591034739813	OK	 
REQUEST	28		IniciarSesion	1591034739831	1591034739834	OK	 
USER	InscribirCurso	84	START	1591034739900	1591034739900
REQUEST	84		Home	1591034739901	1591034739905	OK	 
REQUEST	29		IniciarSesion	1591034739922	1591034739926	OK	 
USER	InscribirCurso	85	START	1591034739990	1591034739990
REQUEST	85		Home	1591034739990	1591034739995	OK	 
REQUEST	30		IniciarSesion	1591034740012	1591034740016	OK	 
USER	InscribirCurso	86	START	1591034740090	1591034740090
REQUEST	86		Home	1591034740090	1591034740098	OK	 
REQUEST	31		IniciarSesion	1591034740101	1591034740104	OK	 
USER	InscribirCurso	87	START	1591034740179	1591034740179
REQUEST	87		Home	1591034740180	1591034740184	OK	 
REQUEST	32		IniciarSesion	1591034740190	1591034740195	OK	 
USER	InscribirCurso	88	START	1591034740274	1591034740274
REQUEST	88		Home	1591034740275	1591034740280	OK	 
REQUEST	33		IniciarSesion	1591034740290	1591034740295	OK	 
USER	InscribirCurso	89	START	1591034740359	1591034740359
REQUEST	89		Home	1591034740360	1591034740364	OK	 
REQUEST	34		IniciarSesion	1591034740382	1591034740392	OK	 
USER	InscribirCurso	90	START	1591034740448	1591034740448
REQUEST	90		Home	1591034740449	1591034740452	OK	 
REQUEST	35		IniciarSesion	1591034740479	1591034740483	OK	 
